order,costs
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"(('k', ('mc', 'mk')), 'ci')",4810645.69
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"(('k', ('mc', 'mk')), 'ci')",4810645.69
"('mk', 'ci')",1023150.06
"('mc', ('mk', 'ci'))",1328341.66
"('k', ('mc', ('mk', 'ci')))",6898015.46
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"(('k', ('mc', 'mk')), 'ci')",4810645.69
"('mc', 'mk')",601578.58
"('ci', ('mc', 'mk'))",1819025.32
"(('ci', ('mc', 'mk')), 'k')",1413102.2
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 'mk')",1292446.17
"((('mc', 'ci'), 'mk'), 'k')",1327778.79
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"(('k', ('mc', 'mk')), 'ci')",4810645.69
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"('ci', ('k', ('mc', 'mk')))",5318600.12
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 'mk')",1292446.17
"('k', (('mc', 'ci'), 'mk'))",3841076.81
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"('ci', ('k', ('mc', 'mk')))",5318600.12
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"('ci', ('k', ('mc', 'mk')))",5318600.12
"('mc', 'ci')",877494.39
"('mk', 'k')",52825.29
"(('mk', 'k'), ('mc', 'ci'))",688205.22
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 'mk')",1292446.17
"('k', (('mc', 'ci'), 'mk'))",3841076.81
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"('ci', ('k', ('mc', 'mk')))",5318600.12
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"(('k', ('mc', 'mk')), 'ci')",4810645.69
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"('ci', ('k', ('mc', 'mk')))",5318600.12
"('mk', 'ci')",1023150.06
"(('mk', 'ci'), 'k')",631966.48
"((('mk', 'ci'), 'k'), 'mc')",632069.11
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"('ci', ('k', ('mc', 'mk')))",5318600.12
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"(('k', ('mc', 'mk')), 'ci')",4810645.69
"('mc', 'ci')",877494.39
"('mc', 'mk')",601578.58
"(('mc', 'ci'), 'mk')",1292446.17
"('k', ('mc', 'mk'))",4808757.9
"((('mc', 'ci'), 'mk'), 'k')",1327778.79
"(('k', ('mc', 'mk')), 'ci')",4810645.69
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 'mk')",1292446.17
"((('mc', 'ci'), 'mk'), 'k')",1327778.79
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",4808757.9
"(('k', ('mc', 'mk')), 'ci')",4810645.69
"('mc', 'mk')",601578.58
"('ci', ('mc', 'mk'))",1819025.32
"('k', ('ci', ('mc', 'mk')))",4367655.96
"('mk', 'k')",52825.29
"('mc', 'ci')",877494.39
"(('mc', 'ci'), ('mk', 'k'))",646127.65
"('mk', 'mc')",510815.94
"('ci', ('mk', 'mc'))",2732198.61
"(('ci', ('mk', 'mc')), 'k')",2441526.7
"('mk', 'k')",52825.29
"('mc', ('mk', 'k'))",88060.83
"('ci', ('mc', ('mk', 'k')))",591777.27
"('mk', 'mc')",510815.94
"('ci', ('mk', 'mc'))",2732198.61
"(('ci', ('mk', 'mc')), 'k')",2441526.7
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",2687457.86
"('ci', ('k', ('mk', 'mc')))",3197300.18
"('mk', 'k')",52825.29
"(('mc', 'ci'), ('mk', 'k'))",646127.65
"('mk', 'mc')",510815.94
