order,costs
"('mc', 'mi')",457922.92
"('ci', ('mc', 'mi'))",1293138.71
"(('ci', ('mc', 'mi')), 'mi_idx')",1343423.37
"('mc', 'mi_idx')",240881.25
"('ci', 'mi')",1032603.05
"(('ci', 'mi'), ('mc', 'mi_idx'))",1301296.85
"('mc', 'mi')",457922.92
"('ci', ('mc', 'mi'))",1293138.71
"(('ci', ('mc', 'mi')), 'mi_idx')",1343423.37
"('mc', 'mi_idx')",240881.25
"('ci', 'mi')",1032603.05
"(('ci', 'mi'), ('mc', 'mi_idx'))",1301296.85
"('mc', 'mi')",457922.92
"('ci', ('mc', 'mi'))",1293138.71
"(('ci', ('mc', 'mi')), 'mi_idx')",1343423.37
"('mc', 'mi')",457922.92
"('ci', ('mc', 'mi'))",1293138.71
"(('ci', ('mc', 'mi')), 'mi_idx')",1343423.37
"('mc', 'mi_idx')",240881.25
"('ci', 'mi')",1032603.05
"(('ci', 'mi'), ('mc', 'mi_idx'))",1301296.85
"('mc', 'mi_idx')",240881.25
"('ci', 'mi')",1032603.05
"(('ci', 'mi'), ('mc', 'mi_idx'))",1301296.85
"('mc', 'mi_idx')",240881.25
"('ci', 'mi')",1032603.05
"(('ci', 'mi'), ('mc', 'mi_idx'))",1301296.85
"('mc', 'mi')",457922.92
"('ci', ('mc', 'mi'))",1293138.71
"(('ci', ('mc', 'mi')), 'mi_idx')",1343423.37
"('mc', 'mi')",457922.92
"('ci', ('mc', 'mi'))",1293138.71
"(('ci', ('mc', 'mi')), 'mi_idx')",1343423.37
"('mc', 'mi')",457922.92
"('ci', ('mc', 'mi'))",1293138.71
"(('ci', ('mc', 'mi')), 'mi_idx')",1343423.37
"('mc', 'mi_idx')",240881.25
"('ci', 'mi')",1032603.05
"(('ci', 'mi'), ('mc', 'mi_idx'))",1301296.85
"('mc', 'ci')",877494.39
"(('mc', 'ci'), 'mi')",1318793.37
"((('mc', 'ci'), 'mi'), 'mi_idx')",1369073.84
"('mc', 'mi_idx')",240881.25
"('ci', 'mi')",1032603.05
"(('mc', 'mi_idx'), ('ci', 'mi'))",1352814.71
"('mc', 'mi_idx')",240881.25
"('ci', 'mi')",1032603.05
"(('ci', 'mi'), ('mc', 'mi_idx'))",1301296.85
"('mc', 'mi_idx')",240881.25
