order,costs
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"('t2', ('t1', 'ml'))",105188.0
"(('t2', ('t1', 'ml')), 'mk')",129013.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"('t2', ('t1', 'ml'))",105188.0
"(('t2', ('t1', 'ml')), 'mk')",129013.11
"('t1', 'ml')",9154.57
"('t2', ('t1', 'ml'))",105188.0
"(('t2', ('t1', 'ml')), 'mk')",129013.11
"('t1', 'ml')",9154.57
"('t2', ('t1', 'ml'))",105188.0
"(('t2', ('t1', 'ml')), 'mk')",129013.11
"('t1', 'ml')",9154.57
"('t2', ('t1', 'ml'))",105188.0
"(('t2', ('t1', 'ml')), 'mk')",129013.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t1', 'ml')",9154.57
"(('t1', 'ml'), 't2')",64090.11
"('t2', 'ml')",95085.52
"('t1', ('t2', 'ml'))",105750.23
"(('t1', ('t2', 'ml')), 'mk')",146624.29
"('t2', 'ml')",95085.52
"('t1', ('t2', 'ml'))",105750.23
"('t2', 'ml')",95085.52
"(('t1', ('t2', 'ml')), 'mk')",146624.29
"('t1', ('t2', 'ml'))",105750.23
"('mk', ('t1', ('t2', 'ml')))",175814.66
"('t2', 'ml')",95085.52
"('t1', ('t2', 'ml'))",105750.23
"('mk', ('t1', ('t2', 'ml')))",175814.66
"('t2', 'ml')",95085.52
"('t1', ('t2', 'ml'))",105750.23
"(('t1', ('t2', 'ml')), 'mk')",146624.29
"('t2', 'ml')",95085.52
"('t1', ('t2', 'ml'))",105750.23
"('mk', ('t1', ('t2', 'ml')))",175814.66
"('mk', (('t1', 'ml'), 't2'))",117105.58
"('mk', (('t1', 'ml'), 't2'))",117105.58
"(('t1', 'ml'), 't2')",64090.11
