order,costs
"('t', 'ci')",1323912.3
"('mk', ('t', 'ci'))",1725378.75
"('k', ('mk', ('t', 'ci')))",1854371.4
"('t', 'ci')",1323912.3
"('mk', 'k')",51966.45
"(('mk', 'k'), ('t', 'ci'))",936086.08
"('t', 'mk')",239962.25
"(('t', 'mk'), 'ci')",1449778.58
"((('t', 'mk'), 'ci'), 'k')",735694.99
"('t', 'ci')",1323912.3
"('mk', ('t', 'ci'))",1725378.75
"('k', ('mk', ('t', 'ci')))",1854371.4
"('t', 'ci')",1323912.3
"('mk', ('t', 'ci'))",1725378.75
"('k', ('mk', ('t', 'ci')))",1854371.4
"('t', 'ci')",1323912.3
"('mk', ('t', 'ci'))",1725378.75
"('k', ('mk', ('t', 'ci')))",1854371.4
"('t', 'mk')",239962.25
"('k', ('t', 'mk'))",251458.26
"('ci', ('k', ('t', 'mk')))",713492.01
"('t', 'mk')",239962.25
"('k', ('t', 'mk'))",251458.26
"('ci', ('k', ('t', 'mk')))",713492.01
"('t', 'mk')",239962.25
"('k', ('t', 'mk'))",251458.26
"('ci', ('k', ('t', 'mk')))",713492.01
"('t', 'mk')",239962.25
"(('t', 'mk'), 'ci')",1449778.58
"('k', (('t', 'mk'), 'ci'))",1578771.23
"('t', 'mk')",239962.25
"(('t', 'mk'), 'ci')",1449778.58
"('k', (('t', 'mk'), 'ci'))",1578771.23
"('t', 'mk')",239962.25
"(('t', 'mk'), 'ci')",1449778.58
"('k', (('t', 'mk'), 'ci'))",1578771.23
"('t', 'ci')",1323912.3
"('mk', ('t', 'ci'))",1725378.75
"('k', ('mk', ('t', 'ci')))",1854371.4
"('t', 'mk')",239962.25
"(('t', 'mk'), 'ci')",1449778.58
"((('t', 'mk'), 'ci'), 'k')",735694.99
"('t', 'ci')",1323912.3
"('mk', 'k')",51966.45
"(('mk', 'k'), ('t', 'ci'))",936086.08
"('t', 'mk')",239962.25
"('k', ('t', 'mk'))",251458.26
"('ci', ('k', ('t', 'mk')))",713492.01
"('t', 'mk')",239962.25
"(('t', 'mk'), 'ci')",1449778.58
