order,costs
"('it', 'pi')",55881.87
"(('it', 'pi'), 'n')",55890.33
"('n', 'ci')",1666150.26
"('pi', ('n', 'ci'))",1755220.66
"('it', ('pi', ('n', 'ci')))",1755223.4
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'ci')",158361.98
"('it', (('n', 'pi'), 'ci'))",158364.72
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'ci')",1666150.26
"('pi', ('n', 'ci'))",1755220.66
"('it', ('pi', ('n', 'ci')))",1755223.4
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('pi', 'ci')",82287.05
"(('pi', 'ci'), 'n')",81826.68
"('it', (('pi', 'ci'), 'n'))",81841.8
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'ci')",1666150.26
"('pi', ('n', 'ci'))",1755220.66
"('it', ('pi', ('n', 'ci')))",1755223.4
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'pi')",158342.53
"(('n', 'pi'), 'it')",158342.93
"('ci', (('n', 'pi'), 'it'))",619368.87
"('n', 'ci')",1666150.26
