order,costs
"('pi', 'n')",68925.28
"('an', ('pi', 'n'))",85958.89
"(('an', ('pi', 'n')), 'it')",85959.9
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('an', ('pi', 'n'))",85958.89
"(('an', ('pi', 'n')), 'it')",85959.9
"('pi', 'n')",68925.28
"('an', ('pi', 'n'))",85958.89
"(('an', ('pi', 'n')), 'it')",85959.9
"('pi', 'n')",68925.28
"('an', ('pi', 'n'))",85958.89
"(('an', ('pi', 'n')), 'it')",85959.9
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('an', ('pi', 'n'))",85958.89
"(('an', ('pi', 'n')), 'it')",85959.9
"('pi', 'n')",68925.28
"('an', ('pi', 'n'))",85958.89
"(('an', ('pi', 'n')), 'it')",85959.9
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"('it', ('pi', 'n'))",68927.71
"('an', ('it', ('pi', 'n')))",93825.94
"('pi', 'n')",68925.28
"(('pi', 'n'), 'an')",68926.33
"((('pi', 'n'), 'an'), 'it')",68927.34
"('pi', 'n')",68925.28
"(('pi', 'n'), 'an')",68926.33
"('pi', 'n')",68925.28
"((('pi', 'n'), 'an'), 'it')",68927.34
"(('pi', 'n'), 'an')",68926.33
"('it', (('pi', 'n'), 'an'))",68928.76
"('pi', 'n')",68925.28
"(('pi', 'n'), 'an')",68926.33
"((('pi', 'n'), 'an'), 'it')",68927.34
