order,costs
"('lt', 'ml')",229.23
"('ci', ('lt', 'ml'))",1525228.61
"(('ci', ('lt', 'ml')), 'pi')",1542153.98
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"(('lt', ('ml', 'ci')), 'pi')",1121375.96
"('lt', 'ml')",229.23
"('ci', ('lt', 'ml'))",1525228.61
"(('ci', ('lt', 'ml')), 'pi')",1542153.98
"('lt', 'ml')",229.23
"('ci', ('lt', 'ml'))",1525228.61
"(('ci', ('lt', 'ml')), 'pi')",1542153.98
"('lt', 'ml')",229.23
"('ci', ('lt', 'ml'))",1525228.61
"(('ci', ('lt', 'ml')), 'pi')",1542153.98
"('ci', 'pi')",738425.88
"(('ci', 'pi'), 'ml')",738840.22
"('lt', (('ci', 'pi'), 'ml'))",738844.6
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"(('ci', ('ml', 'lt')), 'pi')",1542486.23
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"('pi', ('ci', ('ml', 'lt')))",1588084.52
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"(('ci', ('ml', 'lt')), 'pi')",1542486.23
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"('pi', ('ci', ('ml', 'lt')))",1588084.52
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"('pi', ('ci', ('ml', 'lt')))",1588084.52
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"('pi', ('ci', ('ml', 'lt')))",1588084.52
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"(('lt', ('ml', 'ci')), 'pi')",1121375.96
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"('pi', ('ci', ('ml', 'lt')))",1588084.52
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"(('ci', ('ml', 'lt')), 'pi')",1542486.23
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"(('lt', ('ml', 'ci')), 'pi')",1121375.96
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"('pi', ('lt', ('ml', 'ci')))",1136875.79
"('ml', 'lt')",561.48
"('ci', ('ml', 'lt'))",1525560.87
"('pi', ('ci', ('ml', 'lt')))",1588084.52
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"(('lt', ('ml', 'ci')), 'pi')",1121375.96
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"('ml', 'ci')",1054765.77
"('pi', ('lt', ('ml', 'ci')))",1136875.79
"('lt', ('ml', 'ci'))",1067351.28
"(('lt', ('ml', 'ci')), 'pi')",1121375.96
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"(('lt', ('ml', 'ci')), 'pi')",1121375.96
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"(('lt', ('ml', 'ci')), 'pi')",1121375.96
"('ml', 'ci')",1054765.77
"('lt', ('ml', 'ci'))",1067351.28
"(('lt', ('ml', 'ci')), 'pi')",1121375.96
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'lt')",1544468.14
"('pi', (('ci', 'ml'), 'lt'))",1606991.79
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'lt')",1544468.14
"('pi', (('ci', 'ml'), 'lt'))",1606991.79
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'lt')",1544468.14
"('pi', (('ci', 'ml'), 'lt'))",1606991.79
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'lt')",1544468.14
"('pi', (('ci', 'ml'), 'lt'))",1606991.79
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('ci', 'ml')",1638187.82
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"('ci', 'ml')",1638187.82
"(('ci', 'ml'), 'pi')",1612703.99
"('lt', (('ci', 'ml'), 'pi'))",1612708.38
"(('ml', 'ci'), 'pi')",1162606.6
"('lt', (('ml', 'ci'), 'pi'))",1162610.99
"('lt', ('ci', 'ml'))",1650773.33
"(('lt', ('ci', 'ml')), 'pi')",1704798.01
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"('lt', 'ml')",229.23
"(('ci', 'pi'), ('lt', 'ml'))",738046.7
"('pi', 'ci')",82287.05
"(('pi', 'ci'), 'ml')",82701.39
"((('pi', 'ci'), 'ml'), 'lt')",82679.07
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"('ci', 'pi')",738425.88
"(('ci', 'pi'), ('ml', 'lt'))",738378.95
"('ci', 'pi')",738425.88
"(('ci', 'pi'), ('ml', 'lt'))",738378.95
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"(('ml', 'lt'), 'ci')",63855.04
"('pi', (('ml', 'lt'), 'ci'))",133379.56
"('pi', 'ci')",82287.05
"(('pi', 'ci'), ('ml', 'lt'))",82240.12
"(('ml', 'ci'), 'pi')",1162606.6
"((('ml', 'ci'), 'pi'), 'lt')",1162608.66
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"('ci', 'pi')",738425.88
"(('ci', 'pi'), ('ml', 'lt'))",738378.95
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"(('ml', 'ci'), 'pi')",1162606.6
"('lt', (('ml', 'ci'), 'pi'))",1162610.99
"('pi', 'ci')",82287.05
"('ml', ('pi', 'ci'))",82978.85
"('lt', ('ml', ('pi', 'ci')))",82983.24
"('pi', 'ci')",82287.05
"('ml', ('pi', 'ci'))",82978.85
"('lt', ('ml', ('pi', 'ci')))",82983.24
"(('ml', 'ci'), 'pi')",1162606.6
"('lt', (('ml', 'ci'), 'pi'))",1162610.99
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"('ml', 'lt')",561.48
"('ci', 'pi')",738425.88
"(('ci', 'pi'), ('ml', 'lt'))",738378.95
"('ml', 'lt')",561.48
"(('ml', 'lt'), 'ci')",63855.04
"((('ml', 'lt'), 'ci'), 'pi')",117879.72
"('ml', 'lt')",561.48
