order,costs
"('ci', 'rt')",444050.88
"('an1', ('ci', 'rt'))",504799.32
"('t', ('an1', ('ci', 'rt')))",595040.72
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('ci', 'rt')",444050.88
"('an1', ('ci', 'rt'))",504799.32
"('t', ('an1', ('ci', 'rt')))",595040.72
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('ci', 'rt')",444050.88
"('an1', ('ci', 'rt'))",504799.32
"('t', ('an1', ('ci', 'rt')))",595040.72
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('ci', 'an1')",498838.23
"('t', (('ci', 'an1'), 'rt'))",532235.99
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"('ci', 'an1')",498838.23
"('t', (('ci', 'an1'), 'rt'))",532235.99
"(('ci', 'an1'), 'rt')",478889.2
"('t', (('ci', 'an1'), 'rt'))",532235.99
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"((('ci', 'an1'), 'rt'), 't')",496726.26
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 't')",701671.09
"((('an1', 'ci'), 't'), 'rt')",702458.01
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 't')",701671.09
"((('an1', 'ci'), 't'), 'rt')",702458.01
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 't')",701671.09
"((('an1', 'ci'), 't'), 'rt')",702458.01
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('an1', 'ci')",526253.4
"(('an1', 'ci'), 't')",701671.09
"((('an1', 'ci'), 't'), 'rt')",702458.01
"('ci', 'an1')",498838.23
"(('ci', 'an1'), 'rt')",478889.2
"((('ci', 'an1'), 'rt'), 't')",496726.26
"(('ci', 'an1'), 't')",592989.1
"((('ci', 'an1'), 't'), 'rt')",573040.07
"(('ci', 'an1'), 't')",592989.1
"('rt', (('ci', 'an1'), 't'))",595755.38
"((('ci', 'an1'), 'rt'), 't')",496726.26
"('t', ('ci', 'an1'))",628520.89
"(('t', ('ci', 'an1')), 'rt')",608571.85
"('t', 'ci')",520672.05
"(('t', 'ci'), 'rt')",512392.41
"((('t', 'ci'), 'rt'), 'an1')",516879.61
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('rt', 'ci')",100173.86
"(('rt', 'ci'), 't')",117943.58
"('an1', (('rt', 'ci'), 't'))",175729.59
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('ci', 't')",541174.47
"('an1', ('ci', 't'))",618863.34
"(('an1', ('ci', 't')), 'rt')",619650.26
"('ci', 't')",541174.47
"(('ci', 't'), 'rt')",532894.83
"('an1', (('ci', 't'), 'rt'))",593643.27
"('rt', 'ci')",100173.86
"('an1', ('rt', 'ci'))",157959.88
"('t', ('an1', ('rt', 'ci')))",211306.67
"('rt', 'ci')",100173.86
"(('rt', 'ci'), 'an1')",108356.07
"((('rt', 'ci'), 'an1'), 't')",151166.41
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('rt', 'ci')",100173.86
"(('rt', 'ci'), 't')",117943.58
"('an1', (('rt', 'ci'), 't'))",175729.59
"('t', 'ci')",520672.05
"(('t', 'ci'), 'an1')",568075.76
"('rt', (('t', 'ci'), 'an1'))",570842.04
"('ci', 't')",541174.47
"(('ci', 't'), 'rt')",532894.83
"('an1', (('ci', 't'), 'rt'))",593643.27
"('rt', 'ci')",100173.86
"(('rt', 'ci'), 'an1')",108356.07
"((('rt', 'ci'), 'an1'), 't')",151166.41
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('rt', 'ci')",100173.86
"(('rt', 'ci'), 't')",117943.58
"('an1', (('rt', 'ci'), 't'))",175729.59
"('t', 'ci')",520672.05
"(('t', 'ci'), 'rt')",512392.41
"((('t', 'ci'), 'rt'), 'an1')",516879.61
"('t', 'ci')",520672.05
"(('t', 'ci'), 'an1')",568075.76
"((('t', 'ci'), 'an1'), 'rt')",548126.72
"('ci', 'rt')",444050.88
"(('ci', 'rt'), 'an1')",448538.08
"((('ci', 'rt'), 'an1'), 't')",466375.14
"('ci', 't')",541174.47
"(('ci', 't'), 'an1')",588578.18
"((('ci', 't'), 'an1'), 'rt')",568629.14
"('ci', 'rt')",444050.88
"(('ci', 'rt'), 'an1')",448538.08
"((('ci', 'rt'), 'an1'), 't')",466375.14
"('t', 'ci')",520672.05
"(('t', 'ci'), 'an1')",568075.76
"('rt', (('t', 'ci'), 'an1'))",570842.04
"('rt', 'ci')",100173.86
