order,costs
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('ci', 'n')",525036.78
"('cn', 'mc')",48183.73
"(('ci', 'n'), ('cn', 'mc'))",572883.29
"('ci', 'n')",525036.78
"(('ci', 'n'), 'mc')",525042.46
"((('ci', 'n'), 'mc'), 'cn')",525048.56
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('cn', 'mc')",48183.73
"('ci', 'n')",525036.78
"(('ci', 'n'), ('cn', 'mc'))",572883.29
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('cn', 'mc')",48183.73
"(('cn', 'mc'), 'ci')",51586.91
"((('cn', 'mc'), 'ci'), 'n')",51593.01
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('cn', 'mc')",48183.73
"(('cn', 'mc'), 'ci')",51586.91
"((('cn', 'mc'), 'ci'), 'n')",51593.01
"('ci', 'n')",525036.78
"('mc', 'cn')",44763.88
"(('ci', 'n'), ('mc', 'cn'))",569805.47
"('cn', 'mc')",48183.73
"(('cn', 'mc'), 'ci')",51586.91
"((('cn', 'mc'), 'ci'), 'n')",51593.01
"('cn', 'mc')",48183.73
"('n', 'ci')",214921.76
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"('cn', 'mc')",48183.73
"(('cn', 'mc'), 'ci')",51586.91
"((('cn', 'mc'), 'ci'), 'n')",51593.01
"('cn', 'mc')",48183.73
"('cn', 'mc')",48183.73
"(('cn', 'mc'), 'ci')",51586.91
"(('cn', 'mc'), 'ci')",51586.91
"((('cn', 'mc'), 'ci'), 'n')",51593.01
"((('cn', 'mc'), 'ci'), 'n')",51593.01
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('mc', 'ci')",109936.64
"('ci', 'n')",525036.78
"(('mc', 'ci'), 'n')",110067.53
"('cn', 'mc')",48183.73
"('cn', (('mc', 'ci'), 'n'))",114849.76
"(('ci', 'n'), ('cn', 'mc'))",572883.29
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"((('ci', 'mc'), 'n'), 'cn')",484061.08
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"((('ci', 'mc'), 'n'), 'cn')",484061.08
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"('cn', (('ci', 'mc'), 'n'))",490129.62
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"((('ci', 'mc'), 'n'), 'cn')",484061.08
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"((('ci', 'mc'), 'n'), 'cn')",484061.08
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('cn', 'mc')",48183.73
"(('ci', 'n'), ('cn', 'mc'))",572883.29
"('cn', ('mc', ('ci', 'n')))",572973.57
"('cn', 'mc')",48183.73
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('ci', 'n')",525036.78
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('ci', 'n')",525036.78
"('mc', ('ci', 'n'))",566898.94
"('cn', ('mc', ('ci', 'n')))",572973.57
"('cn', 'mc')",48183.73
"(('cn', 'mc'), 'ci')",51586.91
"((('cn', 'mc'), 'ci'), 'n')",51593.01
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'cn')",484187.96
"('n', (('ci', 'mc'), 'cn'))",567033.08
"('mc', 'ci')",109936.64
"('cn', ('mc', 'ci'))",114918.63
"(('cn', ('mc', 'ci')), 'n')",114924.73
"('cn', 'mc')",48183.73
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"('mc', 'cn')",44763.88
"(('mc', 'cn'), 'ci')",46717.53
"('n', (('mc', 'cn'), 'ci'))",129562.65
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'cn')",110200.51
"((('mc', 'ci'), 'cn'), 'n')",110203.46
"('ci', ('cn', 'mc'))",491139.69
"(('ci', ('cn', 'mc')), 'n')",491142.65
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"('mc', 'ci')",109936.64
"('cn', ('mc', 'ci'))",114918.63
"('n', ('cn', ('mc', 'ci')))",197763.75
"('cn', 'mc')",48183.73
"('ci', ('cn', 'mc'))",491139.69
"(('ci', ('cn', 'mc')), 'n')",491142.65
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'cn')",110200.51
"((('mc', 'ci'), 'cn'), 'n')",110203.46
"('cn', 'mc')",48183.73
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"('ci', ('cn', 'mc'))",491139.69
"(('ci', ('cn', 'mc')), 'n')",491142.65
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"('cn', (('ci', 'mc'), 'n'))",490129.62
"('ci', ('cn', 'mc'))",491139.69
"('n', ('ci', ('cn', 'mc')))",573984.81
"(('ci', 'n'), 'mc')",525042.46
"((('ci', 'n'), 'mc'), 'cn')",525048.56
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'cn')",110200.51
"((('mc', 'ci'), 'cn'), 'n')",110203.46
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'cn')",110200.51
"((('mc', 'ci'), 'cn'), 'n')",110203.46
"('mc', 'cn')",44763.88
"(('mc', 'cn'), 'ci')",46717.53
"('mc', ('ci', 'n'))",566898.94
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('cn', 'mc')",48183.73
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"('mc', 'ci')",109936.64
"('n', ('mc', 'ci'))",193432.54
"(('n', ('mc', 'ci')), 'cn')",193438.64
"('cn', (('ci', 'mc'), 'n'))",490129.62
"(('ci', 'mc'), 'cn')",484187.96
"('n', (('ci', 'mc'), 'cn'))",567033.08
"('ci', 'mc')",483924.1
"('cn', ('ci', 'mc'))",488906.08
"(('cn', ('ci', 'mc')), 'n')",488912.19
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('cn', 'mc')",48183.73
"(('ci', 'n'), ('cn', 'mc'))",572883.29
"('n', 'ci')",214921.76
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"(('mc', ('ci', 'n')), 'cn')",566905.03
"(('cn', 'mc'), 'ci')",51586.91
"('n', (('cn', 'mc'), 'ci'))",134432.03
"('n', (('cn', 'mc'), 'ci'))",134432.03
"('cn', 'mc')",48183.73
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"(('ci', 'n'), ('cn', 'mc'))",572883.29
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'n')",110067.53
"((('mc', 'ci'), 'n'), 'cn')",110073.63
"(('cn', 'mc'), 'ci')",51586.91
"('n', (('cn', 'mc'), 'ci'))",134432.03
"('cn', 'mc')",48183.73
"('n', 'ci')",214921.76
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"('cn', 'mc')",48183.73
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"('cn', ('ci', 'mc'))",488906.08
"('n', ('cn', ('ci', 'mc')))",570691.22
"('n', (('cn', 'mc'), 'ci'))",134432.03
"(('mc', 'ci'), 'cn')",110200.51
"((('mc', 'ci'), 'cn'), 'n')",110203.46
"('mc', 'cn')",44763.88
"(('mc', 'cn'), 'ci')",46717.53
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"('n', (('cn', 'mc'), 'ci'))",134432.03
"(('mc', ('ci', 'n')), 'cn')",566905.03
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"('cn', (('ci', 'mc'), 'n'))",490129.62
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"('n', 'ci')",214921.76
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"('n', ('ci', 'mc'))",567420.0
"(('n', ('ci', 'mc')), 'cn')",567426.1
"('mc', 'cn')",44763.88
"('n', 'ci')",214921.76
"(('n', 'ci'), ('mc', 'cn'))",259690.46
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"('n', (('cn', 'mc'), 'ci'))",134432.03
"('mc', 'ci')",109936.64
"('n', ('mc', 'ci'))",193432.54
"(('n', ('mc', 'ci')), 'cn')",193438.64
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"(('mc', 'ci'), 'cn')",110200.51
"((('mc', 'ci'), 'cn'), 'n')",110203.46
"('mc', 'cn')",44763.88
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"('mc', 'cn')",44763.88
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"((('ci', 'mc'), 'cn'), 'n')",484190.92
"('mc', 'ci')",109936.64
"('cn', ('mc', 'ci'))",114918.63
"('n', ('cn', ('mc', 'ci')))",197763.75
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"('n', (('mc', 'cn'), 'ci'))",129562.65
"(('cn', 'mc'), 'ci')",51586.91
"('n', (('cn', 'mc'), 'ci'))",134432.03
"('n', 'ci')",214921.76
"(('n', 'ci'), ('mc', 'cn'))",259690.46
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'cn')",110200.51
"('n', (('mc', 'ci'), 'cn'))",193045.63
"('n', (('cn', 'mc'), 'ci'))",134432.03
"('mc', 'cn')",44763.88
"('n', 'ci')",214921.76
"(('n', 'ci'), ('mc', 'cn'))",259690.46
"(('ci', 'n'), ('mc', 'cn'))",569805.47
"('mc', 'ci')",109936.64
"('cn', ('mc', 'ci'))",114918.63
"('n', ('cn', ('mc', 'ci')))",197763.75
"('ci', ('mc', 'cn'))",487052.97
"(('ci', ('mc', 'cn')), 'n')",487055.93
"('n', 'ci')",214921.76
"(('n', 'ci'), 'mc')",214927.45
"('cn', (('n', 'ci'), 'mc'))",221002.08
"('mc', 'ci')",109936.64
"('cn', ('mc', 'ci'))",114918.63
"('n', ('cn', ('mc', 'ci')))",197763.75
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'n')",110067.53
"('cn', (('mc', 'ci'), 'n'))",114849.76
"(('n', 'ci'), 'mc')",214927.45
"('cn', (('n', 'ci'), 'mc'))",221002.08
"(('mc', 'cn'), 'ci')",46717.53
"(('mc', 'cn'), 'ci')",46717.53
"('mc', 'ci')",109936.64
"('cn', ('mc', 'ci'))",114918.63
"('n', ('cn', ('mc', 'ci')))",197763.75
"(('mc', 'cn'), 'ci')",46717.53
"('n', ('mc', 'ci'))",193432.54
"('cn', ('n', ('mc', 'ci')))",196495.45
"((('n', 'ci'), 'mc'), 'cn')",214933.54
"('n', ('mc', 'ci'))",193432.54
"('cn', ('n', ('mc', 'ci')))",196495.45
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('mc', 'cn'), 'ci')",46717.53
"(('mc', 'cn'), 'ci')",46717.53
"(('mc', 'cn'), 'ci')",46717.53
"('mc', 'ci')",109936.64
"('n', ('mc', 'ci'))",193432.54
"(('n', ('mc', 'ci')), 'cn')",193438.64
"('mc', ('n', 'ci'))",256783.92
"('cn', ('mc', ('n', 'ci')))",262858.56
"('mc', 'cn')",44763.88
"(('mc', 'cn'), 'ci')",46717.53
"('mc', 'cn')",44763.88
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"('ci', ('cn', 'mc'))",491139.69
"('n', ('ci', ('cn', 'mc')))",573984.81
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"(('cn', 'mc'), ('n', 'ci'))",263110.24
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"((('cn', 'mc'), 'ci'), 'n')",51593.01
"('mc', 'cn')",44763.88
"(('ci', 'n'), ('mc', 'cn'))",569805.47
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('mc', 'cn'), 'ci')",46717.53
"('mc', 'cn')",44763.88
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('n', 'ci'), 'mc')",214927.45
"('cn', (('n', 'ci'), 'mc'))",221002.08
"(('ci', 'n'), ('mc', 'cn'))",569805.47
"('mc', 'cn')",44763.88
"(('mc', 'cn'), 'ci')",46717.53
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('mc', 'cn'), 'ci')",46717.53
"(('ci', 'mc'), 'cn')",484187.96
"('n', (('ci', 'mc'), 'cn'))",567033.08
"(('ci', 'mc'), 'cn')",484187.96
"('n', (('ci', 'mc'), 'cn'))",567033.08
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"(('mc', 'cn'), 'ci')",46717.53
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('mc', 'cn'), 'ci')",46717.53
"(('ci', 'mc'), 'cn')",484187.96
"('n', (('ci', 'mc'), 'cn'))",567033.08
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"('cn', (('ci', 'mc'), 'n'))",490129.62
"(('ci', 'mc'), 'cn')",484187.96
"((('ci', 'mc'), 'cn'), 'n')",484190.92
"(('ci', 'mc'), 'n')",484054.99
"('cn', (('ci', 'mc'), 'n'))",490129.62
"(('mc', ('ci', 'n')), 'cn')",566905.03
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"('n', 'ci')",214921.76
"(('cn', 'mc'), ('n', 'ci'))",263110.24
"('n', 'ci')",214921.76
"(('cn', 'mc'), ('n', 'ci'))",263110.24
"('mc', 'cn')",44763.88
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('mc', 'cn'), 'ci')",46717.53
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'cn')",484187.96
"('n', (('ci', 'mc'), 'cn'))",567033.08
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"('n', 'ci')",214921.76
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"('cn', 'mc')",48183.73
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('cn', 'mc'), ('ci', 'n'))",573225.26
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"('cn', (('ci', 'mc'), 'n'))",490129.62
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"('cn', (('ci', 'mc'), 'n'))",490129.62
"('n', 'ci')",214921.76
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('ci', 'n'), 'mc')",525042.46
"('cn', (('ci', 'n'), 'mc'))",531117.1
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'cn')",484187.96
"('n', (('ci', 'mc'), 'cn'))",567033.08
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"(('mc', 'cn'), ('n', 'ci'))",259690.39
"('ci', 'mc')",483924.1
"(('ci', 'mc'), 'n')",484054.99
"('cn', (('ci', 'mc'), 'n'))",490129.62
"(('n', 'ci'), ('mc', 'cn'))",259690.46
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"('n', ('ci', 'mc'))",567420.0
"(('n', ('ci', 'mc')), 'cn')",567426.1
"('ci', ('mc', 'cn'))",487052.97
"('n', ('ci', ('mc', 'cn')))",569898.1
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"(('ci', ('mc', 'cn')), 'n')",487055.93
"('n', 'ci')",214921.76
"(('n', 'ci'), ('cn', 'mc'))",262768.27
"(('ci', 'n'), ('mc', 'cn'))",569805.47
"('mc', 'cn')",44763.88
"(('mc', 'cn'), ('ci', 'n'))",569805.41
"(('cn', 'mc'), ('n', 'ci'))",263110.24
"('ci', ('mc', 'cn'))",487052.97
"(('ci', ('mc', 'cn')), 'n')",487055.93
"('mc', 'ci')",109936.64
