order,costs
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'mc')",58553.73
"(('t', 'mc'), 'ci')",58684.19
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('t', 'mc')",58553.73
"(('t', 'mc'), 'ci')",58684.19
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'mc')",58553.73
"(('t', 'mc'), 'ci')",58684.19
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'mc')",58553.73
"(('t', 'mc'), 'ci')",58684.19
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'mc')",58553.73
"(('t', 'mc'), 'ci')",58684.19
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'ci')",60702.54
"(('t', 'ci'), 'rt')",60702.62
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('t', 'mc')",58553.73
"(('t', 'mc'), 'ci')",58684.19
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('t', 'mc')",58553.73
"(('t', 'mc'), 'ci')",58684.19
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('t', 'mc')",58553.73
"('t', 'ci')",60702.54
"(('t', 'mc'), 'ci')",58684.19
"(('t', 'ci'), 'mc')",60704.06
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('rt', (('t', 'ci'), 'mc'))",60705.22
"('t', 'mc')",58553.73
"(('t', 'mc'), 'ci')",58684.19
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('t', 'ci')",60702.54
"('t', 'mc')",58553.73
"(('t', 'ci'), 'rt')",60702.62
"(('t', 'mc'), 'ci')",58684.19
"('mc', (('t', 'ci'), 'rt'))",101271.35
"('rt', (('t', 'mc'), 'ci'))",58685.35
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",141840.47
"('t', ('mc', ('rt', 'ci')))",200149.29
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('ci', 't')",500418.74
"(('ci', 't'), 'mc')",500420.27
"('rt', (('ci', 't'), 'mc'))",500421.43
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'rt')",109928.17
"('t', (('mc', 'ci'), 'rt'))",168107.56
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'rt')",109928.17
"('t', (('mc', 'ci'), 'rt'))",168107.56
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'rt')",109928.17
"('t', (('mc', 'ci'), 'rt'))",168107.56
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'rt')",109928.17
"('t', (('mc', 'ci'), 'rt'))",168107.56
"('ci', 't')",500418.74
"(('ci', 't'), 'mc')",500420.27
"('rt', (('ci', 't'), 'mc'))",500421.43
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",141840.47
"('t', ('mc', ('rt', 'ci')))",200149.29
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'rt')",109928.17
"('t', (('mc', 'ci'), 'rt'))",168107.56
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'rt')",109928.17
"('t', (('mc', 'ci'), 'rt'))",168107.56
"('mc', ('t', 'ci'))",101271.17
"(('mc', ('t', 'ci')), 'rt')",101271.35
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",141840.47
"('t', ('mc', ('rt', 'ci')))",200149.29
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'rt')",109928.17
"('t', (('mc', 'ci'), 'rt'))",168107.56
"('mc', 'ci')",109936.64
"(('mc', 'ci'), 'rt')",109928.17
"('t', (('mc', 'ci'), 'rt'))",168107.56
"('rt', 'ci')",100173.86
"('mc', ('rt', 'ci'))",141840.47
"('t', ('mc', ('rt', 'ci')))",200149.29
"('mc', 't')",45790.49
"('ci', ('mc', 't'))",488082.6
"('rt', ('ci', ('mc', 't')))",488083.76
"('mc', 'ci')",109936.64
"('t', ('mc', 'ci'))",168179.49
"('rt', ('t', ('mc', 'ci')))",168180.65
"('ci', 't')",500418.74
"('rt', ('ci', 't'))",500419.92
"('mc', ('rt', ('ci', 't')))",542131.22
"('mc', 'ci')",109936.64
"('t', ('mc', 'ci'))",168179.49
"('rt', ('t', ('mc', 'ci')))",168180.65
"('ci', 't')",500418.74
"('rt', ('ci', 't'))",500419.92
