order,costs
"('mc', 'ci')",2791259.98
"('a1', ('mc', 'ci'))",30356818.36
"(('a1', ('mc', 'ci')), 'n1')",33166998.11
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('ci', 'n1')",1603351.28
"(('ci', 'n1'), 'a1')",2242445.63
"((('ci', 'n1'), 'a1'), 'mc')",3032260.24
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('n1', 'a1')",253205.31
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), ('n1', 'a1'))",7419784.11
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('n1', 'a1')",253205.31
"('ci', ('n1', 'a1'))",2717575.57
"(('ci', ('n1', 'a1')), 'mc')",3507390.17
"('n1', 'a1')",253205.31
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), ('n1', 'a1'))",7419784.11
"('mc', 'ci')",2791259.98
"('a1', ('mc', 'ci'))",30356818.36
"(('a1', ('mc', 'ci')), 'n1')",33166998.11
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('mc', 'ci')",2791259.98
"('a1', ('mc', 'ci'))",30356818.36
"(('a1', ('mc', 'ci')), 'n1')",33166998.11
"('mc', 'ci')",2791259.98
"('a1', 'n1')",253205.31
"(('a1', 'n1'), ('mc', 'ci'))",30516239.55
"('n1', 'a1')",253205.31
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), ('n1', 'a1'))",7542560.13
"('n1', 'a1')",253205.31
"('n1', 'a1')",253205.31
"(('n1', 'a1'), 'ci')",2872789.0
"('ci', ('n1', 'a1'))",2717575.57
"('mc', (('n1', 'a1'), 'ci'))",6724538.92
"(('ci', ('n1', 'a1')), 'mc')",3507390.17
"('n1', 'a1')",253205.31
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), ('n1', 'a1'))",7542560.13
"('n1', 'a1')",253205.31
"('n1', 'a1')",253205.31
"('ci', ('n1', 'a1'))",2717575.57
"('mc', 'ci')",2791259.98
"(('ci', ('n1', 'a1')), 'mc')",3507390.17
"(('mc', 'ci'), ('n1', 'a1'))",7542560.13
"('a1', 'n1')",253205.31
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('a1', 'n1')",253205.31
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', 'a1')",2801407.23
"(('ci', 'a1'), 'mc')",8863228.98
"((('ci', 'a1'), 'mc'), 'n1')",19149194.51
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', 'a1')",2801407.23
"(('ci', 'a1'), 'mc')",8863228.98
"((('ci', 'a1'), 'mc'), 'n1')",19149194.51
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', 'a1')",2801407.23
"(('ci', 'a1'), 'mc')",8863228.98
"((('ci', 'a1'), 'mc'), 'n1')",19149194.51
"('ci', 'a1')",2801407.23
"(('ci', 'a1'), 'mc')",8863228.98
"((('ci', 'a1'), 'mc'), 'n1')",19149194.51
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('a1', 'n1')",253205.31
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('a1', 'n1')",253205.31
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"('ci', ('a1', 'n1'))",2960828.42
"(('ci', ('a1', 'n1')), 'mc')",10557568.17
"(('mc', 'ci'), 'a1')",23987435.74
"('n1', (('mc', 'ci'), 'a1'))",34044109.17
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'a1')",23291472.24
"((('ci', 'mc'), 'a1'), 'n1')",26095414.02
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'a1')",23291472.24
"((('ci', 'mc'), 'a1'), 'n1')",26095414.02
"('ci', 'a1')",2801407.23
"(('ci', 'a1'), 'n1')",4066332.31
"((('ci', 'a1'), 'n1'), 'mc')",11663072.07
"('ci', 'a1')",2801407.23
"(('ci', 'a1'), 'mc')",8863228.98
"((('ci', 'a1'), 'mc'), 'n1')",19149194.51
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'a1')",23291472.24
"((('ci', 'mc'), 'a1'), 'n1')",26095414.02
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'a1')",23291472.24
"((('ci', 'mc'), 'a1'), 'n1')",26095414.02
"('n1', 'ci')",1966662.7
"('mc', ('n1', 'ci'))",4779211.24
"(('mc', ('n1', 'ci')), 'a1')",9228231.6
"('n1', 'ci')",1966662.7
"('a1', ('n1', 'ci'))",2296106.72
"('mc', ('a1', ('n1', 'ci')))",10477947.06
"('n1', 'ci')",1966662.7
"('mc', ('n1', 'ci'))",4779211.24
"(('mc', ('n1', 'ci')), 'a1')",9228231.6
"('n1', 'ci')",1966662.7
"(('n1', 'ci'), 'a1')",2242445.63
"((('n1', 'ci'), 'a1'), 'mc')",3032260.24
"('n1', 'ci')",1966662.7
"('mc', ('n1', 'ci'))",4779211.24
"(('mc', ('n1', 'ci')), 'a1')",9228231.6
"('n1', 'ci')",1966662.7
"(('n1', 'ci'), 'a1')",2242445.63
"((('n1', 'ci'), 'a1'), 'mc')",3032260.24
"('n1', 'ci')",1966662.7
"('mc', ('n1', 'ci'))",4779211.24
"(('mc', ('n1', 'ci')), 'a1')",9228231.6
"('n1', 'ci')",1966662.7
"(('n1', 'ci'), 'a1')",2242445.63
"((('n1', 'ci'), 'a1'), 'mc')",3032260.24
"('n1', 'ci')",1966662.7
"('mc', ('n1', 'ci'))",4779211.24
"(('mc', ('n1', 'ci')), 'a1')",9228231.6
"('n1', 'ci')",1966662.7
"(('n1', 'ci'), 'a1')",2242445.63
"((('n1', 'ci'), 'a1'), 'mc')",3032260.24
"('n1', 'ci')",1966662.7
"(('n1', 'ci'), 'a1')",2242445.63
