order,costs
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",27673371.24
"(('cn', ('ci', 'mc')), 'rt')",27786208.02
"('ci', 'rt')",744563.53
"('cn', 'mc')",134918.42
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('ci', 'rt')",744563.53
"(('ci', 'rt'), 'mc')",1027152.88
"((('ci', 'rt'), 'mc'), 'cn')",843403.14
"('ci', 'rt')",744563.53
"('cn', 'mc')",134918.42
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('ci', 'rt')",744563.53
"('cn', 'mc')",134918.42
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'rt')",1817982.13
"((('ci', 'mc'), 'rt'), 'cn')",1366357.61
"('cn', 'mc')",134918.42
"('ci', 'rt')",744563.53
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('mc', 'ci')",2791259.98
"('cn', ('mc', 'ci'))",5621754.05
"(('cn', ('mc', 'ci')), 'rt')",5734590.83
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'cn')",4359214.7
"((('mc', 'ci'), 'cn'), 'rt')",1494343.22
"('mc', 'ci')",2791259.98
"('cn', ('mc', 'ci'))",5621754.05
"('rt', ('cn', ('mc', 'ci')))",6018830.68
"('mc', 'ci')",2791259.98
"('cn', ('mc', 'ci'))",5621754.05
"(('cn', ('mc', 'ci')), 'rt')",5734590.83
"('mc', 'ci')",2791259.98
"('cn', ('mc', 'ci'))",5621754.05
"(('cn', ('mc', 'ci')), 'rt')",5734590.83
"('cn', 'mc')",134918.42
"(('cn', 'mc'), 'ci')",1857090.49
"((('cn', 'mc'), 'ci'), 'rt')",1429707.76
"('cn', 'mc')",134918.42
"('ci', 'rt')",744563.53
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('cn', 'mc')",134918.42
"('ci', 'rt')",744563.53
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('cn', 'mc')",134918.42
"('ci', 'rt')",744563.53
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('cn', 'mc')",134918.42
"('ci', 'rt')",744563.53
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('cn', 'mc')",134918.42
"('ci', 'rt')",744563.53
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('ci', 'rt')",744563.53
"('cn', 'mc')",134918.42
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('ci', 'rt')",744563.53
"('ci', 'rt')",744563.53
"('cn', 'mc')",134918.42
"('cn', 'mc')",134918.42
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"('ci', 'rt')",744563.53
"(('ci', 'rt'), 'mc')",1027152.88
"((('ci', 'rt'), 'mc'), 'cn')",843403.14
"('ci', 'mc')",2564024.17
"('ci', 'rt')",744563.53
"(('ci', 'mc'), 'rt')",1817982.13
"('cn', 'mc')",134918.42
"((('ci', 'mc'), 'rt'), 'cn')",1366357.61
"(('ci', 'rt'), ('cn', 'mc'))",918258.06
"(('ci', 'mc'), 'cn')",4236438.68
"((('ci', 'mc'), 'cn'), 'rt')",1371567.19
"(('ci', 'rt'), 'mc')",1027152.88
"((('ci', 'rt'), 'mc'), 'cn')",843403.14
"(('ci', 'rt'), 'mc')",1027152.88
"((('ci', 'rt'), 'mc'), 'cn')",843403.14
"(('ci', 'rt'), 'mc')",1027152.88
"((('ci', 'rt'), 'mc'), 'cn')",843403.14
"(('ci', 'mc'), 'cn')",4236438.68
"((('ci', 'mc'), 'cn'), 'rt')",1371567.19
"('ci', ('cn', 'mc'))",1931835.27
"(('ci', ('cn', 'mc')), 'rt')",1273336.17
"('cn', ('mc', 'ci'))",5621754.05
"(('cn', ('mc', 'ci')), 'rt')",5734590.83
"('rt', ('cn', ('mc', 'ci')))",6018830.68
"('rt', ('cn', ('mc', 'ci')))",6018830.68
"('ci', ('cn', 'mc'))",1931835.27
"('rt', ('ci', ('cn', 'mc')))",2328911.99
"('ci', ('cn', 'mc'))",1931835.27
"('rt', ('ci', ('cn', 'mc')))",2328911.99
"('ci', ('cn', 'mc'))",1931835.27
"(('ci', ('cn', 'mc')), 'rt')",1273336.17
"('ci', ('cn', 'mc'))",1931835.27
"(('ci', ('cn', 'mc')), 'rt')",1273336.17
"('ci', ('cn', 'mc'))",1931835.27
"('rt', ('ci', ('cn', 'mc')))",2328911.99
"('ci', ('cn', 'mc'))",1931835.27
"('rt', ('ci', ('cn', 'mc')))",2328911.99
"('mc', 'cn')",101741.45
"('rt', 'ci')",124802.44
"(('mc', 'cn'), ('rt', 'ci'))",394853.77
"('mc', 'cn')",101741.45
"('ci', 'rt')",744563.53
"(('mc', 'cn'), ('ci', 'rt'))",824408.8
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",27673371.24
"('rt', ('cn', ('ci', 'mc')))",28070447.88
"(('ci', 'rt'), 'mc')",1027152.88
"((('ci', 'rt'), 'mc'), 'cn')",843403.14
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'cn')",4236438.68
"('rt', (('ci', 'mc'), 'cn'))",4633515.39
"(('ci', 'mc'), 'cn')",4236438.68
"('rt', (('ci', 'mc'), 'cn'))",4633515.39
"(('ci', 'rt'), 'mc')",1027152.88
"('cn', (('ci', 'rt'), 'mc'))",2751061.41
"(('ci', 'rt'), 'mc')",1027152.88
"('cn', (('ci', 'rt'), 'mc'))",2751061.41
"(('ci', 'rt'), 'mc')",1027152.88
"((('ci', 'rt'), 'mc'), 'cn')",843403.14
"('rt', 'ci')",124802.44
"('mc', ('rt', 'ci'))",402411.09
"(('mc', ('rt', 'ci')), 'cn')",593703.71
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"((('mc', 'cn'), 'ci'), 'rt')",1068249.22
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"('rt', 'ci')",124802.44
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"('rt', 'ci')",124802.44
"('mc', ('rt', 'ci'))",402411.09
"(('mc', ('rt', 'ci')), 'cn')",593703.71
"('rt', 'ci')",124802.44
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"((('mc', 'cn'), 'ci'), 'rt')",1068249.22
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"('mc', 'cn')",101741.45
"('rt', 'ci')",124802.44
"('rt', 'ci')",124802.44
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"((('mc', 'cn'), 'ci'), 'rt')",1068249.22
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"('rt', 'ci')",124802.44
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"('rt', 'ci')",124802.44
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"('rt', 'ci')",124802.44
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"('rt', 'ci')",124802.44
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",27673371.24
"('rt', ('cn', ('ci', 'mc')))",28070447.88
"((('mc', 'cn'), 'ci'), 'rt')",1068249.22
"('rt', 'ci')",124802.44
"('mc', ('rt', 'ci'))",402411.09
"(('mc', ('rt', 'ci')), 'cn')",593703.71
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"('mc', 'cn')",101741.45
"('rt', 'ci')",124802.44
"(('mc', 'cn'), ('rt', 'ci'))",394853.77
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"('rt', 'ci')",124802.44
"('mc', ('rt', 'ci'))",402411.09
"(('mc', ('rt', 'ci')), 'cn')",593703.71
"('mc', 'cn')",101741.45
"('rt', 'ci')",124802.44
"(('mc', 'cn'), ('rt', 'ci'))",394853.77
"('rt', ('ci', 'mc'))",3658601.97
"('cn', ('rt', ('ci', 'mc')))",5382510.5
"(('ci', 'rt'), ('mc', 'cn'))",816847.96
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",27673371.24
"(('cn', ('ci', 'mc')), 'rt')",27786208.02
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'cn')",4359214.7
"((('mc', 'ci'), 'cn'), 'rt')",1494343.22
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",27673371.24
"(('cn', ('ci', 'mc')), 'rt')",27786208.02
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'cn')",4359214.7
"((('mc', 'ci'), 'cn'), 'rt')",1494343.22
"(('cn', 'mc'), 'ci')",1857090.49
"((('cn', 'mc'), 'ci'), 'rt')",1429707.76
"('cn', 'mc')",134918.42
"(('cn', 'mc'), 'ci')",1857090.49
"((('cn', 'mc'), 'ci'), 'rt')",1429707.76
"('ci', 'rt')",744563.53
"(('ci', 'rt'), ('mc', 'cn'))",816847.96
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",27673371.24
"(('cn', ('ci', 'mc')), 'rt')",27786208.02
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'rt')",1817982.13
"((('ci', 'mc'), 'rt'), 'cn')",1366357.61
"('cn', 'mc')",134918.42
"(('cn', 'mc'), 'ci')",1857090.49
"((('cn', 'mc'), 'ci'), 'rt')",1429707.76
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'rt')",1817982.13
"((('ci', 'mc'), 'rt'), 'cn')",1366357.61
"(('cn', 'mc'), 'ci')",1857090.49
"((('cn', 'mc'), 'ci'), 'rt')",1429707.76
"(('cn', ('ci', 'mc')), 'rt')",27786208.02
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",27673371.24
"(('cn', ('ci', 'mc')), 'rt')",27786208.02
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",27673371.24
"(('cn', ('ci', 'mc')), 'rt')",27786208.02
"('mc', ('ci', 'rt'))",1022172.18
"('cn', ('mc', ('ci', 'rt')))",2746080.72
"('rt', 'ci')",124802.44
"('rt', 'ci')",124802.44
"('mc', ('rt', 'ci'))",402411.09
"(('mc', ('rt', 'ci')), 'cn')",593703.71
"('mc', 'cn')",101741.45
"('ci', ('cn', 'mc'))",1931835.27
"(('ci', ('cn', 'mc')), 'rt')",1273336.17
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('ci', 'rt'))",824408.8
"(('ci', 'mc'), 'rt')",1817982.13
"((('ci', 'mc'), 'rt'), 'cn')",1366357.61
"('cn', ('ci', 'mc'))",27673371.24
"(('cn', ('ci', 'mc')), 'rt')",27786208.02
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 'cn')",4359214.7
"((('mc', 'ci'), 'cn'), 'rt')",1494343.22
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 'rt')",1817982.13
"((('ci', 'mc'), 'rt'), 'cn')",1366357.61
"(('cn', 'mc'), ('ci', 'rt'))",924397.99
"('rt', 'ci')",124802.44
"(('rt', 'ci'), ('cn', 'mc'))",411293.67
"('rt', 'ci')",124802.44
"('rt', 'ci')",124802.44
"('ci', 'rt')",744563.53
"(('mc', 'cn'), ('ci', 'rt'))",824408.8
"('mc', 'cn')",101741.45
"('rt', 'ci')",124802.44
"(('rt', 'ci'), ('cn', 'mc'))",411293.67
"('mc', 'cn')",101741.45
"(('cn', 'mc'), 'ci')",1857090.49
"((('cn', 'mc'), 'ci'), 'rt')",1429707.76
"('mc', ('rt', 'ci'))",402411.09
"(('mc', ('rt', 'ci')), 'cn')",593703.71
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"((('mc', 'cn'), 'ci'), 'rt')",1068249.22
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"(('rt', 'ci'), 'mc')",407391.79
"((('rt', 'ci'), 'mc'), 'cn')",598684.41
"(('mc', 'cn'), 'ci')",1823913.52
"('rt', (('mc', 'cn'), 'ci'))",2220990.16
"(('rt', 'ci'), ('cn', 'mc'))",411293.67
"('rt', 'ci')",124802.44
"(('mc', 'cn'), ('rt', 'ci'))",394853.77
"('rt', 'ci')",124802.44
"(('mc', 'cn'), ('rt', 'ci'))",394853.77
"('ci', 'rt')",744563.53
"(('mc', 'cn'), ('ci', 'rt'))",824408.8
"(('mc', 'cn'), 'ci')",1823913.52
"((('mc', 'cn'), 'ci'), 'rt')",1068249.22
"('rt', 'ci')",124802.44
"('mc', 'cn')",101741.45
