order,costs
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",695064.1
"(('mc', ('ci', 'an')), 'n')",717411.95
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('an', 'n'), ('mc', 'ci'))",634037.29
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('an', 'n'), ('mc', 'ci'))",634037.29
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('an', 'n'), ('mc', 'ci'))",634037.29
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",695064.1
"(('mc', ('ci', 'an')), 'n')",717411.95
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",695064.1
"(('mc', ('ci', 'an')), 'n')",717411.95
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('an', 'n'), ('mc', 'ci'))",634037.29
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('an', 'n')",98944.69
"('mc', 'ci')",556876.18
"(('mc', 'ci'), ('an', 'n'))",630265.65
"('ci', 'mc')",553199.78
"('n', ('ci', 'mc'))",614271.03
"(('n', ('ci', 'mc')), 'an')",614271.62
"('ci', 'mc')",553199.78
"('ci', 'an')",757947.5
"('n', ('ci', 'mc'))",614271.03
"('n', ('ci', 'an'))",673441.42
"(('n', ('ci', 'mc')), 'an')",614271.62
"('mc', ('n', ('ci', 'an')))",709058.8
"('ci', 'an')",757947.5
"('n', ('ci', 'an'))",673441.42
"(('n', ('ci', 'an')), 'mc')",673442.45
"('ci', 'an')",757947.5
"('n', ('ci', 'an'))",673441.42
"('ci', 'an')",757947.5
"('mc', ('n', ('ci', 'an')))",709058.8
"('n', ('ci', 'an'))",673441.42
"(('n', ('ci', 'an')), 'mc')",673442.45
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"('an', 'n')",98944.69
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"('ci', ('an', 'n'))",580202.28
"('mc', ('ci', ('an', 'n')))",615816.79
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"('ci', ('an', 'n'))",580202.28
"('mc', ('ci', ('an', 'n')))",615816.79
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"(('ci', 'an'), 'mc')",684334.4
"('n', (('ci', 'an'), 'mc'))",720615.07
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mc')",936953.24
"('n', (('an', 'ci'), 'mc'))",1055470.27
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"('an', 'n')",98944.69
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mc')",936953.24
"('n', (('an', 'ci'), 'mc'))",1055470.27
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"('n', 'an')",83280.74
"(('n', 'an'), ('mc', 'ci'))",618373.34
"('an', 'ci')",772720.72
"('n', ('an', 'ci'))",865939.24
"('mc', ('n', ('an', 'ci')))",925068.05
"('ci', 'an')",757947.5
"(('ci', 'an'), 'mc')",684334.4
"('n', (('ci', 'an'), 'mc'))",720615.07
"(('ci', 'an'), 'mc')",684334.4
"('n', (('ci', 'an'), 'mc'))",720615.07
"('an', 'n')",98944.69
"(('an', 'n'), 'ci')",99064.51
"('mc', (('an', 'n'), 'ci'))",134683.19
"(('ci', 'an'), 'mc')",684334.4
"('n', (('ci', 'an'), 'mc'))",720615.07
"('ci', 'an')",757947.5
"(('ci', 'an'), 'mc')",684334.4
"('n', (('ci', 'an'), 'mc'))",720615.07
"(('ci', 'an'), 'mc')",684334.4
"('n', (('ci', 'an'), 'mc'))",720615.07
"('n', 'an')",83280.74
"('ci', ('n', 'an'))",564533.93
"('mc', ('ci', ('n', 'an')))",600151.31
"('mc', 'ci')",556876.18
"(('mc', 'ci'), 'n')",596326.94
"((('mc', 'ci'), 'n'), 'an')",596327.54
"(('mc', 'ci'), 'n')",596326.94
"((('mc', 'ci'), 'n'), 'an')",596327.54
"('ci', 'n')",563636.43
"(('ci', 'n'), 'mc')",563640.34
"((('ci', 'n'), 'mc'), 'an')",563640.93
"('n', 'an')",83280.74
