order,costs
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"('rt', ('t', 'ci'))",609978.23
"('chn', ('rt', ('t', 'ci')))",740914.87
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 'chn')",125673.24
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 'chn')",125673.24
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"('t', 'ci')",605219.39
"('rt', ('t', 'ci'))",609978.23
"(('t', 'ci'), 'chn')",604357.2
"('chn', ('rt', ('t', 'ci')))",740914.87
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"('rt', ('t', 'ci'))",609978.23
"('chn', ('rt', ('t', 'ci')))",740914.87
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"((('ci', 'rt'), 'chn'), 't')",508731.39
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"((('ci', 'rt'), 'chn'), 't')",508731.39
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"((('ci', 'rt'), 'chn'), 't')",508731.39
"('ci', 't')",597522.9
"('chn', ('ci', 't'))",816586.49
"(('chn', ('ci', 't')), 'rt')",817244.0
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"((('ci', 'rt'), 'chn'), 't')",508731.39
"('ci', 't')",597522.9
"('chn', ('ci', 't'))",816586.49
"(('chn', ('ci', 't')), 'rt')",817244.0
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"((('ci', 'rt'), 'chn'), 't')",508731.39
"('ci', 'rt')",489393.19
"('chn', ('ci', 'rt'))",624443.29
"('t', ('chn', ('ci', 'rt')))",703231.12
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 't')",504924.66
"('chn', (('ci', 'rt'), 't'))",635861.3
"('ci', 'rt')",489393.19
"('chn', ('ci', 'rt'))",624443.29
"('t', ('chn', ('ci', 'rt')))",703231.12
"('ci', 'rt')",489393.19
"('chn', ('ci', 'rt'))",624443.29
"('t', ('chn', ('ci', 'rt')))",703231.12
"('ci', 'rt')",489393.19
"('chn', ('ci', 'rt'))",624443.29
"('t', ('chn', ('ci', 'rt')))",703231.12
"('ci', 'rt')",489393.19
"('chn', ('ci', 'rt'))",624443.29
"(('chn', ('ci', 'rt')), 't')",647242.32
"('ci', 'rt')",489393.19
"('chn', ('ci', 'rt'))",624443.29
"(('chn', ('ci', 'rt')), 't')",647242.32
"('ci', 'rt')",489393.19
"('chn', ('ci', 'rt'))",624443.29
"(('chn', ('ci', 'rt')), 't')",647242.32
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"((('ci', 'rt'), 'chn'), 't')",508731.39
"('ci', 't')",597522.9
"('chn', ('ci', 't'))",816586.49
"(('chn', ('ci', 't')), 'rt')",817244.0
"('ci', 'rt')",489393.19
"('chn', ('ci', 'rt'))",624443.29
"(('chn', ('ci', 'rt')), 't')",647242.32
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"('t', (('ci', 'rt'), 'chn'))",553081.13
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 't')",602403.96
"((('ci', 'chn'), 't'), 'rt')",585740.8
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"((('ci', 'rt'), 'chn'), 't')",508731.39
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'rt')",508793.21
"((('ci', 'chn'), 'rt'), 't')",516332.94
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"('t', (('ci', 'rt'), 'chn'))",553081.13
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'chn')",501191.66
"('t', (('ci', 'rt'), 'chn'))",553081.13
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",952247.92
"('rt', (('chn', 'ci'), 't'))",954558.77
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 't')",156077.71
"('chn', (('rt', 'ci'), 't'))",266567.1
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 't')",156077.71
"('chn', (('rt', 'ci'), 't'))",266567.1
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"('t', 'ci')",605219.39
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"(('t', 'ci'), 'rt')",570894.07
"((('t', 'ci'), 'rt'), 'chn')",577933.19
"(('t', 'ci'), 'rt')",570894.07
"((('t', 'ci'), 'rt'), 'chn')",577933.19
"(('t', 'ci'), 'chn')",604357.2
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"(('t', 'ci'), 'chn')",604357.2
"('rt', (('t', 'ci'), 'chn'))",606668.05
"(('t', 'ci'), 'rt')",570894.07
"((('t', 'ci'), 'rt'), 'chn')",577933.19
"('t', ('ci', 'chn'))",603873.24
"('rt', ('t', ('ci', 'chn')))",606184.09
"('t', ('ci', 'rt'))",539427.08
"(('t', ('ci', 'rt')), 'chn')",546466.2
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",603873.24
"(('t', ('ci', 'chn')), 'rt')",587210.08
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",603873.24
"(('t', ('ci', 'chn')), 'rt')",587210.08
"('t', ('ci', 'rt'))",539427.08
"(('t', ('ci', 'rt')), 'chn')",546466.2
"('ci', 'rt')",489393.19
"('t', ('ci', 'rt'))",539427.08
"(('t', ('ci', 'rt')), 'chn')",546466.2
"('ci', 'chn')",546665.42
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 't')",574714.9
"('ci', 't')",597522.9
"('rt', ('ci', 't'))",602281.75
"('chn', ('rt', ('ci', 't')))",733218.39
"('t', ('ci', 'rt'))",539427.08
"(('t', ('ci', 'rt')), 'chn')",546466.2
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",952247.92
"('rt', (('chn', 'ci'), 't'))",954558.77
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 't')",602403.96
"('rt', (('ci', 'chn'), 't'))",604714.81
"((('ci', 'rt'), 't'), 'chn')",511963.77
"('t', ('ci', 'rt'))",539427.08
"(('t', ('ci', 'rt')), 'chn')",546466.2
"('ci', 'chn')",546665.42
"('rt', ('ci', 'chn'))",551915.87
"('t', ('rt', ('ci', 'chn')))",630703.7
"('ci', 'chn')",546665.42
"('rt', ('ci', 'chn'))",551915.87
"('t', ('rt', ('ci', 'chn')))",630703.7
"('ci', 'chn')",546665.42
"('rt', ('ci', 'chn'))",551915.87
"('t', ('rt', ('ci', 'chn')))",630703.7
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",603873.24
"(('t', ('ci', 'chn')), 'rt')",587210.08
"('ci', 'chn')",546665.42
"('t', ('ci', 'chn'))",603873.24
"(('t', ('ci', 'chn')), 'rt')",587210.08
"('ci', 'chn')",546665.42
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 't')",574714.9
"(('t', 'ci'), 'rt')",570894.07
"((('t', 'ci'), 'rt'), 'chn')",577933.19
"('ci', 'chn')",546665.42
"('rt', ('ci', 'chn'))",551915.87
"('t', ('rt', ('ci', 'chn')))",630703.7
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 't')",602403.96
"('rt', (('ci', 'chn'), 't'))",604714.81
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",952247.92
"('rt', (('chn', 'ci'), 't'))",954558.77
"(('ci', 'chn'), 't')",602403.96
"('rt', (('ci', 'chn'), 't'))",604714.81
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",952247.92
"('rt', (('chn', 'ci'), 't'))",954558.77
"('ci', 't')",597522.9
"(('ci', 't'), 'rt')",563197.59
"('chn', (('ci', 't'), 'rt'))",694134.23
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",952247.92
"('rt', (('chn', 'ci'), 't'))",954558.77
"(('ci', 'chn'), 't')",602403.96
"('rt', (('ci', 'chn'), 't'))",604714.81
"('t', ('ci', 'chn'))",603873.24
"(('t', ('ci', 'chn')), 'rt')",587210.08
"('ci', 'chn')",546665.42
"('rt', ('ci', 'chn'))",551915.87
"('t', ('rt', ('ci', 'chn')))",630703.7
"((('t', 'ci'), 'chn'), 'rt')",587694.04
"(('t', ('ci', 'chn')), 'rt')",587210.08
"('rt', 'ci')",109114.13
"('t', ('rt', 'ci'))",169118.15
"(('t', ('rt', 'ci')), 'chn')",176157.27
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'rt')",508793.21
"('t', (('ci', 'chn'), 'rt'))",560682.68
"(('ci', 'chn'), 'rt')",508793.21
"('t', (('ci', 'chn'), 'rt'))",560682.68
"(('chn', 'ci'), 'rt')",814069.95
"('t', (('chn', 'ci'), 'rt'))",892857.78
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'rt')",508793.21
