order,costs
"('rt', 'ci')",109114.13
"('mc', ('rt', 'ci'))",149122.55
"('rt', 'ci')",109114.13
"('mc', ('rt', 'ci'))",149122.55
"('rt', 'ci')",109114.13
"('mc', ('rt', 'ci'))",149122.55
"('ci', 'rt')",489393.19
"('mc', 'cn')",53163.52
"(('mc', 'cn'), ('ci', 'rt'))",524370.17
"('ci', 'rt')",489393.19
"('mc', ('ci', 'rt'))",520292.48
"('cn', ('mc', ('ci', 'rt')))",534699.17
"('ci', 'mc')",553199.78
"(('ci', 'mc'), 'rt')",530704.42
"((('ci', 'mc'), 'rt'), 'cn')",533627.09
"('cn', 'mc')",111092.68
"('rt', 'ci')",109114.13
"(('rt', 'ci'), ('cn', 'mc'))",227576.79
"('ci', 'rt')",489393.19
"('mc', ('ci', 'rt'))",520292.48
"(('mc', ('ci', 'rt')), 'cn')",523215.14
"('ci', 'mc')",553199.78
"('rt', ('ci', 'mc'))",556318.98
"(('rt', ('ci', 'mc')), 'cn')",566512.7
"('mc', 'ci')",556876.18
"('rt', ('mc', 'ci'))",559995.38
"(('rt', ('mc', 'ci')), 'cn')",570189.1
"('cn', 'mc')",111092.68
"('rt', 'ci')",109114.13
"(('rt', 'ci'), ('cn', 'mc'))",227576.79
"('ci', 'rt')",489393.19
"('mc', ('ci', 'rt'))",520292.48
"(('mc', ('ci', 'rt')), 'cn')",523215.14
"('mc', 'ci')",556876.18
"('rt', ('mc', 'ci'))",559995.38
"(('rt', ('mc', 'ci')), 'cn')",570189.1
"('mc', 'ci')",556876.18
"('rt', ('mc', 'ci'))",559995.38
"(('rt', ('mc', 'ci')), 'cn')",570189.1
"('mc', 'ci')",556876.18
"('rt', ('mc', 'ci'))",559995.38
"(('rt', ('mc', 'ci')), 'cn')",570189.1
"('mc', 'ci')",556876.18
"('rt', ('mc', 'ci'))",559995.38
"(('rt', ('mc', 'ci')), 'cn')",570189.1
"('mc', 'ci')",556876.18
"('rt', ('mc', 'ci'))",559995.38
"(('rt', ('mc', 'ci')), 'cn')",570189.1
"('mc', 'cn')",53163.52
