order,costs
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"((('mc', 'ci'), 'n'), 'chn')",725855.45
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"((('mc', 'ci'), 'n'), 'chn')",725855.45
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"((('mc', 'ci'), 'n'), 'chn')",725855.45
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"((('mc', 'ci'), 'n'), 'chn')",725855.45
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"((('mc', 'ci'), 'n'), 'chn')",725855.45
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"((('mc', 'ci'), 'n'), 'chn')",725855.45
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"((('ci', 'n'), 'mc'), 'chn')",680742.29
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"('chn', (('ci', 'n'), 'mc'))",944595.21
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"('chn', (('ci', 'n'), 'mc'))",944595.21
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"('chn', (('ci', 'n'), 'mc'))",944595.21
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"((('mc', 'ci'), 'n'), 'chn')",725855.45
"('ci', 'n')",600885.0
"(('ci', 'n'), 'chn')",607424.18
"('mc', (('ci', 'n'), 'chn'))",676677.24
"('ci', 'n')",600885.0
"(('ci', 'n'), 'chn')",607424.18
"('mc', (('ci', 'n'), 'chn'))",676677.24
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"((('mc', 'ci'), 'n'), 'chn')",725855.45
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"((('ci', 'n'), 'mc'), 'chn')",680742.29
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"((('ci', 'n'), 'mc'), 'chn')",680742.29
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'chn')",701784.32
"('n', (('mc', 'ci'), 'chn'))",1172589.85
"('n', 'ci')",860175.93
"(('n', 'ci'), 'chn')",879939.39
"((('n', 'ci'), 'chn'), 'mc')",945882.86
"('n', 'ci')",860175.93
"('ci', 'mc')",729377.9
"(('n', 'ci'), 'chn')",879939.39
"(('ci', 'mc'), 'chn')",690927.57
"('n', (('ci', 'mc'), 'chn'))",1161733.1
"((('n', 'ci'), 'chn'), 'mc')",945882.86
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'chn')",701784.32
"('n', (('mc', 'ci'), 'chn'))",1172589.85
"('ci', 'n')",600885.0
"(('ci', 'n'), 'chn')",607424.18
"((('ci', 'n'), 'chn'), 'mc')",648666.47
"('n', 'ci')",860175.93
"(('n', 'ci'), 'chn')",879939.39
"((('n', 'ci'), 'chn'), 'mc')",945882.86
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"('chn', ('n', ('ci', 'mc')))",1593433.42
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"('chn', ('n', ('ci', 'mc')))",1593433.42
"('ci', 'chn')",546665.42
"('mc', ('ci', 'chn'))",676511.62
"(('mc', ('ci', 'chn')), 'n')",714618.84
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'n')",720095.76
"('chn', (('ci', 'mc'), 'n'))",971865.89
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"('chn', ('n', ('ci', 'mc')))",1593433.42
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"('chn', ('n', ('ci', 'mc')))",1593433.42
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"('chn', ('n', ('ci', 'mc')))",1593433.42
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"('chn', ('n', ('ci', 'mc')))",1593433.42
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'mc')",962740.85
"((('chn', 'ci'), 'mc'), 'n')",1166712.84
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"('mc', ('n', ('chn', 'ci')))",1206152.3
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"('n', ('mc', ('chn', 'ci')))",1461212.45
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('n', 'ci')",860175.93
"(('n', 'ci'), 'chn')",879939.39
"((('n', 'ci'), 'chn'), 'mc')",945882.86
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"('n', ('mc', ('chn', 'ci')))",1461212.45
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"('n', ('mc', ('chn', 'ci')))",1461212.45
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"('n', ('mc', ('chn', 'ci')))",1461212.45
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"('n', ('mc', ('chn', 'ci')))",1461212.45
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('mc', (('chn', 'ci'), 'n'))",1073863.81
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"(('mc', ('chn', 'ci')), 'n')",1166666.25
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"(('n', ('ci', 'chn')), 'mc')",891480.34
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"('n', ('mc', ('chn', 'ci')))",1461212.45
"('n', ('chn', 'ci'))",1091448.57
"(('n', ('chn', 'ci')), 'mc')",1157392.04
"('chn', 'ci')",812577.11
"('mc', ('chn', 'ci'))",990406.93
"('n', ('mc', ('chn', 'ci')))",1461212.45
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"(('n', ('ci', 'chn')), 'mc')",891480.34
"(('n', ('ci', 'chn')), 'mc')",891480.34
"('mc', ('n', ('chn', 'ci')))",1206152.3
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('mc', ('n', ('chn', 'ci')))",1206152.3
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('chn', ('mc', 'ci'))",1335860.66
"(('chn', ('mc', 'ci')), 'n')",1536402.06
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('mc', ('n', ('chn', 'ci')))",1206152.3
"('ci', 'chn')",546665.42
"('mc', ('ci', 'chn'))",676511.62
"(('mc', ('ci', 'chn')), 'n')",714618.84
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('n', ('ci', 'mc'))",1341663.3
"('chn', ('n', ('ci', 'mc')))",1593433.42
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('n', ('chn', 'ci'))",1091448.57
"('mc', ('n', ('chn', 'ci')))",1206152.3
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('n', ('chn', 'ci'))",1091448.57
"('mc', ('n', ('chn', 'ci')))",1206152.3
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"('mc', ('n', ('ci', 'chn')))",940240.61
"('n', ('chn', 'ci'))",1091448.57
"('mc', ('n', ('chn', 'ci')))",1206152.3
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', ('mc', 'ci'))",1385075.55
"('chn', ('n', ('mc', 'ci')))",1636845.68
"('n', ('mc', 'ci'))",1385075.55
"('chn', ('n', ('mc', 'ci')))",1636845.68
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('mc', ('n', ('ci', 'chn')))",940240.61
"(('n', ('ci', 'chn')), 'mc')",891480.34
"(('n', 'ci'), 'mc')",996011.32
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"(('n', ('ci', 'mc')), 'chn')",1368515.8
"('n', ('chn', 'ci'))",1091448.57
"('mc', ('n', ('chn', 'ci')))",1206152.3
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"('chn', (('mc', 'ci'), 'n'))",982722.64
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'n')",730952.51
"('chn', (('mc', 'ci'), 'n'))",982722.64
"('mc', 'ci')",772790.16
"('n', ('mc', 'ci'))",1385075.55
"('chn', ('n', ('mc', 'ci')))",1636845.68
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('mc', 'ci')",772790.16
"('n', ('mc', 'ci'))",1385075.55
"('chn', ('n', ('mc', 'ci')))",1636845.68
"(('mc', 'ci'), 'n')",730952.51
"('chn', (('mc', 'ci'), 'n'))",982722.64
"((('ci', 'mc'), 'n'), 'chn')",714998.7
"('ci', 'n')",600885.0
"('mc', ('ci', 'n'))",687535.93
"(('mc', ('ci', 'n')), 'chn')",682438.87
"('n', ('ci', 'mc'))",1341663.3
"(('n', ('ci', 'mc')), 'chn')",1368515.8
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"((('ci', 'n'), 'mc'), 'chn')",680742.29
"((('ci', 'mc'), 'n'), 'chn')",714998.7
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"(('n', ('ci', 'chn')), 'mc')",891480.34
"((('ci', 'mc'), 'n'), 'chn')",714998.7
"(('n', ('ci', 'mc')), 'chn')",1368515.8
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"((('ci', 'mc'), 'n'), 'chn')",714998.7
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"(('ci', 'chn'), 'n')",597108.04
"(('n', 'ci'), 'chn')",879939.39
"('mc', (('n', 'ci'), 'chn'))",994643.12
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('chn', (('n', 'ci'), 'mc'))",1247781.44
"(('n', ('ci', 'mc')), 'chn')",1368515.8
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"('mc', ('ci', 'chn'))",676511.62
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"('n', ('mc', ('ci', 'chn')))",1147317.15
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"(('n', ('ci', 'mc')), 'chn')",1368515.8
"('mc', ('chn', 'ci'))",990406.93
"('n', ('mc', ('chn', 'ci')))",1461212.45
"('mc', (('n', 'ci'), 'chn'))",994643.12
"((('ci', 'mc'), 'n'), 'chn')",714998.7
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"('ci', 'chn')",546665.42
"('n', ('ci', 'chn'))",825536.88
"(('n', ('ci', 'chn')), 'mc')",891480.34
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"('chn', (('ci', 'n'), 'mc'))",944595.21
"(('ci', 'n'), 'mc')",685839.36
"('chn', (('ci', 'n'), 'mc'))",944595.21
"(('n', 'ci'), 'chn')",879939.39
"('mc', (('n', 'ci'), 'chn'))",994643.12
"('mc', ('n', 'ci'))",992856.67
"('chn', ('mc', ('n', 'ci')))",1244626.79
"('ci', 'n')",600885.0
"(('ci', 'n'), 'mc')",685839.36
"('chn', (('ci', 'n'), 'mc'))",944595.21
"(('n', 'ci'), 'chn')",879939.39
"('mc', (('n', 'ci'), 'chn'))",994643.12
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"('n', 'ci')",860175.93
"(('n', 'ci'), 'mc')",996011.32
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"('ci', 'mc')",729377.9
"('n', ('ci', 'mc'))",1341663.3
"(('n', ('ci', 'mc')), 'chn')",1368515.8
"('mc', 'ci')",772790.16
"('n', ('mc', 'ci'))",1385075.55
"(('n', ('mc', 'ci')), 'chn')",1411928.06
"('mc', 'ci')",772790.16
"('n', ('mc', 'ci'))",1385075.55
"(('n', ('mc', 'ci')), 'chn')",1411928.06
"(('ci', 'mc'), 'n')",720095.76
"((('ci', 'mc'), 'n'), 'chn')",714998.7
"('mc', 'ci')",772790.16
"('n', ('mc', 'ci'))",1385075.55
"(('n', ('mc', 'ci')), 'chn')",1411928.06
"((('n', 'ci'), 'mc'), 'chn')",1022863.82
"(('mc', 'ci'), 'chn')",701784.32
"((('mc', 'ci'), 'chn'), 'n')",739891.54
"(('n', 'ci'), 'chn')",879939.39
"('mc', (('n', 'ci'), 'chn'))",994643.12
"('n', 'ci')",860175.93
"(('n', 'ci'), 'chn')",879939.39
"((('n', 'ci'), 'chn'), 'mc')",945882.86
"('mc', 'ci')",772790.16
