order,costs
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"(('chn', ('ci', 'n')), 't')",821302.68
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'n')",597108.04
"('t', (('ci', 'chn'), 'n'))",683003.1
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"(('chn', ('ci', 'n')), 't')",821302.68
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"(('chn', ('ci', 'n')), 't')",821302.68
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"(('chn', ('ci', 'n')), 't')",821302.68
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"(('chn', ('ci', 'n')), 't')",821302.68
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"(('chn', ('ci', 'n')), 't')",821302.68
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
"('ci', 'n')",600885.0
"('chn', ('ci', 'n'))",758452.49
"('t', ('chn', ('ci', 'n')))",886485.82
