aliases,cardinality
"('it2', 'mi_idx')",459925
"('it2', 'mi', 'mi_idx')",104892
"('it1', 'it2', 'mi', 'mi_idx')",102516
"('it1', 'it2', 'mi', 'mi_idx', 't')",102516
"('ci', 'it1', 'it2', 'mi', 'mi_idx', 't')",54155
"('ci', 'it1', 'it2', 'mi', 'mi_idx', 'n', 't')",28073
"('ci', 't')",1244716
"('ci', 'n', 't')",558518
"('ci', 'mi_idx', 'n', 't')",501122
"('ci', 'mi', 'mi_idx', 'n', 't')",88457
"('ci', 'it2', 'mi', 'mi_idx', 'n', 't')",29399
"('ci', 'n')",558518
"('mi_idx', 't')",1380035
"('ci', 'mi_idx', 't')",1000868
"('ci', 'mi_idx')",1000868
"('ci', 'mi_idx', 'n')",501122
"('ci', 'mi', 'n', 't')",46591
"('mi', 't')",188971
"('ci', 'mi', 't')",95066
"('ci', 'mi')",95066
"('ci', 'mi', 'n')",46591
"('mi', 'mi_idx', 't')",315079
"('ci', 'mi', 'mi_idx', 't')",168225
"('mi', 'mi_idx')",315079
"('ci', 'mi', 'mi_idx')",168225
"('ci', 'mi', 'mi_idx', 'n')",88457
"('ci', 'it2', 'mi_idx', 'n', 't')",166987
"('it2', 'mi_idx', 't')",459925
"('ci', 'it2', 'mi_idx', 't')",333558
"('ci', 'it2', 'mi_idx')",333558
"('ci', 'it2', 'mi_idx', 'n')",166987
"('it2', 'mi', 'mi_idx', 't')",104892
"('ci', 'it2', 'mi', 'mi_idx', 't')",55981
"('ci', 'it2', 'mi', 'mi_idx')",55981
"('ci', 'it2', 'mi', 'mi_idx', 'n')",29399
"('ci', 'it1', 'mi', 'mi_idx', 'n', 't')",84358
"('ci', 'it1', 'mi', 'n', 't')",45265
"('it1', 'mi', 't')",186594
"('ci', 'it1', 'mi', 't')",93240
"('it1', 'mi')",186594
"('ci', 'it1', 'mi')",93240
"('ci', 'it1', 'mi', 'n')",45265
"('it1', 'mi', 'mi_idx', 't')",307785
"('ci', 'it1', 'mi', 'mi_idx', 't')",162621
"('it1', 'mi', 'mi_idx')",307785
"('ci', 'it1', 'mi', 'mi_idx')",162621
"('ci', 'it1', 'mi', 'mi_idx', 'n')",84358
"('ci', 'it1', 'it2', 'mi', 'mi_idx')",54155
"('ci', 'it1', 'it2', 'mi', 'mi_idx', 'n')",28073
