aliases,cardinality
"('k', 'mk')",10544
"('k', 'mk', 'ml')",251
"('k', 'lt', 'mk', 'ml')",199
"('k', 'lt', 'mc', 'mk', 'ml')",1021
"('cn', 'k', 'lt', 'mc', 'mk', 'ml')",422
"('cn', 'ct', 'k', 'lt', 'mc', 'mk', 'ml')",402
"('cn', 'ct', 'k', 'lt', 'mc', 'mi', 'mk', 'ml')",1816
"('cn', 'ct', 'k', 'lt', 'mc', 'mi', 'mk', 'ml', 't')",1410
"('ml', 't')",13627
"('mk', 'ml', 't')",170868
"('mi', 'mk', 'ml', 't')",15001
"('mc', 'mi', 'mk', 'ml', 't')",66202
"('lt', 'mc', 'mi', 'mk', 'ml', 't')",54297
"('k', 'lt', 'mc', 'mi', 'mk', 'ml', 't')",3124
"('ct', 'k', 'lt', 'mc', 'mi', 'mk', 'ml', 't')",3029
"('mk', 't')",2011296
"('mk', 'ml')",288192
"('mi', 'ml', 't')",1844
"('mi', 't')",60806
"('mi', 'ml')",4124
"('mi', 'mk', 't')",265913
"('mi', 'mk')",612026
"('mi', 'mk', 'ml')",48622
"('mc', 'mk', 'ml', 't')",437931
"('mc', 'ml', 't')",25214
"('mc', 't')",546306
"('mc', 'ml')",43026
"('mc', 'mk', 't')",3185481
"('mc', 'mk')",6719220
"('mc', 'mk', 'ml')",732182
"('mc', 'mi', 'ml', 't')",7325
"('mc', 'mi', 't')",68665
"('mc', 'mi')",164203
"('mc', 'mi', 'ml')",11659
"('mc', 'mi', 'mk', 't')",584925
"('mc', 'mi', 'mk')",1336771
"('mc', 'mi', 'mk', 'ml')",142387
"('lt', 'mi', 'mk', 'ml', 't')",9341
"('lt', 'mk', 'ml', 't')",12059
"('lt', 'ml', 't')",1332
"('lt', 'ml')",2315
"('lt', 'mk', 'ml')",17543
"('lt', 'mi', 'ml', 't')",1311
"('lt', 'mi', 'ml')",2782
"('lt', 'mi', 'mk', 'ml')",15532
"('lt', 'mc', 'mk', 'ml', 't')",40132
"('lt', 'mc', 'ml', 't')",3313
"('lt', 'mc', 'ml')",5069
"('lt', 'mc', 'mk', 'ml')",54010
"('lt', 'mc', 'mi', 'ml', 't')",6440
"('lt', 'mc', 'mi', 'ml')",9702
"('lt', 'mc', 'mi', 'mk', 'ml')",70934
"('k', 'mc', 'mi', 'mk', 'ml', 't')",3124
"('k', 'mi', 'mk', 'ml', 't')",517
"('k', 'mk', 'ml', 't')",199
"('k', 'mk', 't')",5541
"('k', 'mi', 'mk', 't')",1069
"('k', 'mi', 'mk')",1520
"('k', 'mi', 'mk', 'ml')",684
"('k', 'mc', 'mk', 'ml', 't')",845
"('k', 'mc', 'mk', 't')",8138
"('k', 'mc', 'mk')",14331
"('k', 'mc', 'mk', 'ml')",1173
"('k', 'mc', 'mi', 'mk', 't')",2166
"('k', 'mc', 'mi', 'mk')",3014
"('k', 'mc', 'mi', 'mk', 'ml')",4365
"('k', 'lt', 'mi', 'mk', 'ml', 't')",517
"('k', 'lt', 'mk', 'ml', 't')",152
"('k', 'lt', 'mi', 'mk', 'ml')",684
"('k', 'lt', 'mc', 'mk', 'ml', 't')",705
"('k', 'lt', 'mc', 'mi', 'mk', 'ml')",4365
"('ct', 'lt', 'mc', 'mi', 'mk', 'ml', 't')",50862
"('ct', 'mc', 'mi', 'mk', 'ml', 't')",60243
"('ct', 'mc', 'mk', 'ml', 't')",330899
"('ct', 'mc', 'ml', 't')",19453
"('ct', 'mc', 't')",500448
"('ct', 'mc')",1193928
"('ct', 'mc', 'ml')",36283
"('ct', 'mc', 'mk', 't')",2693976
"('ct', 'mc', 'mk')",5975292
"('ct', 'mc', 'mk', 'ml')",610301
"('ct', 'mc', 'mi', 'ml', 't')",6627
"('ct', 'mc', 'mi', 't')",62705
"('ct', 'mc', 'mi')",155177
"('ct', 'mc', 'mi', 'ml')",10531
"('ct', 'mc', 'mi', 'mk', 't')",514571
"('ct', 'mc', 'mi', 'mk')",1222002
"('ct', 'mc', 'mi', 'mk', 'ml')",133955
"('ct', 'lt', 'mc', 'mk', 'ml', 't')",32130
"('ct', 'lt', 'mc', 'ml', 't')",2794
"('ct', 'lt', 'mc', 'ml')",4393
"('ct', 'lt', 'mc', 'mk', 'ml')",45210
"('ct', 'lt', 'mc', 'mi', 'ml', 't')",5909
"('ct', 'lt', 'mc', 'mi', 'ml')",8785
"('ct', 'lt', 'mc', 'mi', 'mk', 'ml')",65879
"('ct', 'k', 'mc', 'mi', 'mk', 'ml', 't')",3029
"('ct', 'k', 'mc', 'mk', 'ml', 't')",742
"('ct', 'k', 'mc', 'mk', 't')",6646
"('ct', 'k', 'mc', 'mk')",11915
"('ct', 'k', 'mc', 'mk', 'ml')",1052
"('ct', 'k', 'mc', 'mi', 'mk', 't')",1867
"('ct', 'k', 'mc', 'mi', 'mk')",2654
"('ct', 'k', 'mc', 'mi', 'mk', 'ml')",4198
"('ct', 'k', 'lt', 'mc', 'mk', 'ml', 't')",664
"('ct', 'k', 'lt', 'mc', 'mk', 'ml')",962
"('ct', 'k', 'lt', 'mc', 'mi', 'mk', 'ml')",4198
"('cn', 'k', 'lt', 'mc', 'mi', 'mk', 'ml', 't')",1505
"('cn', 'lt', 'mc', 'mi', 'mk', 'ml', 't')",24745
"('cn', 'mc', 'mi', 'mk', 'ml', 't')",27692
"('cn', 'mc', 'mk', 'ml', 't')",29192
"('cn', 'mc', 'ml', 't')",1860
"('cn', 'mc', 't')",95217
"('cn', 'mc')",240875
"('cn', 'mc', 'ml')",3079
"('cn', 'mc', 'mk', 't')",682359
"('cn', 'mc', 'mk')",1483541
"('cn', 'mc', 'mk', 'ml')",49014
"('cn', 'mc', 'mi', 'ml', 't')",2801
"('cn', 'mc', 'mi', 't')",21255
"('cn', 'mc', 'mi')",63835
"('cn', 'mc', 'mi', 'ml')",4127
"('cn', 'mc', 'mi', 'mk', 't')",201427
"('cn', 'mc', 'mi', 'mk')",479758
"('cn', 'mc', 'mi', 'mk', 'ml')",33584
"('cn', 'lt', 'mc', 'mk', 'ml', 't')",7580
"('cn', 'lt', 'mc', 'ml', 't')",746
"('cn', 'lt', 'mc', 'ml')",1200
"('cn', 'lt', 'mc', 'mk', 'ml')",9430
"('cn', 'lt', 'mc', 'mi', 'ml', 't')",2565
"('cn', 'lt', 'mc', 'mi', 'ml')",3825
"('cn', 'lt', 'mc', 'mi', 'mk', 'ml')",30472
"('cn', 'k', 'mc', 'mi', 'mk', 'ml', 't')",1505
"('cn', 'k', 'mc', 'mk', 'ml', 't')",360
"('cn', 'k', 'mc', 'mk', 't')",1495
"('cn', 'k', 'mc', 'mk')",2802
"('cn', 'k', 'mc', 'mk', 'ml')",452
"('cn', 'k', 'mc', 'mi', 'mk', 't')",779
"('cn', 'k', 'mc', 'mi', 'mk')",1043
"('cn', 'k', 'mc', 'mi', 'mk', 'ml')",1911
"('cn', 'k', 'lt', 'mc', 'mk', 'ml', 't')",330
"('cn', 'k', 'lt', 'mc', 'mi', 'mk', 'ml')",1911
"('cn', 'ct', 'lt', 'mc', 'mi', 'mk', 'ml', 't')",23862
"('cn', 'ct', 'mc', 'mi', 'mk', 'ml', 't')",25938
"('cn', 'ct', 'mc', 'mk', 'ml', 't')",26096
"('cn', 'ct', 'mc', 'ml', 't')",1659
"('cn', 'ct', 'mc', 't')",86330
"('cn', 'ct', 'mc')",224256
"('cn', 'ct', 'mc', 'ml')",2801
"('cn', 'ct', 'mc', 'mk', 't')",590369
"('cn', 'ct', 'mc', 'mk')",1337515
"('cn', 'ct', 'mc', 'mk', 'ml')",40379
"('cn', 'ct', 'mc', 'mi', 'ml', 't')",2677
"('cn', 'ct', 'mc', 'mi', 't')",19967
"('cn', 'ct', 'mc', 'mi')",61621
"('cn', 'ct', 'mc', 'mi', 'ml')",4003
"('cn', 'ct', 'mc', 'mi', 'mk', 't')",182470
"('cn', 'ct', 'mc', 'mi', 'mk')",446140
"('cn', 'ct', 'mc', 'mi', 'mk', 'ml')",31830
"('cn', 'ct', 'lt', 'mc', 'mk', 'ml', 't')",6863
"('cn', 'ct', 'lt', 'mc', 'ml', 't')",698
"('cn', 'ct', 'lt', 'mc', 'ml')",1152
"('cn', 'ct', 'lt', 'mc', 'mk', 'ml')",8713
"('cn', 'ct', 'lt', 'mc', 'mi', 'ml', 't')",2462
"('cn', 'ct', 'lt', 'mc', 'mi', 'ml')",3722
"('cn', 'ct', 'lt', 'mc', 'mi', 'mk', 'ml')",29589
"('cn', 'ct', 'k', 'mc', 'mi', 'mk', 'ml', 't')",1410
"('cn', 'ct', 'k', 'mc', 'mk', 'ml', 't')",330
"('cn', 'ct', 'k', 'mc', 'mk', 't')",1292
"('cn', 'ct', 'k', 'mc', 'mk')",2293
"('cn', 'ct', 'k', 'mc', 'mk', 'ml')",422
"('cn', 'ct', 'k', 'mc', 'mi', 'mk', 't')",696
"('cn', 'ct', 'k', 'mc', 'mi', 'mk')",952
"('cn', 'ct', 'k', 'mc', 'mi', 'mk', 'ml')",1816
"('cn', 'ct', 'k', 'lt', 'mc', 'mk', 'ml', 't')",310
