aliases,cardinality
"('lt', 'ml')",2315
"('lt', 'mi_idx1', 'ml')",6192
"('it1', 'lt', 'mi_idx1', 'ml')",2064
"('it1', 'lt', 'mi_idx1', 'ml', 't1')",2064
"('it1', 'kt1', 'lt', 'mi_idx1', 'ml', 't1')",1220
"('it1', 'kt1', 'lt', 'mi_idx1', 'mi_idx2', 'ml', 't1')",1602
"('it1', 'it2', 'kt1', 'lt', 'mi_idx1', 'mi_idx2', 'ml', 't1')",28
"('it1', 'it2', 'kt1', 'lt', 'mc1', 'mi_idx1', 'mi_idx2', 'ml', 't1')",81
"('cn1', 'it1', 'it2', 'kt1', 'lt', 'mc1', 'mi_idx1', 'mi_idx2', 'ml', 't1')",4
"('cn1', 'it1', 'it2', 'kt1', 'lt', 'mc1', 'mc2', 'mi_idx1', 'mi_idx2', 'ml', 't1')",10
"('cn1', 'cn2', 'it1', 'it2', 'kt1', 'lt', 'mc1', 'mc2', 'mi_idx1', 'mi_idx2', 'ml', 't1')",10
"('cn1', 'cn2', 'it1', 'it2', 'kt1', 'lt', 'mc1', 'mc2', 'mi_idx1', 'mi_idx2', 'ml', 't1', 't2')",4
"('cn1', 'cn2', 'it1', 'it2', 'kt1', 'kt2', 'lt', 'mc1', 'mc2', 'mi_idx1', 'mi_idx2', 'ml', 't1', 't2')",4
"('it1', 'lt', 'mi_idx1', 'ml', 't2')",25
"('it1', 'lt', 'mc1', 'mi_idx1', 'ml', 't2')",158
"('it1', 'kt2', 'lt', 'mc1', 'mi_idx1', 'ml', 't2')",27
"('it1', 'kt1', 'kt2', 'lt', 'mc1', 'mi_idx1', 'ml', 't2')",27
"('cn1', 'it1', 'kt1', 'kt2', 'lt', 'mc1', 'mi_idx1', 'ml', 't2')",1
"('cn1', 'it1', 'kt1', 'kt2', 'lt', 'mc1', 'mc2', 'mi_idx1', 'ml', 't2')",4
"('cn1', 'cn2', 'it1', 'kt1', 'kt2', 'lt', 'mc1', 'mc2', 'mi_idx1', 'ml', 't2')",4
"('cn1', 'cn2', 'it1', 'kt1', 'kt2', 'lt', 'mc1', 'mc2', 'mi_idx1', 'mi_idx2', 'ml', 't2')",8
"('cn1', 'cn2', 'it1', 'it2', 'kt1', 'kt2', 'lt', 'mc1', 'mc2', 'mi_idx1', 'mi_idx2', 'ml', 't2')",4
"('it1', 'kt1', 'kt2', 'lt', 'mi_idx1', 'ml', 't1')",1220
