aliases,cardinality
"('k', 'mk')",34
"('k', 'mk', 't')",34
"('k', 'mk')",34
"('k', 'mk')",34
"('k', 'mk', 't')",34
"('k', 'mc', 'mk', 't')",35
"('k', 'mk', 't')",34
"('k', 'mc', 'mk', 't')",35
"('k', 'mc', 'mk', 't')",35
"('cn', 'k', 'mc', 'mk', 't')",13
"('cn', 'k', 'mc', 'mk', 't')",13
"('cn', 'k', 'mc', 'mk', 't')",13
"('ci', 'cn', 'k', 'mc', 'mk', 't')",186
"('ci', 'cn', 'k', 'mc', 'mk', 't')",186
"('ci', 'cn', 'k', 'mc', 'mk', 't')",186
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",186
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",186
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",186
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",40
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",40
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",40
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 't')",439
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 't')",439
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 't')",439
