aliases,cardinality
"('k', 'mk')",34
"('k', 'mk', 't')",9
"('k', 'mc', 'mk', 't')",9
"('cn', 'k', 'mc', 'mk', 't')",3
"('ci', 'cn', 'k', 'mc', 'mk', 't')",43
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",43
"('k', 'mk')",34
"('k', 'mk', 't')",9
"('k', 'mc', 'mk', 't')",9
"('k', 'mk')",34
"('k', 'mk', 't')",9
"('cn', 'k', 'mc', 'mk', 't')",3
"('k', 'mc', 'mk', 't')",9
"('cn', 'k', 'mc', 'mk', 't')",3
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",9
"('ci', 'cn', 'k', 'mc', 'mk', 't')",43
"('ci', 'cn', 'k', 'mc', 'mk', 't')",43
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",43
"('ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",43
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",9
"('an', 'ci', 'cn', 'k', 'mc', 'mk', 'n', 't')",9
