episode,avg_rewards,loss,mrc,gmrc,smrc,mrt,gmrt,smrt,geqo_mrc,geqo_gmrc
0,-3.34165266894815,20,34834.96565188284,550.7301442078614,147.02368112020486,1.0,1.0,1.0,64.6172509638193,0.3513760050141235
20,-3.2320962188846267,20,21859.72822124719,158.98260435764078,27.09134720240058,1.0,1.0,1.0,2.5962235021022613,0.037347262715786436
40,-2.674598430724322,20,7248.914231386152,242.77735404627776,264.45995008662965,1.0,1.0,1.0,2.6728934553821078,0.18944064730952792
60,-3.6421013311893624,20,8523.605593572576,1215.9257838000583,164.8533306043052,1.0,1.0,1.0,5.409959791885145,0.3033837664096727
80,-3.52717313485064,20,11155.884647800978,309.4026213255557,269.9441728942638,1.0,1.0,1.0,1818.6202357195282,0.19784621223622462
100,-2.8051909305638603,20,6695.926534984947,110.30148783277076,269.76831706553725,1.0,1.0,1.0,11.004107606479025,0.2465070660383311
120,-2.761249750958256,20,5854.662371411292,190.94689906533574,101.28137223855462,1.0,1.0,1.0,1861.4910977527338,0.11730051687182111
140,-2.3089081566138727,20,17242.660795257896,158.75383297751293,2516.0752900730554,1.0,1.0,1.0,1861.292193908704,0.1823555379820097
160,-2.184479225207478,20,2592.534975753063,66.99872654392847,12.806694232763713,1.0,1.0,1.0,17.640296301504133,0.15121877447238097
180,-1.413219033307433,20,6353.561257697457,51.92727756734289,29.236877746290237,1.0,1.0,1.0,3599.3990152528554,1.3610345398332195
200,-2.684717121968494,20,1768.7612563423468,91.85166623057235,206.7374893251407,1.0,1.0,1.0,21.03621608251821,0.1441387219361368
220,-2.375696190580051,20,4075.197773625581,64.4582646484945,9.650960432071995,1.0,1.0,1.0,7.462882213951876,0.08593748076466153
240,-2.202865650208518,20,5496.809030329249,115.52261225915413,18.216482138999623,1.0,1.0,1.0,82.70391575581803,0.24177215660183027
260,-3.12555373095927,20,40898.62284960644,1556.9516786246047,146.34023384967873,1.0,1.0,1.0,132.60078216002847,0.6487062747611471
280,-3.085939159506008,20,22369.637672102886,291.87070145313567,450.27601338709974,1.0,1.0,1.0,4.608605800475078,0.10335605651710292
300,-1.7442718889500504,20,216.39427881049073,19.270267606657924,5.191045861327828,1.0,1.0,1.0,1800.0607832350847,0.11468372455801662
320,-2.330101592081531,20,316649.74891493225,77.51700825419489,370.3818658144458,1.0,1.0,1.0,0.5888552277219536,0.09759652450943684
340,-2.355117078572222,20,3961.725339044772,131.40795208537054,502.9780774206389,1.0,1.0,1.0,1.98973708383548,0.15638218619929542
360,-2.112502663622145,20,8673.573403044413,82.92328837085641,163.95972258249483,1.0,1.0,1.0,70.49759625457071,0.21517308724525724
380,-2.7007867404333883,20,476.6913169561496,39.00635790871457,13.532274399523637,1.0,1.0,1.0,5.526621907244385,0.09562842073882413
400,-2.6897486981555394,20,886.3762856130658,101.93076193220816,23.91148332764279,1.0,1.0,1.0,6.633584607143105,0.28552521452831153
420,-1.9996954327701573,20,3403.8623638378567,30.05781532120389,75.30589534801307,1.0,1.0,1.0,3.093003535915826,0.22249310392716873
440,-1.8313504047904954,20,33349.85607189622,72.81413396842188,200.63168519579995,1.0,1.0,1.0,2.3203554435208735,0.16363834245525077
460,-2.4695487445308313,20,8440.7589722925,70.03239904959511,16.22907781596405,1.0,1.0,1.0,20.715145517347185,0.09690235033837509
480,-1.983134558239227,20,2569.0222680006573,27.011357838552538,11.632853507056758,1.0,1.0,1.0,19.426444529759713,0.05786167927780958
500,-2.355041521150865,20,2724.4109634968945,60.04552473553209,17.577655875431393,1.0,1.0,1.0,126.47299103328865,0.05408631709395578
520,-2.468629169048243,20,461.0251783890843,39.78981644779714,256.050429285997,1.0,1.0,1.0,3.145759683689356,0.06081102225317767
540,-2.03103495839927,20,17683.678666916072,63.64441810608624,53.68296722863365,1.0,1.0,1.0,3.516892021491459,0.09587496660773019
