aliases,cardinality
"('mc', 'mi_idx')",398122
"('mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx', 'mk')",4041265
"('ct', 'mc', 'mi_idx', 'mk')",4041265
"('mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx', 'mk')",4041265
"('mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx', 'mk')",4041265
"('mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx')",398122
"('ct', 'mc', 'mi_idx', 'mk')",4041265
