aliases,cardinality
"('cc', 'cct1')",33772
"('cc', 'cct1', 'ci')",30391
"('cc', 'cct1')",33772
"('cc', 'cct1')",33772
"('cc', 'cct1', 'ci')",30391
"('cc', 'cct1', 'ci', 'mi')",7326
"('cc', 'cct1', 'ci')",30391
"('cc', 'cct1', 'ci', 'mi')",7326
"('cc', 'cct1', 'ci', 'mi')",7326
"('cc', 'cct1')",33772
"('cc', 'cct1', 'ci')",30391
"('cc', 'cct1', 'ci', 'mi')",7326
"('cc', 'cct1')",33772
"('cc', 'cct1', 'ci')",30391
"('cc', 'cct1', 'ci', 'mi')",7326
"('cc', 'cct1')",33772
"('cc', 'cct1', 'ci')",30391
"('cc', 'cct1', 'ci', 'mi')",7326
