aliases,cardinality
"('it1', 'mi')",691
"('ci', 'it1', 'mi')",851
"('it1', 'mi')",691
"('cc', 'ci', 'it1', 'mi')",119
"('it1', 'mi')",691
"('ci', 'it1', 'mi')",851
"('ci', 'it1', 'mi')",851
"('cc', 'ci', 'it1', 'mi')",119
"('cc', 'ci', 'it1', 'mi')",119
"('it1', 'mi')",691
"('ci', 'it1', 'mi')",851
"('cc', 'ci', 'it1', 'mi')",119
"('it1', 'mi')",691
"('ci', 'it1', 'mi')",851
"('it1', 'mi')",691
"('cc', 'ci', 'it1', 'mi')",119
"('ci', 'it1', 'mi')",851
"('cc', 'ci', 'it1', 'mi')",119
