aliases,cardinality
"('kt', 't')",105
"('kt', 'mi_idx', 't')",9
"('kt', 'mi', 'mi_idx', 't')",5
"('kt', 'mi', 'mi_idx', 'mk', 't')",4
"('mi', 'mi_idx')",201516
"('mi', 'mk')",4060930
"('mi', 't')",148
"('mi_idx', 'mk')",2928183
"('mi_idx', 't')",71
"('mk', 't')",595
"('kt', 'mi', 't')",68
"('kt', 'mk', 't')",190
"('mi', 'mi_idx', 'mk')",3077536
"('mi', 'mi_idx', 't')",35
"('mi', 'mk', 't')",347
"('mi_idx', 'mk', 't')",301
"('kt', 'mi', 'mk', 't')",121
"('kt', 'mi_idx', 'mk', 't')",4
"('mi', 'mi_idx', 'mk', 't')",268
