aliases,cardinality
"('cn', 'mc')",1153798
"('cn', 'mc', 't')",370122
"('ci', 'cn', 'mc', 't')",11184419
"('cn', 'mc')",1153798
"('cn', 'mc', 't')",370122
"('ci', 'cn', 'mc', 't')",11184419
"('an', 'ci', 'cn', 'mc', 't')",14265265
"('an', 'ci', 'cn', 'mc', 't')",14265265
"('an', 'ci', 'cn', 'mc', 't')",14265265
"('an', 'ci')",36417493
"('an', 'ci')",36417493
"('an', 'ci')",36417493
"('ci', 'mc')",80274241
"('ci', 'mc')",80274241
"('ci', 't')",16171237
"('ci', 'mc')",80274241
"('ci', 't')",16171237
"('mc', 't')",630450
"('mc', 't')",630450
"('ci', 't')",16171237
"('mc', 't')",630450
"('an', 'ci', 'mc')",87239860
"('an', 'ci', 'mc')",87239860
"('an', 'ci', 't')",15540714
"('an', 'ci', 't')",15540714
"('an', 'ci', 'mc')",87239860
"('an', 'ci', 't')",15540714
"('ci', 'cn', 'mc')",32289229
"('ci', 'cn', 'mc')",32289229
"('ci', 'cn', 'mc')",32289229
"('ci', 'mc', 't')",20137973
"('ci', 'mc', 't')",20137973
"('ci', 'mc', 't')",20137973
"('an', 'ci', 'cn', 'mc')",41307596
"('an', 'ci', 'cn', 'mc')",41307596
"('an', 'ci', 'cn', 'mc')",41307596
"('an', 'ci', 'mc', 't')",23069703
"('an', 'ci', 'mc', 't')",23069703
"('an', 'ci', 'mc', 't')",23069703
