aliases,cardinality
"('mi', 't')",6
"('mc', 'mi', 't')",4
"('ci', 'mc', 'mi', 't')",100
"('an', 'ci', 'mc', 'mi', 't')",275
"('an', 'ci')",1504297
"('ci', 'mc')",107035
"('ci', 'mi')",38392
"('ci', 't')",71
"('mc', 'mi')",25503
"('mc', 't')",4
"('an', 'ci', 'mc')",255384
"('an', 'ci', 'mi')",72288
"('an', 'ci', 't')",170
"('ci', 'mc', 'mi')",25272
"('ci', 'mc', 't')",100
"('ci', 'mi', 't')",69
"('an', 'ci', 'mc', 'mi')",47451
"('an', 'ci', 'mc', 't')",275
"('an', 'ci', 'mi', 't')",170
