aliases,cardinality
"('it2', 'mi_idx')",459925
"('it2', 'mi', 'mi_idx')",16867
"('ci', 'it2', 'mi', 'mi_idx')",8925
"('ci', 'it2', 'mi', 'mi_idx', 'mk')",234746
"('ci', 'mi')",16172
"('ci', 'mi_idx')",1000868
"('ci', 'mk')",2619220
"('mi', 'mi_idx')",50629
"('mi', 'mk')",378072
"('mi_idx', 'mk')",10424626
"('ci', 'it2', 'mi_idx')",333558
"('ci', 'mi', 'mi_idx')",26785
"('ci', 'mi', 'mk')",243528
"('ci', 'mi_idx', 'mk')",6806711
"('it2', 'mi_idx', 'mk')",3461792
"('mi', 'mi_idx', 'mk')",1080149
"('ci', 'it2', 'mi_idx', 'mk')",2258844
"('ci', 'mi', 'mi_idx', 'mk')",705503
"('it2', 'mi', 'mi_idx', 'mk')",358706
