aliases,cardinality
"('k', 'mk')",76714
"('k', 'mi', 'mk')",72386
"('k', 'mi', 'mk', 't')",72386
"('ci', 'k', 'mi', 'mk', 't')",48817
"('k', 'mk', 't')",76714
"('ci', 'mi')",95066
"('ci', 'mk')",2619220
"('ci', 't')",1244716
"('mi', 'mk')",2615151
"('mi', 't')",188971
"('mk', 't')",4523930
"('ci', 'k', 'mk')",43178
"('ci', 'mi', 'mk')",1754421
"('ci', 'mi', 't')",95066
"('ci', 'mk', 't')",2619220
"('mi', 'mk', 't')",2615151
"('ci', 'k', 'mi', 'mk')",48817
"('ci', 'k', 'mk', 't')",43178
"('ci', 'mi', 'mk', 't')",1754421
