aliases,cardinality
"('cc', 'cct2')",135086
"('cc', 'cct1', 'cct2')",85941
"('cc', 'cct1', 'cct2', 'mi_idx')",26915
"('cc', 'cct1', 'cct2', 'ci', 'mi_idx')",1236656
"('cc', 'cct1')",85941
"('cc', 'ci')",5212164
"('cc', 'mi_idx')",43850
"('ci', 'mi_idx')",6265431
"('cc', 'cct1', 'ci')",3409569
"('cc', 'cct1', 'mi_idx')",26915
"('cc', 'cct2', 'ci')",5212164
"('cc', 'cct2', 'mi_idx')",43850
"('cc', 'ci', 'mi_idx')",1976897
"('cc', 'cct1', 'cct2', 'ci')",3409569
"('cc', 'cct1', 'ci', 'mi_idx')",1236656
"('cc', 'cct2', 'ci', 'mi_idx')",1976897
