aliases,cardinality
"('k', 'mk')",24091
"('cc', 'k', 'mk')",9392
"('cc', 'k', 'mi_idx', 'mk')",27578
"('cc', 'ci', 'k', 'mi_idx', 'mk')",2130931
"('cc', 'ci')",5212164
"('cc', 'mi_idx')",286599
"('cc', 'mk')",2171367
"('cc', 'ci')",5212164
"('cc', 'mi_idx')",286599
"('cc', 'mk')",2171367
"('ci', 'mi_idx')",40911741
"('ci', 'mi_idx')",40911741
"('ci', 'mk')",215765477
"('mi_idx', 'mk')",10424626
"('ci', 'mk')",215765477
"('k', 'mk')",24091
"('cc', 'ci', 'mi_idx')",12861479
"('mi_idx', 'mk')",10424626
"('cc', 'ci', 'mi_idx')",12861479
"('cc', 'ci', 'mk')",157283028
"('cc', 'mi_idx', 'mk')",6413155
"('ci', 'k', 'mk')",1176263
"('cc', 'ci', 'mk')",157283028
"('cc', 'k', 'mk')",9392
"('cc', 'mi_idx', 'mk')",6413155
"('ci', 'k', 'mk')",1176263
"('ci', 'mi_idx', 'mk')",607273961
"('k', 'mi_idx', 'mk')",57702
"('cc', 'ci', 'k', 'mk')",704280
"('ci', 'mi_idx', 'mk')",607273961
"('k', 'mi_idx', 'mk')",57702
"('cc', 'ci', 'k', 'mk')",704280
"('cc', 'ci', 'mi_idx', 'mk')",475794122
"('ci', 'k', 'mi_idx', 'mk')",3279038
"('cc', 'ci', 'mi_idx', 'mk')",475794122
"('cc', 'k', 'mi_idx', 'mk')",27578
"('ci', 'k', 'mi_idx', 'mk')",3279038
"('cc', 'ci', 'k', 'mi_idx', 'mk')",2130931
