aliases,cardinality
"('mi', 't')",4
"('mc', 'mi', 't')",46
"('cc', 'mc', 'mi', 't')",44
"('cc', 'cct1', 'mc', 'mi', 't')",44
"('cc', 'cct1')",85941
"('cc', 'mc')",612638
"('cc', 'mi')",25827
"('cc', 't')",1
"('mc', 'mi')",890243
"('mc', 't')",24
"('cc', 'cct1', 'mc')",403624
"('cc', 'cct1', 'mi')",17626
"('cc', 'cct1', 't')",1
"('cc', 'mc', 'mi')",319389
"('cc', 'mc', 't')",22
"('cc', 'mi', 't')",2
"('cc', 'cct1', 'mc', 'mi')",241731
"('cc', 'cct1', 'mc', 't')",22
"('cc', 'cct1', 'mi', 't')",2
