aliases,cardinality
"('it2', 'mi_idx')",459925
"('cc', 'it2', 'mi_idx')",95399
"('cc', 'it2', 'mi_idx', 't')",95399
"('cc', 'ci', 'it2', 'mi_idx', 't')",79641
"('it2', 'mi_idx', 't')",459925
"('cc', 'ci')",116781
"('cc', 'mi_idx')",286599
"('cc', 't')",135086
"('ci', 'mi_idx')",1000868
"('ci', 't')",1244716
"('mi_idx', 't')",1380035
"('cc', 'ci', 'mi_idx')",239208
"('cc', 'ci', 't')",116781
"('cc', 'mi_idx', 't')",286599
"('ci', 'it2', 'mi_idx')",333558
"('ci', 'mi_idx', 't')",1000868
"('cc', 'ci', 'it2', 'mi_idx')",79641
"('cc', 'ci', 'mi_idx', 't')",239208
"('ci', 'it2', 'mi_idx', 't')",333558
