aliases,cardinality
"('ci', 't')",867477
"('chn', 'ci', 't')",801259
"('an', 'chn', 'ci', 't')",1732265
"('an', 'chn', 'ci', 'mc', 't')",3405373
"('mc', 't')",2609129
"('ci', 'mc', 't')",1548085
"('chn', 'ci', 'mc', 't')",1405362
"('an', 'ci')",1806603
"('chn', 'ci')",801259
"('ci', 'mc')",1548085
"('an', 'chn', 'ci')",1732265
"('an', 'ci', 'mc')",3578955
"('an', 'ci', 't')",1806603
"('chn', 'ci', 'mc')",1405362
"('an', 'chn', 'ci', 'mc')",3405373
"('an', 'ci', 'mc', 't')",3578955
