order,costs
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('ct', 'mc')",99430.68
"('t', ('ct', 'mc'))",279954.89
"('cn', ('t', ('ct', 'mc')))",270218.59
"('ct', 'mc')",99430.68
"('t', ('ct', 'mc'))",279954.89
"(('t', ('ct', 'mc')), 'cn')",256876.18
"('ct', 'mc')",99430.68
"('t', ('ct', 'mc'))",279954.89
"('ct', 'mc')",99430.68
"(('t', ('ct', 'mc')), 'cn')",256876.18
"('t', ('ct', 'mc'))",279954.89
"(('t', ('ct', 'mc')), 'cn')",256876.18
"('ct', 'mc')",99430.68
"('t', ('ct', 'mc'))",279954.89
"('cn', ('t', ('ct', 'mc')))",270218.59
"('ct', 'mc')",99430.68
"('t', ('ct', 'mc'))",279954.89
"('cn', ('t', ('ct', 'mc')))",270218.59
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"('ct', ('t', ('cn', 'mc')))",92463.52
"('ct', 'mc')",99430.68
"('t', ('ct', 'mc'))",279954.89
"('cn', ('t', ('ct', 'mc')))",270218.59
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('cn', 'mc')",43643.75
"('t', ('cn', 'mc'))",92307.54
"(('t', ('cn', 'mc')), 'ct')",92314.21
"('mc', 'cn')",39918.62
"(('mc', 'cn'), 'ct')",39955.54
"((('mc', 'cn'), 'ct'), 't')",42032.84
"('mc', 'cn')",39918.62
"(('mc', 'cn'), 'ct')",39955.54
"((('mc', 'cn'), 'ct'), 't')",42032.84
"('cn', ('ct', 'mc'))",262900.52
"(('cn', ('ct', 'mc')), 't')",266386.42
"('mc', 'cn')",39918.62
"(('mc', 'cn'), 'ct')",39955.54
"((('mc', 'cn'), 'ct'), 't')",42032.84
"('mc', 'cn')",39918.62
"(('mc', 'cn'), 'ct')",39955.54
"((('mc', 'cn'), 'ct'), 't')",42032.84
"('mc', 'cn')",39918.62
"(('mc', 'cn'), 'ct')",39955.54
"((('mc', 'cn'), 'ct'), 't')",42032.84
"('mc', 'cn')",39918.62
"('ct', ('mc', 'cn'))",40318.57
"(('ct', ('mc', 'cn')), 't')",48527.73
"('mc', 'cn')",39918.62
