order,costs
"('mc', 'ci')",881077.36
"('cn', ('mc', 'ci'))",1687938.35
"('chn', ('cn', ('mc', 'ci')))",2170757.28
"('cn', 'mc')",134918.42
"('chn', 'ci')",900931.59
"(('chn', 'ci'), ('cn', 'mc'))",1122893.19
"('mc', 'ci')",881077.36
"('cn', ('mc', 'ci'))",1687938.35
"('chn', ('cn', ('mc', 'ci')))",2170757.28
"('cn', 'mc')",134918.42
"('chn', 'ci')",900931.59
"(('chn', 'ci'), ('cn', 'mc'))",1122893.19
"('cn', 'mc')",134918.42
"('chn', 'ci')",900931.59
"(('chn', 'ci'), ('cn', 'mc'))",1122893.19
"('cn', 'mc')",134918.42
"('chn', 'ci')",900931.59
"(('chn', 'ci'), ('cn', 'mc'))",1122893.19
"('mc', 'ci')",881077.36
"('cn', ('mc', 'ci'))",1687938.35
"('chn', ('cn', ('mc', 'ci')))",2170757.28
"('cn', 'mc')",134918.42
"('ci', 'chn')",545653.75
"(('ci', 'chn'), ('cn', 'mc'))",708755.09
"('cn', 'mc')",134918.42
"('ci', 'chn')",545653.75
"('cn', 'mc')",134918.42
"(('ci', 'chn'), ('cn', 'mc'))",708755.09
"('ci', 'chn')",545653.75
"(('ci', 'chn'), ('cn', 'mc'))",708755.09
"('cn', 'mc')",134918.42
"('ci', 'chn')",545653.75
"(('ci', 'chn'), ('cn', 'mc'))",708755.09
"('cn', 'mc')",134918.42
"('ci', 'chn')",545653.75
"(('ci', 'chn'), ('cn', 'mc'))",708755.09
"('cn', 'mc')",134918.42
"('chn', 'ci')",900931.59
"(('chn', 'ci'), ('cn', 'mc'))",1122893.19
"('cn', 'mc')",134918.42
"('chn', 'ci')",900931.59
"(('chn', 'ci'), ('cn', 'mc'))",1122893.19
"('cn', 'mc')",134918.42
"('chn', 'ci')",900931.59
"(('chn', 'ci'), ('cn', 'mc'))",1122893.19
"('mc', 'ci')",881077.36
"('cn', ('mc', 'ci'))",1687938.35
"('chn', ('cn', ('mc', 'ci')))",2170757.28
"('mc', 'ci')",881077.36
"('cn', ('mc', 'ci'))",1687938.35
"('chn', ('cn', ('mc', 'ci')))",2170757.28
"('cn', 'mc')",134918.42
"('chn', 'ci')",900931.59
"(('chn', 'ci'), ('cn', 'mc'))",1122893.19
"('mc', 'ci')",881077.36
"('cn', ('mc', 'ci'))",1687938.35
