order,costs
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"('cn', ('t', 'mc'))",725524.53
"('ci', ('cn', ('t', 'mc')))",1245392.73
"('t', 'mc')",260678.74
"(('t', 'mc'), 'ci')",753991.82
"('cn', (('t', 'mc'), 'ci'))",1079393.24
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'ci')",753991.82
"('cn', (('t', 'mc'), 'ci'))",1079393.24
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'ci')",753991.82
"('cn', (('t', 'mc'), 'ci'))",1079393.24
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('ci', (('t', 'mc'), 'cn'))",660786.65
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('t', 'ci'), ('mc', 'cn'))",665272.44
"('ci', ('t', 'mc'))",742828.4
"(('ci', ('t', 'mc')), 'cn')",680486.51
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('t', 'ci'), ('mc', 'cn'))",665272.44
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('ci', ('t', 'mc'))",742828.4
"(('ci', ('t', 'mc')), 'cn')",680486.51
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('ci', ('t', 'mc'))",742828.4
"(('ci', ('t', 'mc')), 'cn')",680486.51
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('t', 'ci')",653871.69
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('t', 'ci'))",665642.63
"('ci', ('t', 'mc'))",742828.4
"(('ci', ('t', 'mc')), 'cn')",680486.51
"('ci', ('t', 'mc'))",742828.4
"(('ci', ('t', 'mc')), 'cn')",680486.51
"('mc', 't')",232978.71
"('cn', ('mc', 't'))",697824.51
"('ci', ('cn', ('mc', 't')))",1270312.8
"('mc', 't')",232978.71
"('mc', 't')",232978.71
"('cn', ('mc', 't'))",697824.51
"('cn', ('mc', 't'))",697824.51
"('ci', ('cn', ('mc', 't')))",1270312.8
"('ci', ('cn', ('mc', 't')))",1270312.8
"('mc', 't')",232978.71
"('ci', ('mc', 't'))",879465.71
"(('ci', ('mc', 't')), 'cn')",726278.25
"('mc', 't')",232978.71
"('ci', ('mc', 't'))",879465.71
"(('ci', ('mc', 't')), 'cn')",726278.25
"('mc', 't')",232978.71
"('cn', ('mc', 't'))",697824.51
"('ci', ('cn', ('mc', 't')))",1270312.8
"(('t', 'ci'), ('mc', 'cn'))",665272.44
"('mc', 't')",232978.71
"('cn', ('mc', 't'))",697824.51
"(('cn', ('mc', 't')), 'ci')",1226118.02
"(('t', 'ci'), ('mc', 'cn'))",665272.44
"(('t', 'ci'), ('mc', 'cn'))",665272.44
"('mc', 't')",232978.71
