order,costs
"('mk', 't')",278662.96
"('k', ('mk', 't'))",680556.26
"('mc', ('k', ('mk', 't')))",713359.95
"('mk', 't')",278662.96
"('mc', ('mk', 't'))",447678.27
"(('mc', ('mk', 't')), 'k')",294849.67
"('mk', 't')",278662.96
"('mc', ('mk', 't'))",447678.27
"(('mc', ('mk', 't')), 'k')",294849.67
"('mk', 't')",278662.96
"('mc', ('mk', 't'))",447678.27
"(('mc', ('mk', 't')), 'k')",294849.67
"('mk', 't')",278662.96
"('mc', ('mk', 't'))",447678.27
"(('mc', ('mk', 't')), 'k')",294849.67
"('mk', 't')",278662.96
"('mc', ('mk', 't'))",447678.27
"(('mc', ('mk', 't')), 'k')",294849.67
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"('mk', 't')",278662.96
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('mc', ('mk', 't'))",447678.27
"('t', 'mc')",249382.12
"(('mc', ('mk', 't')), 'k')",294849.67
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('mk', 't')",278662.96
"('mc', ('mk', 't'))",447678.27
"(('mc', ('mk', 't')), 'k')",294849.67
"('t', 'mc')",249382.12
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('mk', 'mc')",357972.2
"('k', ('mk', 'mc'))",1298447.38
"(('k', ('mk', 'mc')), 't')",1298580.62
"('mk', 't')",278662.96
"('mc', ('mk', 't'))",447678.27
"(('mc', ('mk', 't')), 'k')",294849.67
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('t', 'mc')",249382.12
"('mk', 'k')",52140.89
"(('t', 'mc'), ('mk', 'k'))",183456.47
"('mk', 't')",278662.96
"('k', ('mk', 't'))",680556.26
"('mc', ('k', ('mk', 't')))",713359.95
"(('k', ('mk', 't')), 'mc')",680609.26
"(('k', ('mk', 't')), 'mc')",680609.26
"('k', ('mc', ('mk', 't')))",1689578.87
"(('mk', 'mc'), 'k')",154907.5
"('t', (('mk', 'mc'), 'k'))",210123.67
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"((('k', 'mk'), 'mc'), 't')",6353.79
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"((('k', 'mk'), 'mc'), 't')",6353.79
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"((('k', 'mk'), 'mc'), 't')",6353.79
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
"('mc', 'mk')",422971.65
"('k', ('mc', 'mk'))",1363446.83
"('t', ('k', ('mc', 'mk')))",1423274.0
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
"('mc', 'mk')",422971.65
"('k', ('mc', 'mk'))",1363446.83
"(('k', ('mc', 'mk')), 't')",1363580.07
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"((('k', 'mk'), 'mc'), 't')",6353.79
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"((('k', 'mk'), 'mc'), 't')",6353.79
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"((('k', 'mk'), 'mc'), 't')",6353.79
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
"('mc', 'mk')",422971.65
"('k', ('mc', 'mk'))",1363446.83
"(('k', ('mc', 'mk')), 't')",1363580.07
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"((('k', 'mk'), 'mc'), 't')",6353.79
"('mc', 'mk')",422971.65
"('k', ('mc', 'mk'))",1363446.83
"('t', ('k', ('mc', 'mk')))",1423274.0
"('k', 'mk')",6163.12
"('mc', 'mk')",422971.65
"(('k', 'mk'), 'mc')",6220.56
"('k', ('mc', 'mk'))",1363446.83
"((('k', 'mk'), 'mc'), 't')",6353.79
"('t', ('k', ('mc', 'mk')))",1423274.0
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"((('k', 'mk'), 'mc'), 't')",6353.79
"('k', 'mk')",6163.12
"(('k', 'mk'), 'mc')",6220.56
"('t', (('k', 'mk'), 'mc'))",66047.72
