order,costs
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"('mi_idx', ('ct', ('mc', 'cn')))",145512.72
"('mc', 'cn')",101741.45
"('ct', 'mc')",49711.99
"('ct', ('mc', 'cn'))",113573.8
"('cn', ('ct', 'mc'))",159455.51
"('ct', 'mc')",49711.99
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('cn', ('ct', 'mc'))",159455.51
"('mi_idx', ('cn', ('ct', 'mc')))",183589.54
"('mi_idx', ('cn', ('ct', 'mc')))",183589.54
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"('mi_idx', ('ct', ('mc', 'cn')))",145512.72
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('ct', 'mc')",49711.99
"('mc', 'cn')",101741.45
"('cn', ('ct', 'mc'))",159455.51
"('ct', ('mc', 'cn'))",113573.8
"(('cn', ('ct', 'mc')), 'mi_idx')",176426.26
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('ct', 'mc')",49711.99
"('cn', ('ct', 'mc'))",159455.51
"(('cn', ('ct', 'mc')), 'mi_idx')",176426.26
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('ct', 'mc')",49711.99
"('cn', ('ct', 'mc'))",159455.51
"('mi_idx', ('cn', ('ct', 'mc')))",183589.54
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('mc', 'cn')",101741.45
"('ct', ('mc', 'cn'))",113573.8
"(('ct', ('mc', 'cn')), 'mi_idx')",137345.11
"('ct', 'mc')",49711.99
"('cn', ('ct', 'mc'))",159455.51
