order,costs
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'it2')",16263.78
"('mi', ('mi_idx', 'it2'))",257937.87
"(('mi', ('mi_idx', 'it2')), 'it1')",257910.83
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it1')",167770.09
"(('mi_idx', 'mi'), 'it1')",167770.09
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"((('mi_idx', 'mi'), 'it1'), 'it2')",167743.06
"((('mi_idx', 'mi'), 'it1'), 'it2')",167743.06
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'it2')",16263.78
"('mi', ('mi_idx', 'it2'))",257937.87
"(('mi', ('mi_idx', 'it2')), 'it1')",257910.83
"('mi_idx', 'mi')",171096.42
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"('it2', ('mi_idx', 'mi'))",171523.5
"(('it2', ('mi_idx', 'mi')), 'it1')",171526.75
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"((('mi_idx', 'mi'), 'it2'), 'it1')",167743.06
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it1')",167770.09
