order,costs
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"('mc', ('mi_idx', 'mi'))",309040.92
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"('mc', ('mi_idx', 'mi'))",309040.92
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('mi_idx', 'mi')",171096.42
"('mc', ('mi_idx', 'mi'))",309040.92
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('mi_idx', 'mi')",171096.42
"('mc', ('mi_idx', 'mi'))",309040.92
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"('mc', ('mi_idx', 'mi'))",309040.92
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('mi_idx', 'mi')",171096.42
"('mi_idx', 'mi')",171096.42
"('mi_idx', 'mi')",171096.42
"('mc', ('mi_idx', 'mi'))",309040.92
"('mc', ('mi_idx', 'mi'))",309040.92
"('mc', ('mi_idx', 'mi'))",309040.92
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'mc')",198480.72
"(('mi_idx', 'mi'), 'it2')",167770.09
"('it2', (('mi_idx', 'mi'), 'mc'))",200727.02
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"('mc', ('mi_idx', 'mi'))",309040.92
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('mi_idx', 'mi')",171096.42
"('mc', ('mi_idx', 'mi'))",309040.92
"('it2', ('mc', ('mi_idx', 'mi')))",311022.84
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'mc')",198480.72
"('it2', (('mi_idx', 'mi'), 'mc'))",200727.02
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'mc')",198480.72
"('it2', (('mi_idx', 'mi'), 'mc'))",200727.02
"('mi_idx', 'mi')",171096.42
"(('mi_idx', 'mi'), 'it2')",167770.09
"('mc', (('mi_idx', 'mi'), 'it2'))",207092.22
"((('mi_idx', 'mi'), 'it2'), 'mc')",168012.29
"('mi', 'mc')",413434.81
"(('mi', 'mc'), 'mi_idx')",342570.54
"((('mi', 'mc'), 'mi_idx'), 'it2')",327056.76
"('mi', 'mi_idx')",261571.92
"(('mi', 'mi_idx'), 'it2')",258245.59
"((('mi', 'mi_idx'), 'it2'), 'mc')",258487.79
"('mi', 'mc')",413434.81
"(('mi', 'mc'), 'mi_idx')",342570.54
"((('mi', 'mc'), 'mi_idx'), 'it2')",327056.76
"('mi', 'mi_idx')",261571.92
