order,costs
"('t', 'mi')",56825.02
"('mc', ('t', 'mi'))",91971.29
"('it1', ('mc', ('t', 'mi')))",91993.07
"('t', 'mi')",56825.02
"('it1', ('t', 'mi'))",56846.21
"(('it1', ('t', 'mi')), 'mc')",56853.84
"('t', 'mc')",57787.01
"('it1', 'mi')",316627.84
"(('it1', 'mi'), ('t', 'mc'))",374910.62
"('t', 'mi')",56825.02
"('mc', ('t', 'mi'))",91971.29
"(('mc', ('t', 'mi')), 'it1')",91821.98
"('t', 'mi')",56825.02
"('mc', ('t', 'mi'))",91971.29
"('it1', ('mc', ('t', 'mi')))",91993.07
"('t', 'mi')",56825.02
"('it1', ('t', 'mi'))",56846.21
"(('it1', ('t', 'mi')), 'mc')",56853.84
"('t', 'mi')",56825.02
"('mc', ('t', 'mi'))",91971.29
"(('mc', ('t', 'mi')), 'it1')",91821.98
"('t', 'mi')",56825.02
"('mc', ('t', 'mi'))",91971.29
"('it1', ('mc', ('t', 'mi')))",91993.07
"('t', 'mi')",56825.02
"('it1', ('t', 'mi'))",56846.21
"('t', 'mi')",56825.02
"('t', 'mi')",56825.02
"('it1', ('t', 'mi'))",56846.21
"(('it1', ('t', 'mi')), 'mc')",56853.84
"(('it1', ('t', 'mi')), 'mc')",56853.84
"('it1', ('t', 'mi'))",56846.21
"(('it1', ('t', 'mi')), 'mc')",56853.84
"('t', 'mi')",56825.02
"('it1', ('t', 'mi'))",56846.21
"(('it1', ('t', 'mi')), 'mc')",56853.84
"('t', 'mc')",57787.01
"('mi', 'it1')",256758.08
"(('t', 'mc'), ('mi', 'it1'))",301076.96
"('t', 'mi')",56825.02
"('t', 'mi')",56825.02
"('mc', ('t', 'mi'))",91971.29
"('mc', ('t', 'mi'))",91971.29
"(('mc', ('t', 'mi')), 'it1')",91821.98
"('it1', ('mc', ('t', 'mi')))",91993.07
"('t', 'mi')",56825.02
"('mc', ('t', 'mi'))",91971.29
"('it1', ('mc', ('t', 'mi')))",91993.07
"('t', 'mc')",57787.01
"('mi', 'it1')",256758.08
"(('mi', 'it1'), ('t', 'mc'))",300597.52
"('t', 'mi')",56825.02
"('it1', ('t', 'mi'))",56846.21
"(('it1', ('t', 'mi')), 'mc')",56853.84
"('t', 'mc')",57787.01
"('mi', 'it1')",256758.08
"(('t', 'mc'), ('mi', 'it1'))",301076.96
"('t', 'mc')",57787.01
"('mi', 'it1')",256758.08
"(('t', 'mc'), ('mi', 'it1'))",301076.96
"('t', 'mi')",56825.02
"(('t', 'mi'), 'it1')",56680.26
"('t', 'mc')",57787.01
"('mi', 'it1')",256758.08
"(('mi', 'it1'), ('t', 'mc'))",300597.52
"('t', 'mc')",57787.01
"('mi', 'it1')",256758.08
"(('mi', 'it1'), ('t', 'mc'))",300597.52
"('t', 'mc')",57787.01
"('mi', ('t', 'mc'))",306891.98
"('it1', ('mi', ('t', 'mc')))",306913.77
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 'it1')",769343.85
"((('mi', 'mc'), 'it1'), 't')",755275.94
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 'it1')",769343.85
"('t', (('mi', 'mc'), 'it1'))",769428.66
"('t', ('mi', 'it1'))",298851.81
"(('t', ('mi', 'it1')), 'mc')",298854.74
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 'it1')",769343.85
"((('mi', 'mc'), 'it1'), 't')",755275.94
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 'it1')",769343.85
"((('mi', 'mc'), 'it1'), 't')",755275.94
"('mi', 't')",297705.24
"(('mi', 't'), 'it1')",297560.47
"('mc', (('mi', 't'), 'it1'))",331338.39
"(('t', 'mc'), 'mi')",58261.46
"('it1', (('t', 'mc'), 'mi'))",58283.23
"('mi', 't')",297705.24
"(('mi', 't'), 'it1')",297560.47
"('mc', (('mi', 't'), 'it1'))",331338.39
"(('t', 'mc'), 'mi')",58261.46
"('it1', (('t', 'mc'), 'mi'))",58283.23
"('mi', 't')",297705.24
"(('mi', 't'), 'it1')",297560.47
"('mc', (('mi', 't'), 'it1'))",331338.39
"('mi', 't')",297705.24
"(('mi', 't'), 'it1')",297560.47
"('mc', (('mi', 't'), 'it1'))",331338.39
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 't')",752086.01
"('it1', (('mi', 'mc'), 't'))",752187.63
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 't')",752086.01
"('it1', (('mi', 'mc'), 't'))",752187.63
"('mi', 't')",297705.24
"(('mi', 't'), 'it1')",297560.47
"('mc', (('mi', 't'), 'it1'))",331338.39
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 't')",752086.01
"('it1', (('mi', 'mc'), 't'))",752187.63
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 't')",752086.01
"('it1', (('mi', 'mc'), 't'))",752187.63
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 't')",752086.01
"('it1', (('mi', 'mc'), 't'))",752187.63
"(('mi', ('t', 'mc')), 'it1')",306742.57
"('mi', 't')",297705.24
"('mc', ('mi', 't'))",333490.31
"('it1', ('mc', ('mi', 't')))",333591.93
"('mi', 't')",297705.24
"('it1', ('mi', 't'))",297726.42
"(('it1', ('mi', 't')), 'mc')",297734.05
"('mi', 'mc')",1721021.07
"(('mi', 'mc'), 't')",752086.01
"('it1', (('mi', 'mc'), 't'))",752187.63
"('mi', 't')",297705.24
"(('mi', 't'), 'it1')",297560.47
"('mc', (('mi', 't'), 'it1'))",331338.39
"('it1', ('mi', 'mc'))",2700883.38
"(('it1', ('mi', 'mc')), 't')",2758268.78
"('mi', 't')",297705.24
"(('mi', 't'), 'it1')",297560.47
"((('mi', 't'), 'it1'), 'mc')",297563.4
"('t', ('mi', 'it1'))",298851.81
"(('t', ('mi', 'it1')), 'mc')",298854.74
"('mc', ('mi', 't'))",333490.31
"('it1', ('mc', ('mi', 't')))",333591.93
"(('mi', ('t', 'mc')), 'it1')",306742.57
"(('t', 'mi'), 'mc')",57196.95
"('it1', (('t', 'mi'), 'mc'))",57218.74
"(('mi', ('t', 'mc')), 'it1')",306742.57
"(('t', 'mi'), 'mc')",57196.95
"('it1', (('t', 'mi'), 'mc'))",57218.74
"(('t', 'mi'), 'mc')",57196.95
"('it1', (('t', 'mi'), 'mc'))",57218.74
"(('t', 'mi'), 'mc')",57196.95
"('it1', (('t', 'mi'), 'mc'))",57218.74
"('mc', ('it1', 'mi'))",475658.05
"('t', ('mc', ('it1', 'mi')))",486990.59
"(('t', 'mi'), 'mc')",57196.95
