order,costs
"('kt', 't')",50171.25
"('it2', 'mi_idx')",17866.97
"(('kt', 't'), ('it2', 'mi_idx'))",68079.79
"('kt', 't')",50171.25
"('it2', 'mi_idx')",17866.97
"(('it2', 'mi_idx'), ('kt', 't'))",68050.88
"('kt', 't')",50171.25
"('it2', 'mi_idx')",17866.97
"(('kt', 't'), ('it2', 'mi_idx'))",68079.79
"('kt', 't')",50171.25
"('it2', 'mi_idx')",17866.97
"(('kt', 't'), ('it2', 'mi_idx'))",68079.79
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"('kt', 't')",50171.25
"('it2', 'mi_idx')",17866.97
"(('kt', 't'), ('it2', 'mi_idx'))",68079.79
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"('it2', (('kt', 't'), 'mi_idx'))",50308.58
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"('mi_idx', 'it2')",16915.86
"('t', 'kt')",58172.17
"(('t', 'kt'), ('mi_idx', 'it2'))",73771.85
"('mi_idx', 'it2')",16915.86
"('t', 'kt')",58172.17
"(('t', 'kt'), ('mi_idx', 'it2'))",73771.85
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"('it2', (('kt', 't'), 'mi_idx'))",50308.58
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"('it2', (('kt', 't'), 'mi_idx'))",50308.58
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"('it2', (('kt', 't'), 'mi_idx'))",50308.58
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"('it2', (('kt', 't'), 'mi_idx'))",50308.58
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"('kt', 't')",50171.25
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"('mi_idx', 'it2')",16915.86
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"(('mi_idx', 'it2'), ('kt', 't'))",66760.61
"('mi_idx', 'it2')",16915.86
"('t', 'kt')",58172.17
"(('t', 'kt'), ('mi_idx', 'it2'))",73771.85
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"('kt', 't')",50171.25
"('mi_idx', 'it2')",16915.86
"(('mi_idx', 'it2'), ('kt', 't'))",66760.61
"('kt', 't')",50171.25
"(('kt', 't'), 'mi_idx')",50306.14
"((('kt', 't'), 'mi_idx'), 'it2')",50306.49
"(('mi_idx', 'it2'), 't')",17851.2
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"('mi_idx', 't')",73737.49
"(('mi_idx', 't'), 'it2')",73736.88
"((('mi_idx', 't'), 'it2'), 'kt')",73737.27
"('mi_idx', ('t', 'kt'))",73912.78
"(('mi_idx', ('t', 'kt')), 'it2')",73912.87
"('mi_idx', ('t', 'kt'))",73912.78
"(('mi_idx', ('t', 'kt')), 'it2')",73912.87
"('mi_idx', ('t', 'kt'))",73912.78
"(('mi_idx', ('t', 'kt')), 'it2')",73912.87
"('mi_idx', 't')",73737.49
"(('mi_idx', 't'), 'kt')",73737.22
"('it2', (('mi_idx', 't'), 'kt'))",73739.66
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"('mi_idx', ('t', 'kt'))",73912.78
"('it2', ('mi_idx', ('t', 'kt')))",73915.22
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"('it2', (('t', 'kt'), 'mi_idx'))",58232.22
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"('t', 'mi_idx')",58558.68
"(('t', 'mi_idx'), 'kt')",58558.41
"((('t', 'mi_idx'), 'kt'), 'it2')",58558.49
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"('mi_idx', 't')",73737.49
"(('mi_idx', 't'), 'it2')",73736.88
"('kt', (('mi_idx', 't'), 'it2'))",73737.98
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"('t', 'mi_idx')",58558.68
"(('t', 'mi_idx'), 'kt')",58558.41
"((('t', 'mi_idx'), 'kt'), 'it2')",58558.49
"('mi_idx', ('t', 'kt'))",73912.78
"('it2', ('mi_idx', ('t', 'kt')))",73915.22
"('mi_idx', 't')",73737.49
"(('mi_idx', 't'), 'it2')",73736.88
"((('mi_idx', 't'), 'it2'), 'kt')",73737.27
"('mi_idx', 't')",73737.49
"(('mi_idx', 't'), 'it2')",73736.88
"((('mi_idx', 't'), 'it2'), 'kt')",73737.27
"('mi_idx', ('t', 'kt'))",73912.78
"(('mi_idx', ('t', 'kt')), 'it2')",73912.87
"('mi_idx', 't')",73737.49
"(('mi_idx', 't'), 'kt')",73737.22
"((('mi_idx', 't'), 'kt'), 'it2')",73737.3
"(('mi_idx', 't'), 'kt')",73737.22
"((('mi_idx', 't'), 'kt'), 'it2')",73737.3
"('t', ('it2', 'mi_idx'))",76078.02
"(('t', ('it2', 'mi_idx')), 'kt')",76078.41
"(('it2', 'mi_idx'), 't')",20909.07
"('kt', (('it2', 'mi_idx'), 't'))",20910.17
"('t', ('it2', 'mi_idx'))",76078.02
"(('t', ('it2', 'mi_idx')), 'kt')",76078.41
"(('t', 'kt'), ('it2', 'mi_idx'))",76079.17
"(('it2', 'mi_idx'), 't')",20909.07
"('kt', (('it2', 'mi_idx'), 't'))",20910.17
"(('it2', 'mi_idx'), 't')",20909.07
"('kt', (('it2', 'mi_idx'), 't'))",20910.17
"(('it2', 'mi_idx'), 't')",20909.07
"('kt', (('it2', 'mi_idx'), 't'))",20910.17
"(('t', 'kt'), ('it2', 'mi_idx'))",76079.17
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"('it2', (('t', 'kt'), 'mi_idx'))",58232.22
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"('it2', (('t', 'kt'), 'mi_idx'))",58232.22
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"('mi_idx', ('kt', 't'))",66913.58
"(('mi_idx', ('kt', 't')), 'it2')",66913.66
"(('it2', 'mi_idx'), ('t', 'kt'))",76051.8
"(('it2', 'mi_idx'), 't')",20909.07
"('kt', (('it2', 'mi_idx'), 't'))",20910.17
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('it2', 'mi_idx'), 't')",20909.07
"((('it2', 'mi_idx'), 't'), 'kt')",20909.46
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"(('t', 'kt'), 'mi_idx')",58229.78
"('it2', (('t', 'kt'), 'mi_idx'))",58232.22
"('kt', (('mi_idx', 't'), 'it2'))",73737.98
"('it2', (('t', 'kt'), 'mi_idx'))",58232.22
"('it2', (('t', 'kt'), 'mi_idx'))",58232.22
"('mi_idx', ('t', 'kt'))",73912.78
"(('mi_idx', ('t', 'kt')), 'it2')",73912.87
"('mi_idx', 't')",73737.49
"(('mi_idx', 't'), 'it2')",73736.88
"((('mi_idx', 't'), 'it2'), 'kt')",73737.27
"('t', ('mi_idx', 'it2'))",73770.7
"(('t', ('mi_idx', 'it2')), 'kt')",73771.09
"((('mi_idx', 't'), 'kt'), 'it2')",73737.3
"(('kt', 't'), ('mi_idx', 'it2'))",67128.68
"(('t', 'kt'), 'mi_idx')",58229.78
"((('t', 'kt'), 'mi_idx'), 'it2')",58229.86
"('mi_idx', ('t', 'kt'))",73912.78
"(('mi_idx', ('t', 'kt')), 'it2')",73912.87
"('mi_idx', ('t', 'kt'))",73912.78
