order,costs
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'k')",604647.66
"('it1', (('mi', 'mk'), 'k'))",604656.36
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"((('mk', 'k'), 'mi'), 'it1')",52473.63
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"((('mk', 'k'), 'mi'), 'it1')",52473.63
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"((('mk', 'k'), 'mi'), 'it1')",52473.63
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"((('mk', 'k'), 'mi'), 'it1')",52473.63
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'k')",604647.66
"('it1', (('mi', 'mk'), 'k'))",604656.36
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"('it1', (('mk', 'k'), 'mi'))",52529.35
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"('it1', (('mk', 'k'), 'mi'))",52529.35
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"('it1', (('mk', 'k'), 'mi'))",52529.35
"('mk', 'mi')",831824.66
"(('mk', 'mi'), 'k')",845408.35
"('it1', (('mk', 'mi'), 'k'))",845417.05
"('mk', 'k')",52312.01
"(('mk', 'k'), 'mi')",52520.64
"((('mk', 'k'), 'mi'), 'it1')",52473.63
"('mk', 'k')",52312.01
"('mi', 'mk')",852795.28
"(('mk', 'k'), 'mi')",52520.64
"(('mi', 'mk'), 'it1')",570854.46
"((('mk', 'k'), 'mi'), 'it1')",52473.63
"((('mi', 'mk'), 'it1'), 'k')",605455.82
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'k')",604647.66
"((('mi', 'mk'), 'k'), 'it1')",604600.76
"('mk', 'k')",52312.01
"('mi', ('mk', 'k'))",356478.23
"('it1', ('mi', ('mk', 'k')))",356486.93
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"('mi', 'mk')",852795.28
"(('mi', 'mk'), 'it1')",570854.46
"('k', (('mi', 'mk'), 'it1'))",626790.83
"((('mk', 'mi'), 'k'), 'it1')",845361.44
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', ('k', 'mk'))",313299.46
"('it1', ('mi', ('k', 'mk')))",313308.16
"('k', 'mk')",7406.22
"('mi', 'it1')",259080.89
"(('k', 'mk'), ('mi', 'it1'))",312929.85
"('mi', 'it1')",259080.89
"('mk', ('mi', 'it1'))",352385.15
"('k', ('mk', ('mi', 'it1')))",408321.52
"('it1', 'mi')",334523.44
"(('it1', 'mi'), ('mk', 'k'))",433236.55
"('it1', 'mi')",334523.44
"(('it1', 'mi'), ('mk', 'k'))",433236.55
"('k', 'mk')",7406.22
