order,costs
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'at')",52690.89
"(('mc', 'at'), 'ct')",52722.26
"((('mc', 'at'), 'ct'), 'cn')",57275.1
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('mc', 'ct')",38009.81
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'cn')",42254.44
"(('mc', 'ct'), 'cn')",42254.44
"((('mc', 'ct'), 'cn'), 'at')",47727.99
"((('mc', 'ct'), 'cn'), 'at')",47727.99
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'cn')",42254.44
"((('mc', 'ct'), 'cn'), 'at')",47727.99
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'cn')",42254.44
"((('mc', 'ct'), 'cn'), 'at')",47727.99
"('mc', 'ct')",38009.81
"(('mc', 'ct'), 'cn')",42254.44
"((('mc', 'ct'), 'cn'), 'at')",47727.99
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'at')",47701.63
"('cn', (('mc', 'at'), 'ct'))",66496.54
"('cn', (('mc', 'at'), 'ct'))",66496.54
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"(('ct', ('mc', 'at')), 'cn')",63434.41
"('ct', ('mc', 'at'))",53532.05
"(('ct', ('mc', 'at')), 'cn')",63434.41
"('ct', ('mc', 'at'))",53532.05
"(('ct', ('mc', 'at')), 'cn')",63434.41
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"(('ct', ('mc', 'at')), 'cn')",63434.41
"(('mc', 'cn'), 'at')",47685.54
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"('ct', ('mc', 'at'))",53532.05
"('cn', ('ct', ('mc', 'at')))",67306.34
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"('ct', ('mc', 'cn'))",42629.34
"('at', ('ct', ('mc', 'cn')))",54415.44
"('ct', ('mc', 'cn'))",42629.34
"('at', ('ct', ('mc', 'cn')))",54415.44
"('ct', ('mc', 'cn'))",42629.34
"(('ct', ('mc', 'cn')), 'at')",56196.3
"('ct', ('mc', 'cn'))",42629.34
"('at', ('ct', ('mc', 'cn')))",54415.44
"('ct', ('mc', 'cn'))",42629.34
"('at', ('ct', ('mc', 'cn')))",54415.44
"('ct', ('mc', 'cn'))",42629.34
"(('ct', ('mc', 'cn')), 'at')",56196.3
"(('mc', 'cn'), 'at')",47685.54
"('cn', ('mc', 'at'))",66465.17
"(('cn', ('mc', 'at')), 'ct')",66492.62
"('cn', ('mc', 'at'))",66465.17
"(('cn', ('mc', 'at')), 'ct')",66492.62
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"('cn', (('mc', 'at'), 'ct'))",66496.54
"('cn', (('mc', 'at'), 'ct'))",66496.54
"(('mc', 'at'), 'cn')",57243.74
"('ct', (('mc', 'at'), 'cn'))",57549.53
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",52668.89
"('at', ('cn', ('ct', 'mc')))",64455.0
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",52668.89
"('at', ('cn', ('ct', 'mc')))",64455.0
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",52668.89
"(('cn', ('ct', 'mc')), 'at')",66235.86
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"('cn', ('mc', 'at'))",66465.17
"(('cn', ('mc', 'at')), 'ct')",66492.62
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",52668.89
"(('cn', ('ct', 'mc')), 'at')",66235.86
"('cn', 'mc')",52162.86
"('at', ('cn', 'mc'))",63948.96
"('ct', ('at', ('cn', 'mc')))",64254.75
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"(('mc', 'cn'), 'at')",47685.54
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",52668.89
"(('cn', ('ct', 'mc')), 'at')",66235.86
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",52668.89
"('at', ('cn', ('ct', 'mc')))",64455.0
"('at', (('mc', 'cn'), 'ct'))",50395.66
"(('mc', 'at'), 'cn')",57243.74
"('ct', (('mc', 'at'), 'cn'))",57549.53
"(('ct', ('mc', 'at')), 'cn')",63434.41
"(('ct', 'mc'), 'at')",67931.84
"('cn', (('ct', 'mc'), 'at'))",81706.13
"(('mc', 'cn'), 'at')",47685.54
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'cn')",48162.67
"((('ct', 'mc'), 'cn'), 'at')",61729.63
"(('mc', 'at'), 'cn')",57243.74
"('ct', (('mc', 'at'), 'cn'))",57549.53
"('ct', 'mc')",38473.39
"('cn', ('ct', 'mc'))",52668.89
"(('cn', ('ct', 'mc')), 'at')",66235.86
"(('mc', 'cn'), 'at')",47685.54
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'at')",67931.84
"(('mc', 'cn'), 'at')",47685.54
"('cn', (('ct', 'mc'), 'at'))",81706.13
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'at')",67931.84
"('cn', (('ct', 'mc'), 'at'))",81706.13
"('ct', (('mc', 'at'), 'cn'))",57549.53
"('ct', (('mc', 'at'), 'cn'))",57549.53
"('ct', ('mc', 'cn'))",42629.34
"(('ct', ('mc', 'cn')), 'at')",56196.3
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"('ct', (('mc', 'at'), 'cn'))",57549.53
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"('ct', (('mc', 'cn'), 'at'))",47991.33
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'cn'), 'at')",47685.54
"(('mc', 'at'), 'cn')",57243.74
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'cn'), 'at')",47685.54
"(('mc', 'at'), 'cn')",57243.74
"('ct', (('mc', 'at'), 'cn'))",57549.53
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"('cn', (('mc', 'at'), 'ct'))",66496.54
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'cn'), 'at')",47685.54
"(('mc', 'cn'), 'at')",47685.54
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'cn'), 'at')",47685.54
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"('at', (('mc', 'cn'), 'ct'))",50395.66
"('ct', (('mc', 'cn'), 'at'))",47991.33
"('at', (('mc', 'cn'), 'ct'))",50395.66
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'cn'), 'at')",47685.54
"('ct', (('mc', 'cn'), 'at'))",47991.33
"('at', ('mc', 'cn'))",50379.56
"('ct', ('at', ('mc', 'cn')))",50685.35
"('at', (('mc', 'cn'), 'ct'))",50395.66
"('at', (('mc', 'cn'), 'ct'))",50395.66
"('cn', 'mc')",52162.86
"('ct', ('cn', 'mc'))",52580.21
"('at', ('ct', ('cn', 'mc')))",64366.32
"('cn', (('mc', 'at'), 'ct'))",66496.54
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('ct', ('mc', 'at')), 'cn')",63434.41
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'cn'), 'at')",47685.54
"(('mc', 'cn'), 'at')",47685.54
"('at', (('mc', 'cn'), 'ct'))",50395.66
"('at', (('mc', 'cn'), 'ct'))",50395.66
"('at', (('mc', 'ct'), 'cn'))",50422.02
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'ct')",52199.96
"('at', (('cn', 'mc'), 'ct'))",63986.06
"('at', (('mc', 'cn'), 'ct'))",50395.66
"('ct', (('mc', 'cn'), 'at'))",47991.33
"('ct', (('mc', 'cn'), 'at'))",47991.33
"('cn', (('mc', 'at'), 'ct'))",66496.54
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"('at', (('mc', 'ct'), 'cn'))",50422.02
"('ct', (('mc', 'cn'), 'at'))",47991.33
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'cn'), 'at')",47685.54
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"('cn', (('mc', 'ct'), 'at'))",66567.63
"('at', (('mc', 'cn'), 'ct'))",50395.66
"((('mc', 'at'), 'cn'), 'ct')",57255.81
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"('at', ('mc', 'ct'))",46127.89
"('cn', ('at', ('mc', 'ct')))",59902.17
"('at', ('mc', 'ct'))",46127.89
"(('at', ('mc', 'ct')), 'cn')",50680.73
"('cn', ('mc', 'ct'))",52205.32
"(('cn', ('mc', 'ct')), 'at')",65772.28
"('cn', ('mc', 'ct'))",52205.32
"(('cn', ('mc', 'ct')), 'at')",65772.28
"('cn', ('mc', 'ct'))",52205.32
"(('cn', ('mc', 'ct')), 'at')",65772.28
"('ct', (('mc', 'cn'), 'at'))",47991.33
"('cn', ('mc', 'ct'))",52205.32
"('at', ('cn', ('mc', 'ct')))",63991.42
"('at', 'mc')",46085.43
"(('at', 'mc'), 'cn')",50638.28
"((('at', 'mc'), 'cn'), 'ct')",50650.35
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'at')",65729.83
"((('cn', 'mc'), 'at'), 'ct')",65757.28
"(('cn', 'mc'), 'at')",65729.83
"((('cn', 'mc'), 'at'), 'ct')",65757.28
"(('ct', 'mc'), 'at')",67931.84
"('cn', (('ct', 'mc'), 'at'))",81706.13
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'at')",65729.83
"((('cn', 'mc'), 'at'), 'ct')",65757.28
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"('ct', ('mc', 'cn'))",42629.34
"(('ct', ('mc', 'cn')), 'at')",56196.3
"('cn', ('mc', 'ct'))",52205.32
"('at', ('cn', ('mc', 'ct')))",63991.42
"('ct', (('mc', 'at'), 'cn'))",57549.53
"('at', (('mc', 'cn'), 'ct'))",50395.66
"('at', ('cn', 'mc'))",63948.96
"(('at', ('cn', 'mc')), 'ct')",63976.42
"('at', ('mc', 'ct'))",46127.89
"(('at', ('mc', 'ct')), 'cn')",50680.73
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"(('mc', 'ct'), 'at')",52793.34
"((('mc', 'ct'), 'at'), 'cn')",57346.19
"('at', ('mc', 'ct'))",46127.89
"('cn', ('at', ('mc', 'ct')))",59902.17
"('cn', ('mc', 'ct'))",52205.32
"('at', ('cn', ('mc', 'ct')))",63991.42
"('cn', 'mc')",52162.86
"(('cn', 'mc'), 'at')",65729.83
"((('cn', 'mc'), 'at'), 'ct')",65757.28
"('ct', (('mc', 'at'), 'cn'))",57549.53
"('at', 'mc')",46085.43
"(('at', 'mc'), 'cn')",50638.28
"((('at', 'mc'), 'cn'), 'ct')",50650.35
"(('mc', 'at'), 'cn')",57243.74
"('ct', (('mc', 'at'), 'cn'))",57549.53
"('cn', ('mc', 'at'))",66465.17
"(('cn', ('mc', 'at')), 'ct')",66492.62
"('ct', 'mc')",38473.39
"(('ct', 'mc'), 'cn')",48162.67
"((('ct', 'mc'), 'cn'), 'at')",61729.63
"(('ct', ('cn', 'mc')), 'at')",66147.18
"('at', 'mc')",46085.43
"(('at', 'mc'), 'cn')",50638.28
"((('at', 'mc'), 'cn'), 'ct')",50650.35
"(('ct', 'mc'), 'cn')",48162.67
"('at', (('ct', 'mc'), 'cn'))",59948.77
"((('mc', 'at'), 'cn'), 'ct')",57255.81
