order,costs
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"('mi', (('mc', 'cn'), 'ct'))",298296.81
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"('mc', 'cn')",42211.98
"('mi', (('mc', 'cn'), 'ct'))",298296.81
"(('mc', 'cn'), 'ct')",42228.08
"('mi', (('mc', 'cn'), 'ct'))",298296.81
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"('mi', (('mc', 'cn'), 'ct'))",298296.81
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('ct', (('mc', 'cn'), 'mi'))",65791.63
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"(('mc', 'cn'), 'ct')",42228.08
"('mc', 'cn')",42211.98
"((('mc', 'cn'), 'ct'), 'mi')",65806.43
"(('mc', 'cn'), 'mi')",65790.34
"('mc', 'cn')",42211.98
"('ct', (('mc', 'cn'), 'mi'))",65791.63
"(('mc', 'cn'), 'ct')",42228.08
"((('mc', 'cn'), 'ct'), 'mi')",65806.43
