order,costs
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 't')",260448.27
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 't')",260448.27
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 't')",260448.27
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 't')",260448.27
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 't')",260448.27
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"(('ct', ('mi', 'mc')), 't')",260448.27
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('mi', 'mc')",260384.54
"(('mi', 'mc'), 'ct')",260385.03
"('t', (('mi', 'mc'), 'ct'))",314662.45
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('mi', 'mc')",260384.54
"(('mi', 'mc'), 'ct')",260385.03
"('t', (('mi', 'mc'), 'ct'))",314662.45
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('mi', 'mc')",260384.54
"(('mi', 'mc'), 'ct')",260385.03
"('t', (('mi', 'mc'), 'ct'))",314662.45
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('mi', 'mc')",260384.54
"('ct', ('mi', 'mc'))",260386.33
"('t', ('ct', ('mi', 'mc')))",352139.18
"('t', 'mc')",89373.36
"('mi', ('t', 'mc'))",345127.1
"('t', 'mc')",89373.36
"(('mi', ('t', 'mc')), 'ct')",345127.25
"('mi', ('t', 'mc'))",345127.1
"('t', 'mc')",89373.36
"(('mi', ('t', 'mc')), 'ct')",345127.25
"(('t', 'mc'), 'ct')",89396.94
"((('t', 'mc'), 'ct'), 'mi')",100040.47
"('mi', 't')",258803.12
"('mc', 'ct')",38009.81
"(('mi', 't'), ('mc', 'ct'))",294055.74
"('t', 'mc')",89373.36
"('mi', ('t', 'mc'))",345127.1
"(('mi', ('t', 'mc')), 'ct')",345127.25
"('mi', 't')",258803.12
"('mc', 'ct')",38009.81
