order,costs
"('mi', 'it1')",242271.96
"(('mi', 'it1'), 'at')",242406.6
"('mi', 'it1')",242271.96
"(('mi', 'it1'), 'at')",242406.6
"('mi', 'it1')",242271.96
"(('mi', 'it1'), 'at')",242406.6
"('mi', 'it1')",242271.96
"(('mi', 'it1'), 'at')",242406.6
"('mi', 'it1')",242271.96
"(('mi', 'it1'), 'at')",242406.6
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"('it1', ('mc', ('mi', 'at')))",396390.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"('it1', ('mc', ('mi', 'at')))",396390.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"('mi', 'at')",258679.85
"('it1', ('mc', ('mi', 'at')))",396390.16
"('mc', ('mi', 'at'))",394827.88
"('it1', ('mc', ('mi', 'at')))",396390.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"(('mc', ('mi', 'at')), 'it1')",395170.16
"('mi', 'at')",258679.85
"(('mi', 'at'), 'it1')",256368.18
"((('mi', 'at'), 'it1'), 'mc')",256531.21
"('mi', 'at')",258679.85
"(('mi', 'at'), 'it1')",256368.18
"((('mi', 'at'), 'it1'), 'mc')",256531.21
"('mi', 'it1')",242271.96
"('mc', ('mi', 'it1'))",292397.97
"(('mc', ('mi', 'it1')), 'at')",292574.5
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"('it1', ('mc', ('mi', 'at')))",396390.16
"('mi', 'it1')",242271.96
"('mc', 'at')",178599.33
"(('mi', 'it1'), ('mc', 'at'))",415009.93
"('mi', 'at')",258679.85
"('mc', ('mi', 'at'))",394827.88
"('it1', ('mc', ('mi', 'at')))",396390.16
"('it1', ('mi', 'at'))",258977.49
"('mc', ('it1', ('mi', 'at')))",389403.72
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"('it1', (('mi', 'mc'), 'at'))",309622.82
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('it1', ('mi', 'at'))",258977.49
"('mc', ('it1', ('mi', 'at')))",389403.72
"(('mi', 'at'), 'mc')",277114.69
"('it1', (('mi', 'at'), 'mc'))",278677.01
"(('mc', 'at'), 'mi')",428317.61
"((('mc', 'at'), 'mi'), 'it1')",428445.94
"(('mc', 'at'), 'mi')",428317.61
"((('mc', 'at'), 'mi'), 'it1')",428445.94
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mc')",244434.58
"((('it1', 'mi'), 'mc'), 'at')",244727.62
"(('mc', 'at'), 'mi')",428317.61
"((('mc', 'at'), 'mi'), 'it1')",428445.94
"('mc', 'mi')",375598.89
"('it1', ('mc', 'mi'))",376390.7
"(('it1', ('mc', 'mi')), 'at')",376683.74
"('it1', 'mi')",243592.39
"('at', 'mc')",162408.41
"(('it1', 'mi'), ('at', 'mc'))",511951.96
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'at')",243891.93
"('mc', (('it1', 'mi'), 'at'))",374318.16
"(('mc', 'at'), 'mi')",428317.61
"((('mc', 'at'), 'mi'), 'it1')",428445.94
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'at')",243891.93
"('mc', (('it1', 'mi'), 'at'))",374318.16
"('it1', 'mi')",243592.39
"('at', ('it1', 'mi'))",264057.61
"('mc', ('at', ('it1', 'mi')))",394475.79
"(('mc', 'at'), 'mi')",428317.61
"((('mc', 'at'), 'mi'), 'it1')",428445.94
"('it1', 'mi')",243592.39
"('at', ('it1', 'mi'))",264057.61
"('mc', ('at', ('it1', 'mi')))",394475.79
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'at')",243891.93
"('mc', (('it1', 'mi'), 'at'))",374318.16
"('mc', 'mi')",375598.89
"('it1', ('mc', 'mi'))",376390.7
"(('it1', ('mc', 'mi')), 'at')",376683.74
"(('mc', 'at'), 'mi')",428317.61
"((('mc', 'at'), 'mi'), 'it1')",428445.94
"('it1', 'mi')",243592.39
"('at', 'mc')",162408.41
"(('it1', 'mi'), ('at', 'mc'))",511951.96
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'at')",243891.93
"('mc', (('it1', 'mi'), 'at'))",374318.16
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'at')",243891.93
"((('it1', 'mi'), 'at'), 'mc')",244068.57
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'at')",243891.93
"('mc', (('it1', 'mi'), 'at'))",374318.16
"(('mc', 'at'), 'mi')",428317.61
"((('mc', 'at'), 'mi'), 'it1')",428445.94
"('it1', ('mi', 'mc'))",288919.46
"('at', ('it1', ('mi', 'mc')))",309420.15
"(('mi', 'at'), 'mc')",277114.69
"((('mi', 'at'), 'mc'), 'it1')",264889.93
"(('mi', 'at'), 'mc')",277114.69
"((('mi', 'at'), 'mc'), 'it1')",264889.93
"(('mi', 'at'), 'mc')",277114.69
"((('mi', 'at'), 'mc'), 'it1')",264889.93
"(('mi', 'it1'), 'mc')",242666.95
"((('mi', 'it1'), 'mc'), 'at')",242843.57
"((('mi', 'at'), 'mc'), 'it1')",264889.93
"('mc', 'mi')",375598.89
"(('mc', 'mi'), 'it1')",375773.31
"((('mc', 'mi'), 'it1'), 'at')",376841.1
"(('mi', 'it1'), 'mc')",242666.95
"((('mi', 'it1'), 'mc'), 'at')",242843.57
"(('mi', 'at'), 'mc')",277114.69
"((('mi', 'at'), 'mc'), 'it1')",264889.93
"(('mi', 'it1'), 'mc')",242666.95
"((('mi', 'it1'), 'mc'), 'at')",242843.57
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'at')",282118.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"(('mi', 'it1'), 'mc')",242666.95
"((('mi', 'it1'), 'mc'), 'at')",242843.57
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'at')",282118.96
"(('mi', 'at'), 'mc')",277114.69
"((('mi', 'at'), 'mc'), 'it1')",264889.93
"(('mi', 'it1'), 'mc')",242666.95
"((('mi', 'it1'), 'mc'), 'at')",242843.57
"(('mi', 'it1'), 'mc')",242666.95
"((('mi', 'it1'), 'mc'), 'at')",242843.57
"(('mi', 'it1'), 'mc')",242666.95
"((('mi', 'it1'), 'mc'), 'at')",242843.57
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'at')",282118.96
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'at')",282118.96
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'at')",282118.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'at')",282118.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'at')",282118.96
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'at')",308060.53
"((('mi', 'mc'), 'at'), 'it1')",295835.96
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'at')",282118.96
"('mc', 'mi')",375598.89
"(('mc', 'mi'), 'it1')",375773.31
"('at', (('mc', 'mi'), 'it1'))",397023.68
"('it1', 'mi')",243592.39
"(('it1', 'mi'), ('mc', 'at'))",431749.62
"('mc', 'mi')",375598.89
"(('mc', 'mi'), 'it1')",375773.31
"((('mc', 'mi'), 'it1'), 'at')",376841.1
"('mc', 'mi')",375598.89
