order,costs
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mc', 't')",232978.71
"(('mc', 't'), 'mi')",509288.79
"('cn', (('mc', 't'), 'mi'))",522652.65
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mc', 't')",232978.71
"(('mc', 't'), 'mi')",509288.79
"('cn', (('mc', 't'), 'mi'))",522652.65
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 't')",300065.29
"('cn', (('mi', 'mc'), 't'))",320946.55
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'cn')",289567.16
"((('mi', 'mc'), 'cn'), 't')",293897.45
"('mi', 't')",273100.74
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('mi', 't'))",313325.96
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('mi', (('t', 'mc'), 'cn'))",406896.59
"('t', 'mc')",260678.74
"(('t', 'mc'), 'cn')",211042.43
"('mi', (('t', 'mc'), 'cn'))",406896.59
"('mi', 't')",273100.74
"('mc', 'cn')",101741.45
