order,costs
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"((('mi', 'mc'), 'ct'), 't')",300208.64
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"((('mi', 'mc'), 'ct'), 't')",300208.64
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"((('mi', 'mc'), 'ct'), 't')",300208.64
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"('t', (('mi', 'mc'), 'ct'))",411069.93
"('mi', 't')",273100.74
"('mc', ('mi', 't'))",310454.87
"(('mc', ('mi', 't')), 'ct')",310553.88
"('mi', 't')",273100.74
"('mc', 'ct')",59021.98
"(('mi', 't'), ('mc', 'ct'))",347963.93
"('mi', 't')",273100.74
"('mc', ('mi', 't'))",310454.87
"(('mc', ('mi', 't')), 'ct')",310553.88
"('mi', 't')",273100.74
"('mc', ('mi', 't'))",310454.87
"(('mc', ('mi', 't')), 'ct')",310553.88
"('mi', 't')",273100.74
"('mc', ('mi', 't'))",310454.87
"(('mc', ('mi', 't')), 'ct')",310553.88
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'ct')",288270.99
"((('mi', 'mc'), 'ct'), 't')",300208.64
"('t', 'mc')",260678.74
"(('t', 'mc'), 'ct')",270389.42
"((('t', 'mc'), 'ct'), 'mi')",550105.78
"('t', 'mi')",356711.37
"('mc', 'ct')",59021.98
"(('t', 'mi'), ('mc', 'ct'))",510042.35
"('t', 'mc')",260678.74
"(('t', 'mc'), 'ct')",270389.42
"((('t', 'mc'), 'ct'), 'mi')",550105.78
"('t', 'mc')",260678.74
"(('t', 'mc'), 'ct')",270389.42
"((('t', 'mc'), 'ct'), 'mi')",550105.78
"('t', 'mc')",260678.74
"('mi', ('t', 'mc'))",419372.61
"(('mi', ('t', 'mc')), 'ct')",419392.82
"('t', 'mc')",260678.74
"('mi', ('t', 'mc'))",419372.61
"(('mi', ('t', 'mc')), 'ct')",419392.82
"(('mc', 'ct'), ('mi', 't'))",316333.29
"('mc', 'mi')",375598.89
"('ct', ('mc', 'mi'))",379407.33
"('t', ('ct', ('mc', 'mi')))",502206.28
"('mc', 'mi')",375598.89
"('ct', ('mc', 'mi'))",379407.33
"('t', ('ct', ('mc', 'mi')))",502206.28
"('ct', ('mi', 'mc'))",291936.09
"('t', ('ct', ('mi', 'mc')))",414735.03
"('mc', 't')",232978.71
"(('mc', 't'), 'ct')",242689.39
"('mi', (('mc', 't'), 'ct'))",422888.58
"('ct', ('mi', 'mc'))",291936.09
"('t', ('ct', ('mi', 'mc')))",414735.03
"('ct', ('mi', 'mc'))",291936.09
"('t', ('ct', ('mi', 'mc')))",414735.03
"('ct', ('mi', 'mc'))",291936.09
"('t', ('ct', ('mi', 'mc')))",414735.03
"('ct', ('mi', 'mc'))",291936.09
"('t', ('ct', ('mi', 'mc')))",414735.03
"('ct', ('mi', 'mc'))",291936.09
"('t', ('ct', ('mi', 'mc')))",414735.03
"('ct', ('mi', 'mc'))",291936.09
"('t', ('ct', ('mi', 'mc')))",414735.03
"('ct', ('mi', 'mc'))",291936.09
"('t', ('ct', ('mi', 'mc')))",414735.03
"('mc', 't')",232978.71
"(('mc', 't'), 'ct')",242689.39
"('mi', (('mc', 't'), 'ct'))",422888.58
"('mc', 't')",232978.71
"('ct', ('mc', 't'))",485545.38
"('mi', ('ct', ('mc', 't')))",832564.54
"('mc', 't')",232978.71
"('ct', ('mc', 't'))",485545.38
"('mi', ('ct', ('mc', 't')))",832564.54
"('ct', ('t', 'mc'))",513245.41
"(('ct', ('t', 'mc')), 'mi')",1235561.77
"('ct', 'mc')",99430.68
"(('mi', 't'), ('ct', 'mc'))",466551.21
"(('ct', ('mc', 'mi')), 't')",412781.55
"('ct', 'mc')",99430.68
"(('mi', 't'), ('ct', 'mc'))",466551.21
"(('ct', ('mi', 'mc')), 't')",325310.31
"(('ct', ('mi', 'mc')), 't')",325310.31
"('mc', 'mi')",375598.89
"(('mc', 'mi'), 'ct')",375941.39
"((('mc', 'mi'), 'ct'), 't')",410410.25
"(('ct', ('mc', 't')), 'mi')",1207861.74
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",437677.47
"(('mi', ('ct', 'mc')), 't')",454129.72
"('ct', 'mc')",99430.68
"('mi', ('ct', 'mc'))",437677.47
"(('mi', ('ct', 'mc')), 't')",454129.72
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 't')",307878.1
"((('ct', 'mc'), 't'), 'mi')",1030194.46
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'mi')",849775.3
"('t', (('ct', 'mc'), 'mi'))",962845.09
"(('ct', 'mc'), 't')",307878.1
"((('ct', 'mc'), 't'), 'mi')",1030194.46
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'mi')",849775.3
"((('ct', 'mc'), 'mi'), 't')",883149.53
"(('t', 'mc'), 'mi')",509288.79
"((('t', 'mc'), 'mi'), 'ct')",509335.78
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 'mi')",849775.3
"((('ct', 'mc'), 'mi'), 't')",883149.53
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 't')",307878.1
"((('ct', 'mc'), 't'), 'mi')",1030194.46
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 't')",307878.1
"((('ct', 'mc'), 't'), 'mi')",1030194.46
"(('mc', 'ct'), 'mi')",434957.01
"((('mc', 'ct'), 'mi'), 't')",468331.23
"('ct', ('mc', ('mi', 't')))",314011.85
"('ct', 'mc')",99430.68
"(('ct', 'mc'), 't')",307878.1
