order,costs
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('mc', 'mi')",375598.89
"(('mc', 'mi'), 'it1')",375773.31
"('mk', (('mc', 'mi'), 'it1'))",500714.11
"('mc', 'mi')",375598.89
"('it1', ('mc', 'mi'))",376390.7
"('mk', ('it1', ('mc', 'mi')))",500582.16
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('mc', 'mi')",375598.89
"('it1', ('mc', 'mi'))",376390.7
"('mk', ('it1', ('mc', 'mi')))",500582.16
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'mi')",915468.87
"((('mc', 'mk'), 'mi'), 'it1')",762447.36
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'mi')",915468.87
"((('mc', 'mk'), 'mi'), 'it1')",762447.36
"('mc', 'mi')",375598.89
"('it1', ('mc', 'mi'))",376390.7
"('mk', ('it1', ('mc', 'mi')))",500582.16
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('mc', 'mi')",375598.89
"(('mc', 'mi'), 'it1')",375773.31
"('mk', (('mc', 'mi'), 'it1'))",500714.11
"('mi', 'it1')",242271.96
"(('mi', 'it1'), 'mk')",242813.11
"((('mi', 'it1'), 'mk'), 'mc')",244356.06
"('mc', 'mk')",601578.58
"('it1', 'mi')",243592.39
"(('mc', 'mk'), ('it1', 'mi'))",905141.01
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('mc', 'mi')",375598.89
"(('mc', 'mi'), 'it1')",375773.31
"('mk', (('mc', 'mi'), 'it1'))",500714.11
"('it1', 'mi')",243592.39
"(('it1', 'mi'), 'mk')",244290.18
"('mc', (('it1', 'mi'), 'mk'))",344820.71
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', 'mc')",510815.94
"(('it1', 'mi'), ('mk', 'mc'))",1520949.62
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('it1', 'mi'))",367593.43
"('mc', ('mk', ('it1', 'mi')))",468123.63
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('mc', 'mi'))",522923.39
"('it1', ('mk', ('mc', 'mi')))",542448.09
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', 'mc')",510815.94
"(('it1', 'mi'), ('mk', 'mc'))",1520949.62
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('mc', 'mi'))",522923.39
"(('mk', ('mc', 'mi')), 'it1')",527179.26
"('mk', ('mc', 'mi'))",522923.39
"('mk', 'mc')",510815.94
"(('mk', ('mc', 'mi')), 'it1')",527179.26
"(('mk', 'mc'), ('it1', 'mi'))",909929.99
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('it1', 'mi'))",909929.99
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('it1', 'mi'))",909929.99
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('it1', 'mi'))",909929.99
"('mk', 'mc')",510815.94
"(('mi', 'it1'), ('mk', 'mc'))",735759.72
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'mk')",403555.77
"('it1', (('mi', 'mc'), 'mk'))",423080.52
"('mc', (('mi', 'it1'), 'mk'))",284537.84
"('mk', 'mc')",510815.94
"(('mi', 'it1'), ('mk', 'mc'))",735759.72
"('mc', ('it1', 'mi'))",374005.97
"(('mc', ('it1', 'mi')), 'mk')",375027.7
"('mc', (('mi', 'it1'), 'mk'))",284537.84
"('mk', 'mc')",510815.94
"(('mi', 'it1'), ('mk', 'mc'))",735759.72
"('mc', (('mi', 'it1'), 'mk'))",284537.84
"('mi', 'mk')",304586.29
"(('mi', 'mk'), 'it1')",275627.73
"('mc', (('mi', 'mk'), 'it1'))",317352.6
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",906301.57
"('it1', (('mk', 'mc'), 'mi'))",925826.27
"('it1', (('mc', 'mk'), 'mi'))",934993.57
"('mk', 'mc')",510815.94
"(('mi', 'it1'), ('mk', 'mc'))",735759.72
"('mi', 'mc')",288127.65
"('mk', ('mi', 'mc'))",444594.05
"('it1', ('mk', ('mi', 'mc')))",464118.74
"('mc', (('mi', 'it1'), 'mk'))",284537.84
"('mi', 'mk')",304586.29
"(('mi', 'mk'), 'mc')",421836.09
"('it1', (('mi', 'mk'), 'mc'))",441360.78
"('mc', (('mi', 'it1'), 'mk'))",284537.84
"('mk', 'mc')",510815.94
"(('mi', 'it1'), ('mk', 'mc'))",735759.72
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'mk')",282964.16
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",906301.57
"((('mk', 'mc'), 'mi'), 'it1')",753280.06
"(('mk', 'mc'), 'mi')",906301.57
"('it1', (('mk', 'mc'), 'mi'))",925826.27
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'mk')",403555.77
"('it1', (('mi', 'mc'), 'mk'))",423080.52
"('mi', 'mk')",304586.29
"(('mi', 'mk'), 'it1')",275627.73
"('mc', (('mi', 'mk'), 'it1'))",317352.6
"('mi', 'mk')",304586.29
"(('mi', 'mk'), 'it1')",275627.73
"('mc', (('mi', 'mk'), 'it1'))",317352.6
"('mi', 'mk')",304586.29
"(('mi', 'mk'), 'it1')",275627.73
"('mc', (('mi', 'mk'), 'it1'))",317352.6
"('mc', (('mi', 'it1'), 'mk'))",284537.84
"(('mi', 'it1'), 'mc')",242666.95
"(('it1', ('mc', 'mi')), 'mk')",377414.26
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'mk')",282964.16
"(('mc', 'mk'), ('mi', 'it1'))",803812.12
"('mi', ('mk', 'mc'))",907701.92
"('it1', ('mi', ('mk', 'mc')))",927226.61
"('mc', ('it1', 'mi'))",374005.97
"(('mc', ('it1', 'mi')), 'mk')",375027.7
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",906301.57
"('it1', (('mk', 'mc'), 'mi'))",925826.27
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",906301.57
"('it1', (('mk', 'mc'), 'mi'))",925826.27
"(('mi', 'it1'), 'mc')",242666.95
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'mk')",282964.16
"('mk', 'mc')",510815.94
"(('mk', 'mc'), ('mi', 'it1'))",603348.2
"(('it1', 'mi'), ('mk', 'mc'))",1520949.62
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'mk')",282964.16
"('mk', 'mc')",510815.94
"(('mk', 'mc'), 'mi')",906301.57
"('it1', (('mk', 'mc'), 'mi'))",925826.27
"('mi', ('mk', 'mc'))",907701.92
"('it1', ('mi', ('mk', 'mc')))",927226.61
"('mi', 'mc')",288127.65
"('it1', ('mi', 'mc'))",288919.46
"('mk', ('it1', ('mi', 'mc')))",413110.92
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"(('mi', 'it1'), 'mc')",242666.95
"('mi', 'mc')",288127.65
"('mk', ('mi', 'mc'))",444594.05
"(('mk', ('mi', 'mc')), 'it1')",448849.92
"(('it1', 'mi'), ('mc', 'mk'))",964831.0
"('mk', (('mi', 'mc'), 'it1'))",406133.47
"(('it1', 'mi'), 'mc')",244434.58
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"(('mi', 'it1'), 'mc')",242666.95
"('mk', (('mi', 'it1'), 'mc'))",366858.41
"('mk', (('mi', 'it1'), 'mc'))",366858.41
"(('mi', 'it1'), ('mc', 'mk'))",936223.64
"(('mi', 'it1'), 'mc')",242666.95
"('mk', (('mi', 'it1'), 'mc'))",366858.41
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"('mk', (('mi', 'mc'), 'it1'))",406133.47
"(('mc', 'mk'), ('mi', 'it1'))",803812.12
"(('mi', 'it1'), 'mc')",242666.95
"('mk', (('mi', 'it1'), 'mc'))",366858.41
"('it1', (('mc', 'mk'), 'mi'))",934993.57
"(('mc', 'mi'), 'mk')",491027.01
"('it1', (('mc', 'mi'), 'mk'))",510551.76
"(('mi', 'it1'), ('mc', 'mk'))",936223.64
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"(('it1', 'mi'), 'mc')",244434.58
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"(('mi', 'it1'), 'mc')",242666.95
"('mk', (('mi', 'it1'), 'mc'))",366858.41
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"('mk', (('mi', 'mc'), 'it1'))",406133.47
"(('it1', ('mc', 'mi')), 'mk')",377414.26
"(('mk', 'mc'), ('mi', 'it1'))",603348.2
"('mk', (('mi', 'it1'), 'mc'))",366858.41
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"(('it1', 'mi'), ('mk', 'mc'))",1520949.62
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"('mk', ('mc', 'mi'))",522923.39
"(('mk', ('mc', 'mi')), 'it1')",527179.26
"('mk', ('mi', 'it1'))",321200.96
"('mc', ('mk', ('mi', 'it1')))",362925.82
"('mi', ('mc', 'mk'))",981023.58
"('it1', ('mi', ('mc', 'mk')))",1000548.33
"(('it1', 'mi'), ('mk', 'mc'))",1520949.62
"(('mi', 'it1'), ('mk', 'mc'))",735759.72
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"('mk', (('mi', 'mc'), 'it1'))",406133.47
"(('mi', 'it1'), 'mc')",242666.95
"('mk', (('mi', 'it1'), 'mc'))",366858.41
"('it1', ('mi', 'mc'))",288919.46
"('mk', ('it1', ('mi', 'mc')))",413110.92
"(('mk', 'mc'), ('mi', 'it1'))",603348.2
"(('mi', 'it1'), 'mc')",242666.95
"('mk', (('mi', 'it1'), 'mc'))",366858.41
"('it1', ('mi', 'mk'))",308283.45
"(('it1', ('mi', 'mk')), 'mc')",309826.4
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"(('mc', 'mk'), ('mi', 'it1'))",803812.12
"('mi', ('mc', 'mk'))",981023.58
"(('mi', ('mc', 'mk')), 'it1')",955144.44
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"(('it1', 'mi'), ('mc', 'mk'))",964831.0
"('mi', ('mc', 'mk'))",981023.58
"('it1', ('mi', ('mc', 'mk')))",1000548.33
"(('mc', 'mi'), 'mk')",491027.01
"((('mc', 'mi'), 'mk'), 'it1')",495282.89
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"('mk', ('mi', 'mc'))",444594.05
"('it1', ('mk', ('mi', 'mc')))",464118.74
"('mi', 'mk')",304586.29
"(('mi', 'mk'), 'mc')",421836.09
"((('mi', 'mk'), 'mc'), 'it1')",345152.87
"('mk', ('mi', 'mc'))",444594.05
"('it1', ('mk', ('mi', 'mc')))",464118.74
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"('mc', ('mk', ('it1', 'mi')))",468123.63
"('mk', ('mc', 'mi'))",522923.39
"('it1', ('mk', ('mc', 'mi')))",542448.09
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"('mk', ('mi', 'mc'))",444594.05
"('it1', ('mk', ('mi', 'mc')))",464118.74
"('mk', ('mi', 'mc'))",444594.05
"('it1', ('mk', ('mi', 'mc')))",464118.74
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"('mk', ('mi', 'it1'))",321200.96
"('mc', ('mk', ('mi', 'it1')))",362925.82
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"('mk', ('mi', 'it1'))",321200.96
"('mc', ('mk', ('mi', 'it1')))",362925.82
"('it1', (('mc', 'mk'), 'mi'))",934993.57
"('mk', ('mi', 'it1'))",321200.96
"('mc', ('mk', ('mi', 'it1')))",362925.82
"('it1', (('mc', 'mk'), 'mi'))",934993.57
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'mk')",403555.77
"((('mi', 'mc'), 'mk'), 'it1')",333063.69
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"(('mi', 'it1'), 'mc')",242666.95
"('it1', ('mk', ('mc', 'mi')))",542448.09
"('mk', ('mi', 'it1'))",321200.96
"('mc', ('mk', ('mi', 'it1')))",362925.82
"('mc', ('mk', ('mi', 'it1')))",362925.82
"('mk', ('it1', 'mi'))",367593.43
"(('mk', ('it1', 'mi')), 'mc')",369133.44
"('mk', ('mi', 'it1'))",321200.96
"('mc', ('mk', ('mi', 'it1')))",362925.82
"(('mc', 'mk'), ('mi', 'it1'))",803812.12
"('it1', ('mk', ('mi', 'mc')))",464118.74
"(('it1', 'mi'), ('mk', 'mc'))",1520949.62
"('mk', ('mi', 'it1'))",321200.96
"('mc', ('mk', ('mi', 'it1')))",362925.82
"('mi', 'mk')",304586.29
"(('mi', 'mk'), 'mc')",421836.09
"((('mi', 'mk'), 'mc'), 'it1')",345152.87
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"('mc', (('mk', 'mi'), 'it1'))",477608.11
"('mc', (('mi', 'it1'), 'mk'))",284537.84
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"('mc', (('mk', 'mi'), 'it1'))",477608.11
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"(('mc', 'mk'), ('mi', 'it1'))",803812.12
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"((('mk', 'mi'), 'it1'), 'mc')",378617.92
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"('it1', (('mk', 'mi'), 'mc'))",509416.29
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"((('mk', 'mi'), 'mc'), 'it1')",494147.46
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"((('mk', 'mi'), 'it1'), 'mc')",378617.92
"('it1', (('mc', 'mk'), 'mi'))",934993.57
"(('mi', 'it1'), ('mk', 'mc'))",735759.72
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"(('mi', 'mc'), 'mk')",403555.77
"((('mi', 'mc'), 'mk'), 'it1')",333063.69
"('mk', ('mi', 'mc'))",444594.05
"('it1', ('mk', ('mi', 'mc')))",464118.74
"('mk', ('mi', 'it1'))",321200.96
"('mc', ('mk', ('mi', 'it1')))",362925.82
"('mi', 'mc')",288127.65
"('mk', ('mi', 'mc'))",444594.05
"(('mk', ('mi', 'mc')), 'it1')",448849.92
"('it1', ('mk', ('mc', 'mi')))",542448.09
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"('it1', (('mk', 'mi'), 'mc'))",509416.29
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"('it1', (('mk', 'mi'), 'mc'))",509416.29
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"('mc', (('mk', 'mi'), 'it1'))",477608.11
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"('mc', (('mk', 'mi'), 'it1'))",477608.11
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"('mc', (('mk', 'mi'), 'it1'))",477608.11
"(('it1', 'mi'), 'mc')",244434.58
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"((('mk', 'mi'), 'it1'), 'mc')",378617.92
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"((('mk', 'mi'), 'it1'), 'mc')",378617.92
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"((('mk', 'mi'), 'mc'), 'it1')",494147.46
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"((('mk', 'mi'), 'mc'), 'it1')",494147.46
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"((('mk', 'mi'), 'mc'), 'it1')",494147.46
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'it1')",373449.22
"((('mk', 'mi'), 'it1'), 'mc')",378617.92
"('mc', ('mk', ('mi', 'it1')))",362925.82
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"((('mk', 'mi'), 'mc'), 'it1')",494147.46
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"('mi', ('mc', 'mk'))",981023.58
"('it1', ('mi', ('mc', 'mk')))",1000548.33
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"(('it1', ('mc', 'mi')), 'mk')",377414.26
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"(('it1', 'mi'), 'mc')",244434.58
"('mk', (('it1', 'mi'), 'mc'))",368626.04
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"(('it1', 'mi'), ('mc', 'mk'))",964831.0
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"((('it1', 'mi'), 'mk'), 'mc')",245833.13
"('mc', ('mi', 'it1'))",292397.97
"('mk', ('mc', ('mi', 'it1')))",416589.0
"(('it1', ('mc', 'mi')), 'mk')",377414.26
"(('it1', 'mi'), 'mc')",244434.58
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"(('mk', 'mc'), ('mi', 'it1'))",603348.2
"(('it1', 'mi'), 'mc')",244434.58
"((('it1', 'mi'), 'mc'), 'mk')",245458.14
"('mk', ('mi', 'it1'))",321200.96
"(('mk', ('mi', 'it1')), 'mc')",322740.97
"(('it1', 'mi'), ('mc', 'mk'))",964831.0
"('mi', 'mk')",304586.29
"('it1', ('mi', 'mk'))",308283.45
"('mc', ('it1', ('mi', 'mk')))",408813.98
"('mk', ('mi', 'mc'))",444594.05
"(('mk', ('mi', 'mc')), 'it1')",448849.92
"('mi', 'mc')",288127.65
"('it1', ('mi', 'mc'))",288919.46
"(('it1', ('mi', 'mc')), 'mk')",289943.02
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"((('mk', 'mi'), 'mc'), 'it1')",494147.46
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
"('it1', (('mk', 'mi'), 'mc'))",509416.29
"('mi', 'mc')",288127.65
"(('mi', 'mc'), 'it1')",281942.43
"((('mi', 'mc'), 'it1'), 'mk')",282964.16
"(('it1', 'mi'), ('mk', 'mc'))",1520949.62
"('mc', ('mi', 'mk'))",500158.35
"('it1', ('mc', ('mi', 'mk')))",519683.1
"('mi', 'mk')",304586.29
"('mc', ('mi', 'mk'))",500158.35
"('it1', ('mc', ('mi', 'mk')))",519683.1
"('mk', 'mi')",372641.79
"(('mk', 'mi'), 'mc')",489891.6
