order,costs
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mc', 'mk')",601578.58
"('k', ('mc', 'mk'))",903057.26
"(('k', ('mc', 'mk')), 't')",903145.56
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mk', 'k')",51966.45
"('mc', ('mk', 'k'))",85753.47
"(('mc', ('mk', 'k')), 't')",85772.47
"('mc', 't')",92757.49
"('k', 'mk')",3802.56
"(('k', 'mk'), ('mc', 't'))",100149.62
"(('k', 'mk'), 'mc')",3822.58
"((('k', 'mk'), 'mc'), 't')",3910.88
"('mk', 'mc')",510815.94
"('k', ('mk', 'mc'))",812294.63
