order,costs
"('n', 'ci')",1966662.7
"('mk', ('n', 'ci'))",5541015.14
"('k', ('mk', ('n', 'ci')))",7441570.46
"('n', 'ci')",1966662.7
"('mk', ('n', 'ci'))",5541015.14
"('k', ('mk', ('n', 'ci')))",7441570.46
"('n', 'ci')",1966662.7
"('mk', ('n', 'ci'))",5541015.14
"('k', ('mk', ('n', 'ci')))",7441570.46
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', ('n', 'ci'))",5541015.14
"('k', ('mk', ('n', 'ci')))",7441570.46
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', ('n', 'ci'))",5541015.14
"('k', ('mk', ('n', 'ci')))",7441570.46
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', ('n', 'ci'))",5541015.14
"('k', ('mk', ('n', 'ci')))",7441570.46
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', ('n', 'ci'))",5541015.14
"('k', ('mk', ('n', 'ci')))",7441570.46
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', 'k')",51966.45
"(('mk', 'k'), ('n', 'ci'))",2497394.54
"('n', 'ci')",1966662.7
"('mk', ('n', 'ci'))",5541015.14
"('k', ('mk', ('n', 'ci')))",7441570.46
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'n')",7803209.6
"('k', (('ci', 'mk'), 'n'))",9703764.93
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'n')",7803209.6
"('k', (('ci', 'mk'), 'n'))",9703764.93
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'n')",7803209.6
"('k', (('ci', 'mk'), 'n'))",9703764.93
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'n')",7803209.6
"('k', (('ci', 'mk'), 'n'))",9703764.93
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'n')",7803209.6
"('k', (('ci', 'mk'), 'n'))",9703764.93
"('ci', 'mk')",4183950.12
"(('ci', 'mk'), 'n')",7803209.6
"('k', (('ci', 'mk'), 'n'))",9703764.93
"('ci', 'n')",1603351.28
"('mk', ('ci', 'n'))",5177703.72
"(('mk', ('ci', 'n')), 'k')",2103333.67
