order,costs
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"('cn', ('t', ('mk', 'mc')))",2356831.38
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"('mk', 'mc')",510815.94
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 'mc')",510815.94
"('t', ('mk', 'mc'))",1072891.48
"(('t', ('mk', 'mc')), 'cn')",1095897.98
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('t', 'mc')",264463.78
"(('t', 'mc'), 'mk')",445308.59
"((('t', 'mc'), 'mk'), 'cn')",557571.12
"('t', 'mc')",264463.78
"(('t', 'mc'), 'mk')",445308.59
"((('t', 'mc'), 'mk'), 'cn')",557571.12
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('t', 'mc')",264463.78
"(('t', 'mc'), 'mk')",445308.59
"((('t', 'mc'), 'mk'), 'cn')",557571.12
"('mk', 't')",277169.11
"(('mk', 't'), 'mc')",482081.51
"((('mk', 't'), 'mc'), 'cn')",478603.07
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('mc', 't')",259591.28
"(('mc', 't'), 'cn')",244102.96
"('mk', (('mc', 't'), 'cn'))",459194.18
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('mc', 't')",259591.28
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('mc', 't')",259591.28
"(('mc', 't'), 'cn')",244102.96
"((('mc', 't'), 'cn'), 'mk')",481458.47
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'cn')",1140401.43
"((('mc', 'mk'), 'cn'), 't')",1424391.7
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'cn')",1140401.43
"((('mc', 'mk'), 'cn'), 't')",1424391.7
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'cn')",1140401.43
"((('mc', 'mk'), 'cn'), 't')",1424391.7
"('mc', 't')",259591.28
"('mc', 'mk')",601578.58
"(('mc', 't'), 'cn')",244102.96
"(('mc', 'mk'), 'cn')",1140401.43
"((('mc', 't'), 'cn'), 'mk')",481458.47
"((('mc', 'mk'), 'cn'), 't')",1424391.7
"('mc', 't')",259591.28
"(('mc', 't'), 'cn')",244102.96
"((('mc', 't'), 'cn'), 'mk')",481458.47
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'cn')",1140401.43
"((('mc', 'mk'), 'cn'), 't')",1424391.7
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'cn')",1140401.43
"((('mc', 'mk'), 'cn'), 't')",1424391.7
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'cn')",1140401.43
"('mc', 'cn')",101741.45
"('t', (('mc', 'mk'), 'cn'))",1446070.15
"(('mc', 'cn'), 'mk')",443032.1
"((('mc', 'cn'), 'mk'), 't')",659395.97
"('mc', 'cn')",101741.45
"('mk', ('mc', 'cn'))",370081.48
"(('mk', ('mc', 'cn')), 't')",668341.54
"('mc', 'mk')",601578.58
"(('mc', 'mk'), 'cn')",1140401.43
"((('mc', 'mk'), 'cn'), 't')",1424391.7
"('mc', 'cn')",101741.45
"(('mc', 'cn'), 't')",239162.47
"((('mc', 'cn'), 't'), 'mk')",460697.44
"('cn', ('mc', 'mk'))",4800555.22
"(('cn', ('mc', 'mk')), 't')",5312166.64
"(('mk', 'mc'), 't')",1013132.77
"((('mk', 'mc'), 't'), 'cn')",1383951.3
"('t', 'mk')",277169.11
"(('t', 'mk'), 'mc')",482081.51
"((('t', 'mk'), 'mc'), 'cn')",553613.58
"('t', 'mk')",277169.11
"(('t', 'mk'), 'mc')",482081.51
"((('t', 'mk'), 'mc'), 'cn')",553613.58
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"(('mc', 't'), 'cn')",244102.96
"((('mc', 't'), 'cn'), 'mk')",481458.47
"('cn', ('mk', 'mc'))",6170046.8
"(('cn', ('mk', 'mc')), 't')",6681658.22
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"(('mc', 't'), 'cn')",244102.96
"((('mc', 't'), 'cn'), 'mk')",481458.47
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"('cn', 'mc')",134918.42
"(('cn', 'mc'), ('mk', 't'))",666476.55
"('mc', 'cn')",101741.45
"(('mk', 'mc'), 'cn')",1049638.8
"(('mc', 'cn'), 't')",239162.47
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"((('mc', 'cn'), 't'), 'mk')",460697.44
"('mc', 't')",259591.28
"(('mc', 't'), 'mk')",445308.59
"('cn', (('mc', 't'), 'mk'))",1729248.49
"((('mc', 't'), 'mk'), 'cn')",556963.0
"(('mk', 'mc'), 't')",1013132.77
"((('mk', 'mc'), 't'), 'cn')",1383951.3
"('mc', 'cn')",101741.45
"(('mk', 't'), ('mc', 'cn'))",457048.01
"(('t', 'mc'), 'cn')",251467.21
"((('t', 'mc'), 'cn'), 'mk')",481458.47
"('mc', 'cn')",101741.45
"('mk', ('mc', 'cn'))",370081.48
"(('mk', ('mc', 'cn')), 't')",668341.54
"(('mk', 'mc'), 'cn')",1049638.8
"((('mk', 'mc'), 'cn'), 't')",1306843.16
"('cn', (('t', 'mc'), 'mk'))",1729248.49
"(('t', 'mc'), 'cn')",251467.21
"('mk', (('t', 'mc'), 'cn'))",425961.93
"(('mk', 'mc'), 't')",1013132.77
"((('mk', 'mc'), 't'), 'cn')",1383951.3
"('t', 'mk')",277169.11
"(('t', 'mk'), 'mc')",482081.51
"((('t', 'mk'), 'mc'), 'cn')",553613.58
"(('mk', 'mc'), 't')",1013132.77
"((('mk', 'mc'), 't'), 'cn')",1383951.3
