order,costs
"('mc', 't')",259591.28
"(('mc', 't'), 'cn')",333633.29
"('mc', 'cn')",106827.81
"('ci', 't')",1515128.02
"(('mc', 'cn'), ('ci', 't'))",3781926.82
"('mc', 'cn')",106827.81
"('ci', 't')",1515128.02
"(('mc', 'cn'), ('ci', 't'))",3781926.82
"('mc', 'cn')",106827.81
"('ci', 't')",1515128.02
"(('mc', 'cn'), ('ci', 't'))",3781926.82
"('mc', 'cn')",106827.81
"('ci', 't')",1515128.02
"(('mc', 'cn'), ('ci', 't'))",3781926.82
"('mc', 'cn')",106827.81
"('ci', 't')",1515128.02
"(('mc', 'cn'), ('ci', 't'))",3781926.82
"('mc', 'cn')",106827.81
"('ci', 't')",1515128.02
"(('mc', 'cn'), ('ci', 't'))",3781926.82
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"('ci', 't')",1515128.02
"(('mc', 'cn'), ('ci', 't'))",3781926.82
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 'ci')",2904132.5
"('t', (('mc', 'cn'), 'ci'))",4642433.44
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 't')",338505.79
"((('mc', 'cn'), 't'), 'ci')",2569917.73
"('mc', 'cn')",106827.81
"(('mc', 'cn'), 't')",338505.79
"((('mc', 'cn'), 't'), 'ci')",2569917.73
"('cn', 'mc')",151331.54
"(('cn', 'mc'), 'ci')",2948636.23
"('t', (('cn', 'mc'), 'ci'))",8361494.01
"('mc', 'ci')",2791259.98
"(('mc', 'ci'), 't')",4349476.1
"((('mc', 'ci'), 't'), 'cn')",6547437.76
"('cn', 'mc')",151331.54
"(('cn', 'mc'), 't')",416967.54
"((('cn', 'mc'), 't'), 'ci')",2773791.78
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"('cn', (('ci', 't'), 'mc'))",48015607.79
"('cn', 'mc')",151331.54
"(('cn', 'mc'), 'ci')",2948636.23
"('t', (('cn', 'mc'), 'ci'))",8361494.01
"('ci', 't')",1515128.02
"(('ci', 't'), 'mc')",3791983.98
"('cn', (('ci', 't'), 'mc'))",48015607.79
"('ci', ('mc', 'cn'))",2676896.69
"(('ci', ('mc', 'cn')), 't')",4507617.28
"(('mc', 'ci'), 'cn')",4989221.63
"('t', (('mc', 'ci'), 'cn'))",6766353.09
"('cn', ('mc', 't'))",952564.19
"(('cn', ('mc', 't')), 'ci')",3309388.42
"('cn', ('mc', 't'))",952564.19
"(('cn', ('mc', 't')), 'ci')",3309388.42
"('t', ('cn', 'mc'))",459342.8
"(('t', ('cn', 'mc')), 'ci')",2816167.03
"(('cn', 'mc'), ('ci', 't'))",4697422.81
"(('cn', 'mc'), ('ci', 't'))",4697422.81
"('t', 'ci')",2264291.74
"(('cn', 'mc'), ('t', 'ci'))",4340978.09
"('t', 'ci')",2264291.74
"(('cn', 'mc'), ('t', 'ci'))",4340978.09
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"('t', 'mc')",264463.78
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'ci')",2264291.74
"(('cn', 'mc'), ('t', 'ci'))",4340978.09
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('t', 'ci')",2264291.74
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"(('cn', 'mc'), ('t', 'ci'))",4340978.09
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'ci')",2264291.74
"(('cn', 'mc'), ('t', 'ci'))",4340978.09
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"(('mc', 'ci'), 'cn')",4989221.63
"('t', (('mc', 'ci'), 'cn'))",6766353.09
"('t', ('mc', 'ci'))",4568391.43
"(('t', ('mc', 'ci')), 'cn')",5512275.17
"(('mc', 'ci'), 'cn')",4989221.63
"((('mc', 'ci'), 'cn'), 't')",6547437.76
"(('cn', 'mc'), ('ci', 't'))",4697422.81
"(('ci', 't'), ('cn', 'mc'))",4425077.27
"(('mc', 'ci'), 'cn')",4989221.63
"((('mc', 'ci'), 'cn'), 't')",6547437.76
"('ci', (('cn', 'mc'), 't'))",2455945.11
"('ci', (('cn', 'mc'), 't'))",2455945.11
"(('cn', 'mc'), ('ci', 't'))",4697422.81
"(('ci', 't'), ('mc', 'cn'))",3866025.99
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",28231158.98
"('t', ('cn', ('ci', 'mc')))",34554923.17
"('ci', 'mc')",2564024.17
"(('ci', 'mc'), 't')",4433575.27
"((('ci', 'mc'), 't'), 'cn')",6631536.93
"('ci', 'mc')",2564024.17
"('cn', ('ci', 'mc'))",28231158.98
"('t', ('cn', ('ci', 'mc')))",34554923.17
"('mc', ('ci', 't'))",3707884.81
"(('mc', ('ci', 't')), 'cn')",5905846.47
"(('mc', 'ci'), 'cn')",4989221.63
"((('mc', 'ci'), 'cn'), 't')",6547437.76
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"(('t', 'mc'), 'ci')",2495951.6
"((('t', 'mc'), 'ci'), 'cn')",3439835.34
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"('cn', ('t', 'mc'))",957436.68
"('ci', ('cn', ('t', 'mc')))",2996414.26
"('cn', ('t', 'mc'))",957436.68
"('ci', ('cn', ('t', 'mc')))",2996414.26
"('cn', ('t', 'mc'))",957436.68
"('ci', ('cn', ('t', 'mc')))",2996414.26
"('cn', ('t', 'mc'))",957436.68
"('ci', ('cn', ('t', 'mc')))",2996414.26
"('cn', ('t', 'mc'))",957436.68
"(('cn', ('t', 'mc')), 'ci')",3314260.92
"('cn', (('mc', 'ci'), 't'))",30004066.63
"(('mc', 'cn'), ('t', 'ci'))",3781926.82
"('t', 'ci')",2264291.74
"(('t', 'ci'), ('mc', 'cn'))",3866025.99
"('t', 'ci')",2264291.74
"(('cn', 'mc'), ('t', 'ci'))",4340978.09
"(('t', 'mc'), 'cn')",338505.79
"((('t', 'mc'), 'cn'), 'ci')",2569917.73
"('cn', ('t', 'mc'))",957436.68
"('ci', ('cn', ('t', 'mc')))",2996414.26
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"('cn', ('ci', ('t', 'mc')))",46476105.16
"('t', 'mc')",264463.78
"('ci', ('t', 'mc'))",2252481.36
"(('ci', ('t', 'mc')), 'cn')",4450443.01
"(('t', 'mc'), 'ci')",2495951.6
"((('t', 'mc'), 'ci'), 'cn')",3439835.34
"(('t', 'mc'), 'cn')",338505.79
"('ci', (('t', 'mc'), 'cn'))",2377483.36
"('ci', 'mc')",2564024.17
"('t', ('ci', 'mc'))",4652490.6
"(('t', ('ci', 'mc')), 'cn')",6850452.26
"('t', ('mc', 'cn'))",345028.61
"('ci', ('t', ('mc', 'cn')))",2384006.19
"('t', 'ci')",2264291.74
"(('t', 'ci'), ('mc', 'cn'))",3866025.99
"('ci', (('mc', 'cn'), 't'))",2377483.36
"('cn', ('mc', 'ci'))",6179541.79
"(('cn', ('mc', 'ci')), 't')",10510098.29
"('ci', (('mc', 'cn'), 't'))",2377483.36
"(('t', 'mc'), 'cn')",338505.79
"((('t', 'mc'), 'cn'), 'ci')",2569917.73
"('t', 'ci')",2264291.74
"(('mc', 'cn'), ('t', 'ci'))",3781926.82
"('ci', (('mc', 'cn'), 't'))",2377483.36
"('cn', (('mc', 'ci'), 't'))",30004066.63
"('ci', (('mc', 'cn'), 't'))",2377483.36
"('t', 'ci')",2264291.74
"(('t', 'ci'), ('mc', 'cn'))",3866025.99
"('t', 'ci')",2264291.74
"(('t', 'ci'), ('mc', 'cn'))",3866025.99
"('mc', ('t', 'ci'))",3707884.81
"(('mc', ('t', 'ci')), 'cn')",4651768.55
"((('mc', 't'), 'cn'), 'ci')",2569917.73
"(('t', 'ci'), ('cn', 'mc'))",4425077.27
"('mc', ('t', 'ci'))",3707884.81
"(('mc', ('t', 'ci')), 'cn')",4651768.55
"(('t', 'mc'), 'ci')",2495951.6
"((('t', 'mc'), 'ci'), 'cn')",3439835.34
"(('t', 'mc'), 'cn')",338505.79
"((('t', 'mc'), 'cn'), 'ci')",2569917.73
"('cn', (('mc', 'ci'), 't'))",30004066.63
"('t', ('cn', 'mc'))",459342.8
"('ci', ('t', ('cn', 'mc')))",2498320.37
"((('mc', 't'), 'cn'), 'ci')",2569917.73
"(('t', 'ci'), 'mc')",3791983.98
"((('t', 'ci'), 'mc'), 'cn')",5989945.64
"('t', 'ci')",2264291.74
"('mc', ('t', 'ci'))",3707884.81
"(('mc', ('t', 'ci')), 'cn')",4651768.55
"('t', ('cn', 'mc'))",459342.8
"('ci', ('t', ('cn', 'mc')))",2498320.37
"('t', 'ci')",2264291.74
"(('mc', 'cn'), ('t', 'ci'))",3781926.82
"('t', 'ci')",2264291.74
"(('mc', 'cn'), ('t', 'ci'))",3781926.82
"((('mc', 't'), 'cn'), 'ci')",2569917.73
"('t', 'ci')",2264291.74
"(('mc', 'cn'), ('t', 'ci'))",3781926.82
"(('mc', 't'), 'ci')",2495951.6
"((('mc', 't'), 'ci'), 'cn')",3439835.34
"('mc', ('t', 'ci'))",3707884.81
"('cn', ('mc', ('t', 'ci')))",19051286.26
"(('cn', ('ci', 'mc')), 't')",32561715.49
"((('mc', 't'), 'cn'), 'ci')",2569917.73
"('t', 'ci')",2264291.74
"('mc', ('t', 'ci'))",3707884.81
"(('mc', ('t', 'ci')), 'cn')",4651768.55
"('t', 'ci')",2264291.74
"('mc', ('t', 'ci'))",3707884.81
"('cn', ('mc', ('t', 'ci')))",19051286.26
"(('t', 'mc'), 'ci')",2495951.6
"((('t', 'mc'), 'ci'), 'cn')",3439835.34
"('ci', (('cn', 'mc'), 't'))",2455945.11
"('cn', ('t', 'mc'))",957436.68
"(('cn', ('t', 'mc')), 'ci')",3314260.92
"('t', 'ci')",2264291.74
