order,costs
"('mi', 'mi_idx')",258688.02
"('it1', ('mi', 'mi_idx'))",258800.94
"(('it1', ('mi', 'mi_idx')), 'it2')",258803.59
"('mi', 'mi_idx')",258688.02
"('it2', ('mi', 'mi_idx'))",258800.94
"('it1', ('it2', ('mi', 'mi_idx')))",258804.33
"('mi', 'mi_idx')",258688.02
"('it1', ('mi', 'mi_idx'))",258800.94
"(('it1', ('mi', 'mi_idx')), 'it2')",258803.59
"('mi', 'mi_idx')",258688.02
"('it1', ('mi', 'mi_idx'))",258800.94
"(('it1', ('mi', 'mi_idx')), 'it2')",258803.59
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"('it2', (('mi', 'it1'), 'mi_idx'))",242635.42
"('mi', 'mi_idx')",258688.02
"('it2', ('mi', 'mi_idx'))",258800.94
"('it1', ('it2', ('mi', 'mi_idx')))",258804.33
"('mi', 'mi_idx')",258688.02
"('it2', ('mi', 'mi_idx'))",258800.94
"('it1', ('it2', ('mi', 'mi_idx')))",258804.33
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"('it2', (('mi', 'it1'), 'mi_idx'))",242635.42
"('mi', 'mi_idx')",258688.02
"('it2', ('mi', 'mi_idx'))",258800.94
"('it1', ('it2', ('mi', 'mi_idx')))",258804.33
"('mi', 'mi_idx')",258688.02
"('it2', ('mi', 'mi_idx'))",258800.94
"('it1', ('it2', ('mi', 'mi_idx')))",258804.33
"('mi', 'mi_idx')",258688.02
"('it2', ('mi', 'mi_idx'))",258800.94
"('it1', ('it2', ('mi', 'mi_idx')))",258804.33
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"('it2', (('mi', 'it1'), 'mi_idx'))",242635.42
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"('it2', (('mi', 'it1'), 'mi_idx'))",242635.42
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"('it2', (('mi', 'it1'), 'mi_idx'))",242635.42
"('mi', 'mi_idx')",258688.02
"('it2', ('mi', 'mi_idx'))",258800.94
"('it1', ('it2', ('mi', 'mi_idx')))",258804.33
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"('it2', (('mi', 'it1'), 'mi_idx'))",242635.42
"('mi', 'it1')",242396.42
"('mi_idx', 'it2')",16263.78
"(('mi_idx', 'it2'), ('mi', 'it1'))",257555.92
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"('it2', (('mi', 'it1'), 'mi_idx'))",242635.42
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"((('mi', 'it1'), 'mi_idx'), 'it2')",242625.93
"('mi', 'it1')",242396.42
"('mi_idx', 'it2')",16263.78
"(('mi_idx', 'it2'), ('mi', 'it1'))",257555.92
"('mi', 'mi_idx')",258688.02
"('it2', ('mi', 'mi_idx'))",258800.94
"(('it2', ('mi', 'mi_idx')), 'it1')",258803.59
"('mi', 'mi_idx')",258688.02
"('it1', ('mi', 'mi_idx'))",258800.94
"('it2', ('it1', ('mi', 'mi_idx')))",258804.33
"('mi', 'it1')",242396.42
"(('mi', 'it1'), 'mi_idx')",242632.04
"((('mi', 'it1'), 'mi_idx'), 'it2')",242625.93
"('mi', 'mi_idx')",258688.02
"('it1', ('mi', 'mi_idx'))",258800.94
"('it2', ('it1', ('mi', 'mi_idx')))",258804.33
"('mi', ('mi_idx', 'it2'))",257588.22
"('it1', ('mi', ('mi_idx', 'it2')))",257591.61
"('it2', 'mi_idx')",17039.61
"(('it2', 'mi_idx'), ('mi', 'it1'))",259463.28
"('mi_idx', 'mi')",168365.12
"('it1', ('mi_idx', 'mi'))",168478.04
"('it2', ('it1', ('mi_idx', 'mi')))",168481.43
"('mi_idx', 'mi')",168365.12
"('it2', ('mi_idx', 'mi'))",168478.04
"(('it2', ('mi_idx', 'mi')), 'it1')",168480.68
"('mi_idx', 'mi')",168365.12
"('it2', ('mi_idx', 'mi'))",168478.04
