order,costs
"('mc', 'ci')",556876.18
"(('mc', 'ci'), 'cn')",546648.35
"((('mc', 'ci'), 'cn'), 'an')",579856.47
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mc')",936953.24
"((('an', 'ci'), 'mc'), 'cn')",961722.67
"('mc', 'ci')",556876.18
"('an', ('mc', 'ci'))",660791.6
"('cn', ('an', ('mc', 'ci')))",832391.32
"('mc', 'cn')",53163.52
"(('mc', 'cn'), 'ci')",283400.42
"('mc', 'cn')",53163.52
"(('mc', 'cn'), 'ci')",283400.42
"('mc', 'cn')",53163.52
"(('mc', 'cn'), 'ci')",283400.42
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",973185.07
"(('mc', ('an', 'ci')), 'cn')",997954.5
"('cn', 'mc')",111092.68
"('an', 'ci')",772720.72
"(('an', 'ci'), ('cn', 'mc'))",975065.78
"('ci', 'mc')",553199.78
"(('ci', 'mc'), 'cn')",542971.95
"((('ci', 'mc'), 'cn'), 'an')",576180.07
"('cn', 'mc')",111092.68
"('an', 'ci')",772720.72
"(('an', 'ci'), ('cn', 'mc'))",975065.78
"('cn', 'mc')",111092.68
"('ci', 'an')",757947.5
"(('ci', 'an'), ('cn', 'mc'))",685020.33
"('ci', 'mc')",553199.78
"(('ci', 'mc'), 'an')",630083.52
"('cn', (('ci', 'mc'), 'an'))",801683.24
"('cn', 'mc')",111092.68
"('ci', 'an')",757947.5
"(('ci', 'an'), ('cn', 'mc'))",685020.33
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",973185.07
"(('mc', ('an', 'ci')), 'cn')",997954.5
"('ci', 'an')",757947.5
"('cn', 'mc')",111092.68
"(('cn', 'mc'), ('ci', 'an'))",727644.12
"('ci', 'mc')",553199.78
"(('ci', 'mc'), 'cn')",542971.95
"((('ci', 'mc'), 'cn'), 'an')",576180.07
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",695064.1
"(('mc', ('ci', 'an')), 'cn')",662820.96
"('ci', 'mc')",553199.78
"(('ci', 'mc'), 'cn')",542971.95
"((('ci', 'mc'), 'cn'), 'an')",576180.07
"('ci', 'mc')",553199.78
"(('ci', 'mc'), 'cn')",542971.95
"((('ci', 'mc'), 'cn'), 'an')",576180.07
"('ci', 'mc')",553199.78
"('an', ('ci', 'mc'))",657115.2
"(('an', ('ci', 'mc')), 'cn')",681884.63
