order,costs
"('n', 'ci')",121995.86
"(('n', 'ci'), 'chn')",122000.11
"((('n', 'ci'), 'chn'), 'rt')",121999.85
"('ci', 'n')",563636.43
"(('ci', 'n'), 'rt')",563635.82
"((('ci', 'n'), 'rt'), 'chn')",563636.38
"('n', 'ci')",121995.86
"('rt', ('n', 'ci'))",121997.26
"('chn', ('rt', ('n', 'ci')))",205600.16
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'n')",586916.48
"('rt', (('ci', 'chn'), 'n'))",586917.76
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'n')",505105.72
"((('ci', 'rt'), 'n'), 'chn')",505106.28
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('ci', 'rt')",489393.19
"('n', ('ci', 'rt'))",564370.15
"(('n', ('ci', 'rt')), 'chn')",564370.71
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'n')",505105.72
"((('ci', 'rt'), 'n'), 'chn')",505106.28
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'n')",505105.72
"((('ci', 'rt'), 'n'), 'chn')",505106.28
"('ci', 'rt')",489393.19
"(('ci', 'rt'), 'n')",505105.72
"((('ci', 'rt'), 'n'), 'chn')",505106.28
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('n', 'ci')",121995.86
"(('n', 'ci'), 'rt')",121995.25
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 'chn')",125673.24
"((('rt', 'ci'), 'chn'), 'n')",152378.46
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 'chn')",125673.24
"((('rt', 'ci'), 'chn'), 'n')",152378.46
"('rt', 'ci')",109114.13
"(('rt', 'ci'), 'chn')",125673.24
"((('rt', 'ci'), 'chn'), 'n')",152378.46
"('chn', ('rt', 'ci'))",225562.36
"(('chn', ('rt', 'ci')), 'n')",233189.95
"('chn', ('ci', 'rt'))",624443.29
"(('chn', ('ci', 'rt')), 'n')",651148.51
"('chn', (('ci', 'rt'), 'n'))",559596.32
"('chn', ('n', ('ci', 'rt')))",618860.75
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('chn', 'ci')",812577.11
"('rt', ('chn', 'ci'))",817827.56
"(('rt', ('chn', 'ci')), 'n')",844532.78
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('rt', ('ci', 'chn'))",551915.87
"(('rt', ('ci', 'chn')), 'n')",578621.09
"('n', ('ci', 'chn'))",596312.6
"(('n', ('ci', 'chn')), 'rt')",596312.34
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('n', (('rt', 'ci'), 'chn'))",208924.83
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('n', ('rt', 'ci'))",192860.57
"('chn', ('n', ('rt', 'ci')))",247351.17
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('chn', ('rt', 'ci'))",225562.36
"('n', ('chn', ('rt', 'ci')))",304042.19
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('n', (('rt', 'ci'), 'chn'))",208924.83
"('n', ('rt', 'ci'))",192860.57
"('chn', ('n', ('rt', 'ci')))",247351.17
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('n', ('rt', 'ci'))",192860.57
"('chn', ('n', ('rt', 'ci')))",247351.17
"('n', ('rt', 'ci'))",192860.57
"('chn', ('n', ('rt', 'ci')))",247351.17
"('n', ('rt', 'ci'))",192860.57
"('chn', ('n', ('rt', 'ci')))",247351.17
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('n', ('rt', 'ci'))",192860.57
"('chn', ('n', ('rt', 'ci')))",247351.17
"('n', ('rt', 'ci'))",192860.57
"('chn', ('n', ('rt', 'ci')))",247351.17
"('n', ('rt', 'ci'))",192860.57
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('chn', 'ci')",812577.11
"('rt', ('chn', 'ci'))",817827.56
"(('rt', ('chn', 'ci')), 'n')",844532.78
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",919515.44
"('rt', ('n', ('chn', 'ci')))",919516.72
"('chn', 'ci')",812577.11
"('rt', ('chn', 'ci'))",817827.56
"(('rt', ('chn', 'ci')), 'n')",844532.78
"('n', ('rt', ('ci', 'chn')))",635218.13
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",919515.44
"('rt', ('n', ('chn', 'ci')))",919516.72
"('n', ('ci', 'chn'))",596312.6
"('rt', ('n', ('ci', 'chn')))",596313.88
"('n', ('chn', 'ci'))",919515.44
"(('n', ('chn', 'ci')), 'rt')",919516.64
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",919515.44
"('rt', ('n', ('chn', 'ci')))",919516.72
"('chn', 'ci')",812577.11
"('rt', ('chn', 'ci'))",817827.56
"(('rt', ('chn', 'ci')), 'n')",844532.78
"('n', ('rt', ('ci', 'chn')))",635218.13
"('chn', 'ci')",812577.11
"('rt', ('chn', 'ci'))",817827.56
"('n', ('rt', ('chn', 'ci')))",901129.82
"('rt', (('n', 'ci'), 'chn'))",122001.38
"('chn', ('rt', 'ci'))",225562.36
"('n', ('chn', ('rt', 'ci')))",304042.19
"('chn', ('rt', 'ci'))",225562.36
"('n', ('chn', ('rt', 'ci')))",304042.19
"(('rt', 'ci'), 'n')",164124.05
"((('rt', 'ci'), 'n'), 'chn')",164125.36
"('chn', 'ci')",812577.11
"('rt', ('chn', 'ci'))",817827.56
"(('rt', ('chn', 'ci')), 'n')",844532.78
"('chn', 'ci')",812577.11
"('n', ('chn', 'ci'))",919515.44
"('rt', ('n', ('chn', 'ci')))",919516.72
"(('rt', ('n', 'ci')), 'chn')",121998.57
"('rt', (('n', 'ci'), 'chn'))",122001.38
"('chn', ('rt', 'ci'))",225562.36
"('n', ('chn', ('rt', 'ci')))",304042.19
"(('n', ('rt', 'ci')), 'chn')",192861.12
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('rt', (('n', 'ci'), 'chn'))",122001.38
"(('n', ('rt', 'ci')), 'chn')",192861.12
"('chn', ('rt', 'ci'))",225562.36
"('n', ('chn', ('rt', 'ci')))",304042.19
"('chn', (('ci', 'rt'), 'n'))",559596.32
"(('rt', 'ci'), 'n')",164124.05
"((('rt', 'ci'), 'n'), 'chn')",164125.36
"('chn', (('ci', 'rt'), 'n'))",559596.32
"('chn', (('ci', 'n'), 'rt'))",618126.42
"(('ci', 'rt'), 'chn')",501191.66
"((('ci', 'rt'), 'chn'), 'n')",508819.25
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'rt')",814069.95
"((('chn', 'ci'), 'rt'), 'n')",840775.17
"('n', (('rt', 'ci'), 'chn'))",208924.83
"(('rt', 'ci'), 'n')",164124.05
"('chn', (('rt', 'ci'), 'n'))",221250.38
"('chn', (('ci', 'rt'), 'n'))",559596.32
"('chn', ('n', ('ci', 'rt')))",618860.75
