order,costs
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'mi')",2251209.57
"('an', (('mc', 'ci'), 'mi'))",27677987.63
"('mc', 'mi')",1767145.65
"('ci', ('mc', 'mi'))",3470627.87
"('an', ('ci', ('mc', 'mi')))",28897405.93
"('mc', 'ci')",772790.16
"('an', ('mc', 'ci'))",1332925.0
"(('an', ('mc', 'ci')), 'mi')",9073428.45
"('ci', 'mi')",2287233.85
"('mc', ('ci', 'mi'))",2848001.17
"('an', ('mc', ('ci', 'mi')))",28274779.24
"('ci', 'mc')",729377.9
"(('ci', 'mc'), 'mi')",2597762.7
"('an', (('ci', 'mc'), 'mi'))",10173013.68
"('mc', 'ci')",772790.16
"('an', ('mc', 'ci'))",1332925.0
"('mi', ('an', ('mc', 'ci')))",4046326.35
"('ci', 'mc')",729377.9
"('an', ('ci', 'mc'))",1289512.75
"('mi', ('an', ('ci', 'mc')))",4002914.1
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'mi')",2251209.57
"((('mc', 'ci'), 'mi'), 'an')",18569120.79
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'mi')",2251209.57
"((('mc', 'ci'), 'mi'), 'an')",18569120.79
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"(('mc', 'ci'), 'mi')",2251209.57
"((('mc', 'ci'), 'mi'), 'an')",18569120.79
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'mi')",2251209.57
"((('mc', 'ci'), 'mi'), 'an')",18569120.79
"((('mc', 'ci'), 'mi'), 'an')",18569120.79
"(('mc', 'mi'), 'ci')",3586440.18
"((('mc', 'mi'), 'ci'), 'an')",19904354.39
"('mc', 'ci')",772790.16
"(('mc', 'ci'), 'mi')",2251209.57
"((('mc', 'ci'), 'mi'), 'an')",18569120.79
"(('mc', 'ci'), 'an')",1200007.56
"('mi', (('mc', 'ci'), 'an'))",3913408.6
"((('ci', 'mc'), 'mi'), 'an')",10327415.76
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mi')",5781872.56
"((('an', 'ci'), 'mi'), 'mc')",7014787.41
"('mi', 'ci')",1357777.08
"(('mi', 'ci'), 'an')",4374280.57
"((('mi', 'ci'), 'an'), 'mc')",6794911.61
"('mi', 'ci')",1357777.08
"(('mi', 'ci'), 'an')",4374280.57
"((('mi', 'ci'), 'an'), 'mc')",6794911.61
"('ci', 'an')",757947.5
"(('mc', 'mi'), ('ci', 'an'))",5470521.24
"('mi', 'ci')",1357777.08
"(('mi', 'ci'), 'an')",4374280.57
"((('mi', 'ci'), 'an'), 'mc')",6794911.61
"('mi', 'ci')",1357777.08
"(('mi', 'ci'), 'an')",4374280.57
"((('mi', 'ci'), 'an'), 'mc')",6794911.61
"('ci', 'an')",757947.5
"(('mc', 'mi'), ('ci', 'an'))",5470521.24
"('an', (('mc', 'mi'), 'ci'))",29013220.69
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"('an', (('mc', 'mi'), 'ci'))",29013220.69
"('an', (('mc', 'mi'), 'ci'))",29013220.69
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"('an', (('mc', 'mi'), 'ci'))",29013220.69
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"('an', (('mc', 'mi'), 'ci'))",29013220.69
"('mi', 'mc')",1721021.07
"('ci', ('mi', 'mc'))",4487719.25
"('an', ('ci', ('mi', 'mc')))",15984525.55
"('mc', (('mi', 'ci'), 'an'))",6729851.94
"(('ci', 'an'), ('mc', 'mi'))",5279759.98
"('mc', (('mi', 'ci'), 'an'))",6729851.94
"(('ci', 'an'), ('mc', 'mi'))",5279759.98
"('mc', (('mi', 'ci'), 'an'))",6729851.94
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",1198773.42
"('mi', ('mc', ('ci', 'an')))",3912174.46
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",1198773.42
"('mi', ('mc', ('ci', 'an')))",3912174.46
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",1198773.42
"(('mc', ('ci', 'an')), 'mi')",4186829.76
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"('mi', ('mc', ('an', 'ci')))",3992170.69
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"('mi', ('mc', ('an', 'ci')))",3992170.69
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"('mi', ('mc', ('an', 'ci')))",3992170.69
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mc')",1032871.51
"('mi', (('an', 'ci'), 'mc'))",3746272.86
"(('ci', 'mc'), 'an')",1189150.81
"('mi', (('ci', 'mc'), 'an'))",3902551.85
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"('mi', ('mc', ('an', 'ci')))",3992170.69
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mc')",1032871.51
"((('an', 'ci'), 'mc'), 'mi')",4548608.36
"('an', 'ci')",772720.72
"(('mc', 'mi'), ('an', 'ci'))",5485294.46
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mi')",5781872.56
"('mc', (('an', 'ci'), 'mi'))",6949727.75
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",1198773.42
"('mi', ('mc', ('ci', 'an')))",3912174.46
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mi')",5781872.56
"('mc', (('an', 'ci'), 'mi'))",6949727.75
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"('mi', ('mc', ('an', 'ci')))",3992170.69
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"(('mc', ('an', 'ci')), 'mi')",4201602.98
"(('an', 'ci'), 'mc')",1032871.51
"('mi', (('an', 'ci'), 'mc'))",3746272.86
"('an', 'ci')",772720.72
"(('an', 'ci'), 'mc')",1032871.51
"('mi', (('an', 'ci'), 'mc'))",3746272.86
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"('mi', ('mc', ('an', 'ci')))",3992170.69
"('mi', ('ci', 'mc'))",2240835.03
"(('mi', ('ci', 'mc')), 'an')",9686000.97
"('ci', 'an')",757947.5
"('mi', ('ci', 'an'))",2165810.67
"(('mi', ('ci', 'an')), 'mc')",3398669.75
"('mc', ('ci', 'an'))",1198773.42
"('mi', ('mc', ('ci', 'an')))",3912174.46
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"('mi', ('mc', ('an', 'ci')))",3992170.69
"('ci', 'an')",757947.5
"('mi', ('ci', 'an'))",2165810.67
"(('mi', ('ci', 'an')), 'mc')",3398669.75
"('ci', 'an')",757947.5
"(('mc', 'mi'), ('ci', 'an'))",5470521.24
"('mi', 'ci')",1357777.08
"('an', ('mi', 'ci'))",5466686.98
"(('an', ('mi', 'ci')), 'mc')",8036936.8
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"('mi', 'ci')",1357777.08
"('an', ('mi', 'ci'))",5466686.98
"(('an', ('mi', 'ci')), 'mc')",8036936.8
"('ci', 'an')",757947.5
"(('ci', 'an'), ('mc', 'mi'))",5279759.98
"('mi', 'ci')",1357777.08
"(('mi', 'ci'), 'mc')",1941931.28
"('an', (('mi', 'ci'), 'mc'))",13438737.59
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"('ci', 'an')",757947.5
"(('ci', 'an'), ('mc', 'mi'))",5279759.98
"(('an', 'ci'), ('mc', 'mi'))",5294533.2
"(('ci', 'mc'), 'an')",1189150.81
"((('ci', 'mc'), 'an'), 'mi')",4666784.29
"('ci', 'an')",757947.5
"(('ci', 'an'), ('mc', 'mi'))",5279759.98
"((('mc', 'ci'), 'an'), 'mi')",4337666.5
"('ci', 'an')",757947.5
"(('ci', 'an'), ('mc', 'mi'))",5279759.98
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"(('mc', ('an', 'ci')), 'mi')",4201602.98
"('an', 'ci')",772720.72
"('mc', ('an', 'ci'))",1278769.65
"(('mc', ('an', 'ci')), 'mi')",4201602.98
"('ci', 'an')",757947.5
"('mc', ('ci', 'an'))",1198773.42
"('mi', ('mc', ('ci', 'an')))",3912174.46
