order,costs
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('n', 'ci')",860175.93
"(('n', 'ci'), 't')",990140.18
"((('n', 'ci'), 't'), 'chn')",1007618.33
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('ci', 't')",608404.03
"('n', ('ci', 't'))",897182.8
"(('n', ('ci', 't')), 'chn')",914660.95
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('ci', 't')",608404.03
"('n', ('ci', 't'))",897182.8
"(('n', ('ci', 't')), 'chn')",914660.95
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('ci', 't')",608404.03
"('n', ('ci', 't'))",897182.8
"(('n', ('ci', 't')), 'chn')",914660.95
"('n', 'ci')",860175.93
"('t', ('n', 'ci'))",995953.13
"(('t', ('n', 'ci')), 'chn')",1013431.28
"('ci', 't')",608404.03
"('n', ('ci', 't'))",897182.8
"(('n', ('ci', 't')), 'chn')",914660.95
"('ci', 't')",608404.03
"('n', ('ci', 't'))",897182.8
"(('n', ('ci', 't')), 'chn')",914660.95
"('ci', 't')",608404.03
"('n', ('ci', 't'))",897182.8
"(('n', ('ci', 't')), 'chn')",914660.95
"('t', 'ci')",617073.97
"(('t', 'ci'), 'n')",669113.03
"((('t', 'ci'), 'n'), 'chn')",679403.27
"('t', 'ci')",617073.97
"(('t', 'ci'), 'n')",669113.03
"((('t', 'ci'), 'n'), 'chn')",679403.27
"('ci', 'n')",600885.0
"('t', ('ci', 'n'))",665532.94
"(('t', ('ci', 'n')), 'chn')",675823.17
"('t', 'ci')",617073.97
"(('t', 'ci'), 'n')",669113.03
"((('t', 'ci'), 'n'), 'chn')",679403.27
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('t', (('chn', 'ci'), 'n'))",1085064.19
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('t', (('chn', 'ci'), 'n'))",1085064.19
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"('n', (('chn', 'ci'), 't'))",1178316.83
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('t', (('chn', 'ci'), 'n'))",1085064.19
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"((('chn', 'ci'), 't'), 'n')",1053474.2
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'n')",597108.04
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"('n', (('chn', 'ci'), 't'))",1178316.83
"('chn', 'ci')",812577.11
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"(('chn', 'ci'), 't')",956869.03
"('n', (('chn', 'ci'), 't'))",1178316.83
"((('chn', 'ci'), 't'), 'n')",1053474.2
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"('n', (('chn', 'ci'), 't'))",1178316.83
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"('n', (('chn', 'ci'), 't'))",1178316.83
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"('n', (('chn', 'ci'), 't'))",1178316.83
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('t', (('chn', 'ci'), 'n'))",1085064.19
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('t', (('chn', 'ci'), 'n'))",1085064.19
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"((('chn', 'ci'), 'n'), 't')",1022253.31
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"((('chn', 'ci'), 't'), 'n')",1053474.2
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('t', (('chn', 'ci'), 'n'))",1085064.19
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('t', (('chn', 'ci'), 'n'))",1085064.19
"('ci', 'chn')",546665.42
"(('ci', 'chn'), 'n')",597108.04
"('t', (('ci', 'chn'), 'n'))",664629.65
"('ci', 'chn')",546665.42
"('chn', 'ci')",812577.11
"(('ci', 'chn'), 'n')",597108.04
"(('chn', 'ci'), 't')",956869.03
"('t', (('ci', 'chn'), 'n'))",664629.65
"('n', (('chn', 'ci'), 't'))",1178316.83
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"('t', (('chn', 'ci'), 'n'))",1085064.19
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 'n')",959160.08
"((('chn', 'ci'), 'n'), 't')",1022253.31
"('chn', 'ci')",812577.11
"(('chn', 'ci'), 't')",956869.03
"('n', (('chn', 'ci'), 't'))",1178316.83
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"('n', ('t', 'ci'))",905852.73
"(('n', ('t', 'ci')), 'chn')",923330.88
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"('n', ('t', 'ci'))",905852.73
"(('n', ('t', 'ci')), 'chn')",923330.88
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('ci', 'n')",600885.0
"(('ci', 'n'), 't')",645896.04
"((('ci', 'n'), 't'), 'chn')",656186.27
"('t', 'ci')",617073.97
"('n', ('t', 'ci'))",905852.73
"(('n', ('t', 'ci')), 'chn')",923330.88
"('t', 'ci')",617073.97
"('n', ('t', 'ci'))",905852.73
"(('n', ('t', 'ci')), 'chn')",923330.88
"('t', 'ci')",617073.97
"('n', ('t', 'ci'))",905852.73
"(('n', ('t', 'ci')), 'chn')",923330.88
"('t', 'ci')",617073.97
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
"('n', ('t', 'ci'))",905852.73
"('chn', ('n', ('t', 'ci')))",1052953.64
"('t', 'ci')",617073.97
"('n', ('t', 'ci'))",905852.73
"(('n', ('t', 'ci')), 'chn')",923330.88
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"(('t', 'ci'), 'chn')",612536.78
"((('t', 'ci'), 'chn'), 'n')",656886.58
"('t', 'ci')",617073.97
