order,costs
"('mc', 'cn')",101741.45
"('mi', ('mc', 'cn'))",1122541.76
"(('mi', ('mc', 'cn')), 'it')",570472.44
"('it', 'mi')",316627.84
"('mc', ('it', 'mi'))",475658.05
"('cn', ('mc', ('it', 'mi')))",658260.18
"('mc', 'mi')",1767145.65
"('it', ('mc', 'mi'))",2747007.96
"(('it', ('mc', 'mi')), 'cn')",2773214.24
"('it', 'mi')",316627.84
"('mc', ('it', 'mi'))",475658.05
"(('mc', ('it', 'mi')), 'cn')",448853.98
"('it', 'mi')",316627.84
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('it', 'mi'))",417408.78
"('it', 'mi')",316627.84
"('mc', ('it', 'mi'))",475658.05
"(('mc', ('it', 'mi')), 'cn')",448853.98
"('mc', 'cn')",101741.45
"('mi', ('mc', 'cn'))",1122541.76
"(('mi', ('mc', 'cn')), 'it')",570472.44
"('it', 'mi')",316627.84
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('it', 'mi'))",417408.78
"('it', 'mi')",316627.84
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('it', 'mi'))",417408.78
"('mc', 'cn')",101741.45
"('mi', ('mc', 'cn'))",1122541.76
"(('mi', ('mc', 'cn')), 'it')",570472.44
"('mc', 'cn')",101741.45
"('mi', ('mc', 'cn'))",1122541.76
"(('mi', ('mc', 'cn')), 'it')",570472.44
"('mc', 'cn')",101741.45
"('mi', ('mc', 'cn'))",1122541.76
"(('mi', ('mc', 'cn')), 'it')",570472.44
"('mc', 'cn')",101741.45
"('mi', ('mc', 'cn'))",1122541.76
"(('mi', ('mc', 'cn')), 'it')",570472.44
"('mc', 'cn')",101741.45
"('mi', ('mc', 'cn'))",1122541.76
"(('mi', ('mc', 'cn')), 'it')",570472.44
"('it', 'mi')",316627.84
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('it', 'mi'))",417408.78
"('it', 'mi')",316627.84
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('it', 'mi'))",417408.78
"('mc', 'cn')",101741.45
"('mi', ('mc', 'cn'))",1122541.76
"(('mi', ('mc', 'cn')), 'it')",570472.44
"('it', 'mi')",316627.84
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('it', 'mi'))",417408.78
"('it', 'mi')",316627.84
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('it', 'mi'))",417408.78
"('it', 'mi')",316627.84
"('mc', 'cn')",101741.45
"(('mc', 'cn'), ('it', 'mi'))",417408.78
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'it')",256758.08
"(('mi', 'it'), 'mc')",332113.44
"('cn', (('mi', 'it'), 'mc'))",514715.8
"(('mc', 'mi'), 'it')",1221545.16
"((('mc', 'mi'), 'it'), 'cn')",1183493.36
"(('it', 'mi'), ('mc', 'cn'))",470497.58
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
"(('cn', ('mi', 'mc')), 'it')",27430129.29
"('mi', 'mc')",1721021.07
"('cn', ('mi', 'mc'))",27352680.6
