order,costs
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"('chn', (('ci', 'cc'), 'cct2'))",1217604.35
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"('chn', (('ci', 'cc'), 'cct2'))",1217604.35
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"('chn', (('ci', 'cc'), 'cct2'))",1217604.35
"('chn', 'ci')",952487.59
"('cct2', 'cc')",3776.49
"(('chn', 'ci'), ('cct2', 'cc'))",928647.83
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"('chn', (('ci', 'cc'), 'cct2'))",1217604.35
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'chn')",843204.08
"('cct2', (('ci', 'cc'), 'chn'))",845122.34
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"((('ci', 'cc'), 'cct2'), 'chn')",806495.01
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"((('ci', 'cc'), 'cct2'), 'chn')",806495.01
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"((('ci', 'cc'), 'cct2'), 'chn')",806495.01
"('ci', 'cc')",1223719.03
"('chn', ('ci', 'cc'))",2196151.67
"('cct2', ('chn', ('ci', 'cc')))",2198069.93
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"((('ci', 'cc'), 'cct2'), 'chn')",806495.01
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"((('ci', 'cc'), 'cct2'), 'chn')",806495.01
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"('chn', (('ci', 'cc'), 'cct2'))",1217604.35
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'chn')",843204.08
"('cct2', (('ci', 'cc'), 'chn'))",845122.34
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'chn')",843204.08
"('cct2', (('ci', 'cc'), 'chn'))",845122.34
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'chn')",843204.08
"((('ci', 'cc'), 'chn'), 'cct2')",832047.34
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'chn')",843204.08
"('cct2', (('ci', 'cc'), 'chn'))",845122.34
"('ci', 'cc')",1223719.03
"(('ci', 'cc'), 'cct2')",893906.57
"('chn', (('ci', 'cc'), 'cct2'))",1217604.35
"(('chn', 'ci'), 'cc')",964119.86
"('cct2', (('chn', 'ci'), 'cc'))",966038.12
"(('chn', ('ci', 'cc')), 'cct2')",2196981.92
"(('chn', 'ci'), 'cc')",964119.86
"((('chn', 'ci'), 'cc'), 'cct2')",952963.12
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"(('chn', ('cc', 'ci')), 'cct2')",2281352.41
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'ci')",1347469.37
"('chn', ('cc', 'ci'))",2292509.15
"(('chn', ('cc', 'ci')), 'cct2')",2281352.41
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'cct2')",2818.24
"('ci', ('cc', 'cct2'))",583330.92
"(('ci', ('cc', 'cct2')), 'chn')",495919.36
"('cc', 'cct2')",2818.24
